code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
LAB_disco08_441900,LAB,disco08,441900,Almindeligt kontor- og kundeservicearbejde ikke klassificeret andetsteds,Almindeligt kontor- og kundeservicearbejde ikke klassificeret andetsteds,,,Clerical Support Workers Not Elsewhere Classified,Clerical Support Workers Not Elsewhere Classified,isco08,isco08,CSV:LAB_disco08_comprehensive_hierarchical,medium,danish,LAB_disco08_441000,unit_group,392130,65694,0.007276,,
LAB_disco08_932900,LAB,disco08,932900,Andet manuelt produktionsarbejde,Andet manuelt produktionsarbejde,,,Manufacturing Labourers Not Elsewhere Classified,Manufacturing Labourers Not Elsewhere Classified,isco08,isco08,CSV:LAB_disco08_comprehensive_hierarchical,medium,danish,LAB_disco08_932000,unit_group,408170,80607,0.008928,,
LAB_disco08_213200,LAB,disco08,213200,"Rådgivning inden for landbrug, skovbrug og fiskeri","Rådgivning inden for landbrug, skovbrug og fiskeri",,,"Farming, Forestry and Fisheries Advisers","Farming, Forestry and Fisheries Advisers",isco08,isco08,CSV:LAB_disco08_comprehensive_hierarchical,medium,danish,LAB_disco08_213000,unit_group,67038,6573,0.000728,,
LAB_disco08_200000,LAB,disco08,200000,"Arbejde, der forudsætter viden på højeste niveau inden for pågældende område","Arbejde, der forudsætter viden på højeste niveau inden for pågældende område",,,Professionals,Professionals,isco08,isco08,CSV:LAB_disco08_comprehensive_hierarchical,medium,danish,,major_group,871695,177711,0.019683,,
LAB_disco08_333400,LAB,disco08,333400,Ejendomsmægler- og ejendomsadministratorarbejde,Ejendomsmægler- og ejendomsadministratorarbejde,,,Real Estate Agents and Property Managers,Real Estate Agents and Property Managers,isco08,isco08,CSV:LAB_disco08_comprehensive_hierarchical,medium,danish,LAB_disco08_333000,unit_group,300013,35917,0.003978,,
LAB_disco08_753100,LAB,disco08,753100,Skrædderarbejde og beslægtet arbejde,Skrædderarbejde og beslægtet arbejde,,,"Tailors, Dressmakers, Furriers and Hatters","Tailors, Dressmakers, Furriers and Hatters",isco08,isco08,CSV:LAB_disco08_comprehensive_hierarchical,medium,danish,LAB_disco08_753000,unit_group,22966,3322,0.000368,,
LAB_disco08_112020,LAB,disco08,112020,Virksomhedsledelse af tværgående funktioner,Virksomhedsledelse af tværgående funktioner,,,Cross-functional business leadership,Managing Directors and Chief Executives,isco08-parent,translated,CSV:LAB_disco08_dict.csv,medium,danish,LAB_disco08_112000,detail,226073,27606,0.003058,,
LAB_disco08_612100,LAB,disco08,612100,"Arbejde med opdræt af husdyr, ekskl. fjerkræ","Arbejde med opdræt af husdyr, ekskl. fjerkræ",,,Livestock and Dairy Producers,Livestock and Dairy Producers,isco08,isco08,CSV:LAB_disco08_comprehensive_hierarchical,medium,danish,LAB_disco08_612000,unit_group,273579,23352,0.002586,,
LAB_disco08_021000,LAB,disco08,021000,Menige og korporaler (Other ranks),Militært arbejde på befalingsmandsniveau (underofficersarbejde),,,Non-commissioned Armed Forces Officers,Non-commissioned Armed Forces Officers,isco08,isco08,raw/LAB_disco.csv (DISCO-08),medium,danish,LAB_disco08_020000,minor_group,134072,11571,0.001282,,
LAB_disco08_516500,LAB,disco08,516500,Kørelærerarbejde,Kørelærerarbejde,,,Driving Instructors,Driving Instructors,isco08,isco08,CSV:LAB_disco08_comprehensive_hierarchical,medium,danish,LAB_disco08_516000,unit_group,39156,3300,0.000366,,
