code,prefix,database,value,description,source,confidence,language
LAB_disco_000000,LAB,disco,000000,Uoplyst,disco_codes,high,danish
LAB_disco_011000,LAB,disco,011000,Militær/civilforsvar,disco_codes,high,danish
LAB_disco_100000,LAB,disco,100000,"Ledelse på øverste plan i virksomheder, organisationer og den offentlige sektor",disco_codes,high,danish
LAB_disco_110000,LAB,disco,110000,Lovgivningsarbejde samt ledelse i offentlig administration og interesseorganisationer,disco_codes,high,danish
LAB_disco_111000,LAB,disco,111000,"Lovgivningsarbejde og overordnet administration af lovgivning, før 2004 inkl. overordnet offentlig ledelse",disco_codes,high,danish
LAB_disco_112000,LAB,disco,112000,Overordnet offentlig ledelse,disco_codes,high,danish
LAB_disco_114000,LAB,disco,114000,Overordnet ledelse af interesseorganisationer og humanitære organisationer,disco_codes,high,danish
LAB_disco_114100,LAB,disco,114100,Ledelse af politiske partiorganisationer,disco_codes,high,danish
LAB_disco_114200,LAB,disco,114200,Ledelse af økonomiske interesseorganisationer,disco_codes,high,danish
LAB_disco_114210,LAB,disco,114210,Politisk ansvarlige/politisk valgte ledere i økonomiske interesseorganisationer,disco_codes,high,danish
LAB_disco_114220,LAB,disco,114220,Ansatte ledere i økonomiske interesseorganisationer,disco_codes,high,danish
LAB_disco_114300,LAB,disco,114300,Ledelsesarbejde i humanitære eller andre interesseorganisationer,disco_codes,high,danish
LAB_disco_120000,LAB,disco,120000,Øverste ledelse i virksomheden i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_121000,LAB,disco,121000,Ledelse omfattende virksomheden som helhed i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_121010,LAB,disco,121010,"Øverste ledelsesniveau, administrerende direktører eller tilsvarende i virksomhed med mindst 10 beskæftigede",disco_codes,high,danish
LAB_disco_121020,LAB,disco,121020,Tværgående direktører i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122000,LAB,disco,122000,Ledelse af hovedaktiviteten i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122100,LAB,disco,122100,"Ledelse af bedriften inden for landbrug, skovbrug og fiskeri i virksomhed med mindst 10 beskæftigede",disco_codes,high,danish
LAB_disco_122200,LAB,disco,122200,Produktionsledelse i industrivirksomheder i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122210,LAB,disco,122210,Øverste ledelse af produktionen i industrivirksomheder i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122220,LAB,disco,122220,Ledelse af produktionen i industrivirksomheder i øvrigt i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122300,LAB,disco,122300,Ledelse af produktionen i bygge- og anlægssektoren i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122400,LAB,disco,122400,Ledelse af salget i engros- og detailhandelsvirksomhed i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122500,LAB,disco,122500,Ledelse af hovedaktiviteten i hotel- og restaurationsvirksomhed i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122600,LAB,disco,122600,Ledelse af hovedaktiviteten i virksomheder inden for transport og kommunikation i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122700,LAB,disco,122700,Ledelse af hovedaktiviteten i virksomheder inden for forretningsservice i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122800,LAB,disco,122800,Ledelse af hovedaktiviteten i virksomheder inden for personlige tjenesteydelser i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122900,LAB,disco,122900,Ledelse af hovedaktiviteten i andre virksomheder i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122910,LAB,disco,122910,Ledelse i politi og retsvæsen i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122920,LAB,disco,122920,Ledelse i undervisningssektoren i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122930,LAB,disco,122930,Ledelse i social- og sundhedssektoren i virksomhed med mindst 10 beskæftigede,disco_codes,high,danish
LAB_disco_122940,LAB,disco,122940,"Ledelse af andre offentlige områder, herunder sport, kultur og servicevirksomhed i virksomhed med mindst 10 beskæftigede",disco_codes,high,danish
