code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
LAB_dispon_13_Q55,LAB,dispon,13_Q55,Disponibel indkomst — 55/100 kvantil,Disponibel indkomst — 55/100 kvantil,,,Disposable income — 55/100 quantile,,,dst_times_dispon_13,generated:quantile_percentile,high,english,,,1509177,1120944,0.124154
LAB_dispon_13_Q24,LAB,dispon,13_Q24,Disponibel indkomst — 24/100 kvantil,Disponibel indkomst — 24/100 kvantil,,,Disposable income — 24/100 quantile,,,dst_times_dispon_13,generated:quantile_percentile,high,english,,,2620849,1675745,0.185602
LAB_dispon_13_Q5,LAB,dispon,13_Q5,Disponibel indkomst — 5/100 kvantil,Disponibel indkomst — 5/100 kvantil,,,Disposable income — 5/100 quantile,,,dst_times_dispon_13,generated:quantile_percentile,high,english,,,4966049,2771807,0.307
LAB_dispon_13_Q11,LAB,dispon,13_Q11,Disponibel indkomst — 11/100 kvantil,Disponibel indkomst — 11/100 kvantil,,,Disposable income — 11/100 quantile,,,dst_times_dispon_13,generated:quantile_percentile,high,english,,,3865421,2193227,0.242918
LAB_dispon_13_Q31,LAB,dispon,13_Q31,Disponibel indkomst — 31/100 kvantil,Disponibel indkomst — 31/100 kvantil,,,Disposable income — 31/100 quantile,,,dst_times_dispon_13,generated:quantile_percentile,high,english,,,2240953,1541795,0.170766
LAB_dispon_13_Q43,LAB,dispon,13_Q43,Disponibel indkomst — 43/100 kvantil,Disponibel indkomst — 43/100 kvantil,,,Disposable income — 43/100 quantile,,,dst_times_dispon_13,generated:quantile_percentile,high,english,,,1824360,1325815,0.146845
LAB_dispon_13_Q42,LAB,dispon,13_Q42,Disponibel indkomst — 42/100 kvantil,Disponibel indkomst — 42/100 kvantil,,,Disposable income — 42/100 quantile,,,dst_times_dispon_13,generated:quantile_percentile,high,english,,,1858340,1344628,0.148928
LAB_dispon_13_Q18,LAB,dispon,13_Q18,Disponibel indkomst — 18/100 kvantil,Disponibel indkomst — 18/100 kvantil,,,Disposable income — 18/100 quantile,,,dst_times_dispon_13,generated:quantile_percentile,high,english,,,2949085,1796014,0.198923
LAB_dispon_13_Q33,LAB,dispon,13_Q33,Disponibel indkomst — 33/100 kvantil,Disponibel indkomst — 33/100 kvantil,,,Disposable income — 33/100 quantile,,,dst_times_dispon_13,generated:quantile_percentile,high,english,,,2164881,1506214,0.166825
LAB_dispon_13_Q4,LAB,dispon,13_Q4,Disponibel indkomst — 4/100 kvantil,Disponibel indkomst — 4/100 kvantil,,,Disposable income — 4/100 quantile,,,dst_times_dispon_13,generated:quantile_percentile,high,english,,,6458124,3040286,0.336736
LAB_dispon_13_Q57,LAB,dispon,13_Q57,Disponibel indkomst — 57/100 kvantil,Disponibel indkomst — 57/100 kvantil,,,Disposable income — 57/100 quantile,,,dst_times_dispon_13,generated:quantile_percentile,high,english,,,1465131,1089784,0.120702
LAB_dispon_13_Q49,LAB,dispon,13_Q49,Disponibel indkomst — 49/100 kvantil,Disponibel indkomst — 49/100 kvantil,,,Disposable income — 49/100 quantile,,,dst_times_dispon_13,generated:quantile_percentile,high,english,,,1650682,1216966,0.134789
