code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
LAB_erhvervsindk_13_Q57,LAB,erhvervsindk,13_Q57,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 57/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 57/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 57/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,1683857,1056735,0.117042
LAB_erhvervsindk_13_Q35,LAB,erhvervsindk,13_Q35,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 35/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 35/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 35/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,1868839,1273768,0.14108
LAB_erhvervsindk_13_Q15,LAB,erhvervsindk,13_Q15,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 15/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 15/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 15/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,1699464,1329728,0.147278
LAB_erhvervsindk_13_Q31,LAB,erhvervsindk,13_Q31,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 31/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 31/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 31/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,1570081,1176855,0.130346
LAB_erhvervsindk_13_Q45,LAB,erhvervsindk,13_Q45,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 45/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 45/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 45/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,2789880,1596857,0.176865
LAB_erhvervsindk_13_Q44,LAB,erhvervsindk,13_Q44,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 44/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 44/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 44/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,2776139,1596698,0.176847
LAB_erhvervsindk_13_Q36,LAB,erhvervsindk,13_Q36,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 36/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 36/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 36/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,1949897,1304261,0.144458
LAB_erhvervsindk_13_Q7,LAB,erhvervsindk,13_Q7,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 7/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 7/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 7/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,3345618,2140405,0.237067
LAB_erhvervsindk_13_Q58,LAB,erhvervsindk,13_Q58,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 58/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 58/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 58/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,1577699,1005334,0.111349
LAB_erhvervsindk_13_Q53,LAB,erhvervsindk,13_Q53,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 53/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 53/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 53/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,2112286,1278500,0.141604
LAB_erhvervsindk_13_Q51,LAB,erhvervsindk,13_Q51,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 51/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 51/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 51/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,2354420,1390920,0.154056
LAB_erhvervsindk_13_Q50,LAB,erhvervsindk,13_Q50,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 50/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 50/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 50/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,2475330,1442460,0.159764
LAB_erhvervsindk_13_Q42,LAB,erhvervsindk,13_Q42,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 42/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 42/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 42/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,2662714,1554422,0.172165
LAB_erhvervsindk_13_Q47,LAB,erhvervsindk,13_Q47,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 47/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 47/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 47/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,2736101,1563728,0.173196
LAB_erhvervsindk_13_Q46,LAB,erhvervsindk,13_Q46,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 46/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 46/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 46/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,2776393,1585851,0.175646
LAB_erhvervsindk_13_Q39,LAB,erhvervsindk,13_Q39,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 39/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 39/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 39/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,2324246,1428661,0.158236
LAB_erhvervsindk_13_Q18,LAB,erhvervsindk,13_Q18,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 18/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 18/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 18/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,1444389,1170341,0.129625
LAB_erhvervsindk_13_Q17,LAB,erhvervsindk,13_Q17,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 17/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 17/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 17/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,1505176,1208855,0.133891
LAB_erhvervsindk_13_Q14,LAB,erhvervsindk,13_Q14,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 14/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 14/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 14/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,1859495,1418460,0.157106
LAB_erhvervsindk_13_Q5,LAB,erhvervsindk,13_Q5,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 5/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 5/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 5/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,2859157,1817259,0.201276
LAB_erhvervsindk_13_Q23,LAB,erhvervsindk,13_Q23,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 23/100 kvantil,Erhvervsindkomst (løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer) — 23/100 kvantil,,,"Business income (wages and net surplus from self-employment, incl. certain honorariums) — 23/100 quantile",,,dst_times_erhvervsindk_13,generated:quantile_percentile,high,english,,,1493972,1199553,0.13286
