code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
LAB_folkefortid_13_Q6,LAB,folkefortid,13_Q6,Folke- og førtidspension mv. — 6/10 kvantil,Folke- og førtidspension mv. — 6/10 kvantil,,,"State pension (folkepension) and disability pension (førtidspension), etc. — 6/10 quantile",,,dst_times_folkefortid_13,generated:quantile_percentile,high,english,,,10175764,1925346,0.213248,,
LAB_folkefortid_13_Q10,LAB,folkefortid,13_Q10,Folke- og førtidspension mv. — 10/10 kvantil,Folke- og førtidspension mv. — 10/10 kvantil,,,"State pension (folkepension) and disability pension (førtidspension), etc. — 10/10 quantile",,,dst_times_folkefortid_13,generated:quantile_percentile,high,english,,,3530953,524585,0.058102,,
LAB_folkefortid_13_Q9,LAB,folkefortid,13_Q9,Folke- og førtidspension mv. — 9/10 kvantil,Folke- og førtidspension mv. — 9/10 kvantil,,,"State pension (folkepension) and disability pension (førtidspension), etc. — 9/10 quantile",,,dst_times_folkefortid_13,generated:quantile_percentile,high,english,,,4587072,964017,0.106773,,
LAB_folkefortid_13_Q3,LAB,folkefortid,13_Q3,Folke- og førtidspension mv. — 3/10 kvantil,Folke- og førtidspension mv. — 3/10 kvantil,,,"State pension (folkepension) and disability pension (førtidspension), etc. — 3/10 quantile",,,dst_times_folkefortid_13,generated:quantile_percentile,high,english,,,3719992,1196307,0.132501,,
LAB_folkefortid_13_Q1,LAB,folkefortid,13_Q1,Folke- og førtidspension mv. — 1/10 kvantil,Folke- og førtidspension mv. — 1/10 kvantil,,,"State pension (folkepension) and disability pension (førtidspension), etc. — 1/10 quantile",,,dst_times_folkefortid_13,generated:quantile_percentile,high,english,,,1530253,1057086,0.117081,,
LAB_folkefortid_13_Q8,LAB,folkefortid,13_Q8,Folke- og førtidspension mv. — 8/10 kvantil,Folke- og førtidspension mv. — 8/10 kvantil,,,"State pension (folkepension) and disability pension (førtidspension), etc. — 8/10 quantile",,,dst_times_folkefortid_13,generated:quantile_percentile,high,english,,,6311361,1248492,0.138281,,
LAB_folkefortid_13_Q5,LAB,folkefortid,13_Q5,Folke- og førtidspension mv. — 5/10 kvantil,Folke- og førtidspension mv. — 5/10 kvantil,,,"State pension (folkepension) and disability pension (førtidspension), etc. — 5/10 quantile",,,dst_times_folkefortid_13,generated:quantile_percentile,high,english,,,7560322,1773963,0.196481,,
LAB_folkefortid_13_Q7,LAB,folkefortid,13_Q7,Folke- og førtidspension mv. — 7/10 kvantil,Folke- og førtidspension mv. — 7/10 kvantil,,,"State pension (folkepension) and disability pension (førtidspension), etc. — 7/10 quantile",,,dst_times_folkefortid_13,generated:quantile_percentile,high,english,,,5289741,1388186,0.153753,,
LAB_folkefortid_13_Q4,LAB,folkefortid,13_Q4,Folke- og førtidspension mv. — 4/10 kvantil,Folke- og førtidspension mv. — 4/10 kvantil,,,"State pension (folkepension) and disability pension (førtidspension), etc. — 4/10 quantile",,,dst_times_folkefortid_13,generated:quantile_percentile,high,english,,,3771335,1217094,0.134803,,
LAB_folkefortid_13_Q2,LAB,folkefortid,13_Q2,Folke- og førtidspension mv. — 2/10 kvantil,Folke- og førtidspension mv. — 2/10 kvantil,,,"State pension (folkepension) and disability pension (førtidspension), etc. — 2/10 quantile",,,dst_times_folkefortid_13,generated:quantile_percentile,high,english,,,1783419,1135721,0.12579,,
