code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
LAB_gron_check_Q7,LAB,gron,check_Q7,Grøn check (kompensation for grønne afgifter) — 7/10 kvantil,Grøn check (kompensation for grønne afgifter) — 7/10 kvantil,,,Green check (compensation for green taxes) — 7/10 quantile,,,dst_times_gron_check,generated:quantile_percentile,high,english,,,16103422,3872687,0.428932
LAB_gron_check_Q9,LAB,gron,check_Q9,Grøn check (kompensation for grønne afgifter) — 9/10 kvantil,Grøn check (kompensation for grønne afgifter) — 9/10 kvantil,,,Green check (compensation for green taxes) — 9/10 quantile,,,dst_times_gron_check,generated:quantile_percentile,high,english,,,12733519,3691257,0.408837
LAB_gron_check_Q10,LAB,gron,check_Q10,Grøn check (kompensation for grønne afgifter) — 10/10 kvantil,Grøn check (kompensation for grønne afgifter) — 10/10 kvantil,,,Green check (compensation for green taxes) — 10/10 quantile,,,dst_times_gron_check,generated:quantile_percentile,high,english,,,13591412,3440007,0.381009
LAB_gron_check_Q5,LAB,gron,check_Q5,Grøn check (kompensation for grønne afgifter) — 5/10 kvantil,Grøn check (kompensation for grønne afgifter) — 5/10 kvantil,,,Green check (compensation for green taxes) — 5/10 quantile,,,dst_times_gron_check,generated:quantile_percentile,high,english,,,1327656,1299558,0.143937
LAB_gron_check_Q3,LAB,gron,check_Q3,Grøn check (kompensation for grønne afgifter) — 3/10 kvantil,Grøn check (kompensation for grønne afgifter) — 3/10 kvantil,,,Green check (compensation for green taxes) — 3/10 quantile,,,dst_times_gron_check,generated:quantile_percentile,high,english,,,1328708,1277788,0.141525
LAB_gron_check_Q6,LAB,gron,check_Q6,Grøn check (kompensation for grønne afgifter) — 6/10 kvantil,Grøn check (kompensation for grønne afgifter) — 6/10 kvantil,,,Green check (compensation for green taxes) — 6/10 quantile,,,dst_times_gron_check,generated:quantile_percentile,high,english,,,3052085,1523499,0.16874
LAB_gron_check_Q4,LAB,gron,check_Q4,Grøn check (kompensation for grønne afgifter) — 4/10 kvantil,Grøn check (kompensation for grønne afgifter) — 4/10 kvantil,,,Green check (compensation for green taxes) — 4/10 quantile,,,dst_times_gron_check,generated:quantile_percentile,high,english,,,327433,307190,0.034024
LAB_gron_check_Q2,LAB,gron,check_Q2,Grøn check (kompensation for grønne afgifter) — 2/10 kvantil,Grøn check (kompensation for grønne afgifter) — 2/10 kvantil,,,Green check (compensation for green taxes) — 2/10 quantile,,,dst_times_gron_check,generated:quantile_percentile,high,english,,,383282,363080,0.040214
LAB_gron_check_Q1,LAB,gron,check_Q1,Grøn check (kompensation for grønne afgifter) — 1/10 kvantil,Grøn check (kompensation for grønne afgifter) — 1/10 kvantil,,,Green check (compensation for green taxes) — 1/10 quantile,,,dst_times_gron_check,generated:quantile_percentile,high,english,,,164419,148763,0.016477
LAB_gron_check_Q8,LAB,gron,check_Q8,Grøn check (kompensation for grønne afgifter) — 8/10 kvantil,Grøn check (kompensation for grønne afgifter) — 8/10 kvantil,,,Green check (compensation for green taxes) — 8/10 quantile,,,dst_times_gron_check,generated:quantile_percentile,high,english,,,420878,246642,0.027318
