code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
LAB_honny_Q59,LAB,honny,Q59,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 59/100 kvantil,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 59/100 kvantil,,,Fee-based remuneration (subject to labor market contribution) — 59/100 quantile,,,dst_times_honny,manual_update,high,english,,,16538,15119,0.001675,,
LAB_honny_Q7,LAB,honny,Q7,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 7/100 kvantil,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 7/100 kvantil,,,Fee-based remuneration (subject to labor market contribution) — 7/100 quantile,,,dst_times_honny,manual_update,high,english,,,142941,121291,0.013434,,
LAB_honny_Q5,LAB,honny,Q5,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 5/100 kvantil,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 5/100 kvantil,,,Fee-based remuneration (subject to labor market contribution) — 5/100 quantile,,,dst_times_honny,manual_update,high,english,,,230228,187700,0.020789,,
LAB_honny_Q6,LAB,honny,Q6,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 6/100 kvantil,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 6/100 kvantil,,,Fee-based remuneration (subject to labor market contribution) — 6/100 quantile,,,dst_times_honny,manual_update,high,english,,,212847,174313,0.019307,,
LAB_honny_Q43,LAB,honny,Q43,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 43/100 kvantil,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 43/100 kvantil,,,Fee-based remuneration (subject to labor market contribution) — 43/100 quantile,,,dst_times_honny,manual_update,high,english,,,21839,20240,0.002242,,
LAB_honny_Q2,LAB,honny,Q2,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 2/100 kvantil,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 2/100 kvantil,,,Fee-based remuneration (subject to labor market contribution) — 2/100 quantile,,,dst_times_honny,manual_update,high,english,,,415721,317737,0.035192,,
LAB_honny_Q3,LAB,honny,Q3,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 3/100 kvantil,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 3/100 kvantil,,,Fee-based remuneration (subject to labor market contribution) — 3/100 quantile,,,dst_times_honny,manual_update,high,english,,,500697,330781,0.036637,,
LAB_honny_Q15,LAB,honny,Q15,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 15/100 kvantil,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 15/100 kvantil,,,Fee-based remuneration (subject to labor market contribution) — 15/100 quantile,,,dst_times_honny,manual_update,high,english,,,66863,60383,0.006688,,
LAB_honny_Q65,LAB,honny,Q65,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 65/100 kvantil,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 65/100 kvantil,,,Fee-based remuneration (subject to labor market contribution) — 65/100 quantile,,,dst_times_honny,manual_update,high,english,,,14569,13454,0.00149,,
LAB_honny_Q44,LAB,honny,Q44,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 44/100 kvantil,Honoraraflønning (arbejdsmarkedsbidragspligtig) — 44/100 kvantil,,,Fee-based remuneration (subject to labor market contribution) — 44/100 quantile,,,dst_times_honny,manual_update,high,english,,,20599,19188,0.002125,,
