code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
LAB_kontanthj_13_Q95,LAB,kontanthj,13_Q95,Kontanthjælp (underhold/forsørgelse) — 95/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 95/100 kvantil,,,Cash assistance (subsistence/support) — 95/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,61251,47100,0.005217,,
LAB_kontanthj_13_Q48,LAB,kontanthj,13_Q48,Kontanthjælp (underhold/forsørgelse) — 48/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 48/100 kvantil,,,Cash assistance (subsistence/support) — 48/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,48584,46230,0.00512,,
LAB_kontanthj_13_Q6,LAB,kontanthj,13_Q6,Kontanthjælp (underhold/forsørgelse) — 6/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 6/100 kvantil,,,Cash assistance (subsistence/support) — 6/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,95228,87580,0.0097,,
LAB_kontanthj_13_Q53,LAB,kontanthj,13_Q53,Kontanthjælp (underhold/forsørgelse) — 53/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 53/100 kvantil,,,Cash assistance (subsistence/support) — 53/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,50692,48140,0.005332,,
LAB_kontanthj_13_Q99,LAB,kontanthj,13_Q99,Kontanthjælp (underhold/forsørgelse) — 99/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 99/100 kvantil,,,Cash assistance (subsistence/support) — 99/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,64676,50250,0.005566,,
LAB_kontanthj_13_Q37,LAB,kontanthj,13_Q37,Kontanthjælp (underhold/forsørgelse) — 37/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 37/100 kvantil,,,Cash assistance (subsistence/support) — 37/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,61713,58902,0.006524,,
LAB_kontanthj_13_Q55,LAB,kontanthj,13_Q55,Kontanthjælp (underhold/forsørgelse) — 55/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 55/100 kvantil,,,Cash assistance (subsistence/support) — 55/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,50172,47529,0.005264,,
LAB_kontanthj_13_Q93,LAB,kontanthj,13_Q93,Kontanthjælp (underhold/forsørgelse) — 93/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 93/100 kvantil,,,Cash assistance (subsistence/support) — 93/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,46172,39996,0.00443,,
LAB_kontanthj_13_Q97,LAB,kontanthj,13_Q97,Kontanthjælp (underhold/forsørgelse) — 97/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 97/100 kvantil,,,Cash assistance (subsistence/support) — 97/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,89412,66164,0.007328,,
LAB_kontanthj_13_Q23,LAB,kontanthj,13_Q23,Kontanthjælp (underhold/forsørgelse) — 23/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 23/100 kvantil,,,Cash assistance (subsistence/support) — 23/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,90194,84756,0.009387,,
LAB_kontanthj_13_Q75,LAB,kontanthj,13_Q75,Kontanthjælp (underhold/forsørgelse) — 75/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 75/100 kvantil,,,Cash assistance (subsistence/support) — 75/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,50056,46052,0.005101,,
LAB_kontanthj_13_Q26,LAB,kontanthj,13_Q26,Kontanthjælp (underhold/forsørgelse) — 26/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 26/100 kvantil,,,Cash assistance (subsistence/support) — 26/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,87367,82249,0.00911,,
LAB_kontanthj_13_Q79,LAB,kontanthj,13_Q79,Kontanthjælp (underhold/forsørgelse) — 79/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 79/100 kvantil,,,Cash assistance (subsistence/support) — 79/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,59472,52334,0.005796,,
LAB_kontanthj_13_Q13,LAB,kontanthj,13_Q13,Kontanthjælp (underhold/forsørgelse) — 13/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 13/100 kvantil,,,Cash assistance (subsistence/support) — 13/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,145523,130893,0.014497,,
LAB_kontanthj_13_Q98,LAB,kontanthj,13_Q98,Kontanthjælp (underhold/forsørgelse) — 98/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 98/100 kvantil,,,Cash assistance (subsistence/support) — 98/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,164481,85627,0.009484,,
LAB_kontanthj_13_Q64,LAB,kontanthj,13_Q64,Kontanthjælp (underhold/forsørgelse) — 64/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 64/100 kvantil,,,Cash assistance (subsistence/support) — 64/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,50835,47342,0.005244,,
LAB_kontanthj_13_Q88,LAB,kontanthj,13_Q88,Kontanthjælp (underhold/forsørgelse) — 88/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 88/100 kvantil,,,Cash assistance (subsistence/support) — 88/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,46901,41840,0.004634,,
LAB_kontanthj_13_Q84,LAB,kontanthj,13_Q84,Kontanthjælp (underhold/forsørgelse) — 84/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 84/100 kvantil,,,Cash assistance (subsistence/support) — 84/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,55849,50127,0.005552,,
LAB_kontanthj_13_Q16,LAB,kontanthj,13_Q16,Kontanthjælp (underhold/forsørgelse) — 16/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 16/100 kvantil,,,Cash assistance (subsistence/support) — 16/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,127608,116457,0.012899,,
LAB_kontanthj_13_Q80,LAB,kontanthj,13_Q80,Kontanthjælp (underhold/forsørgelse) — 80/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 80/100 kvantil,,,Cash assistance (subsistence/support) — 80/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,55694,49883,0.005525,,
LAB_kontanthj_13_Q77,LAB,kontanthj,13_Q77,Kontanthjælp (underhold/forsørgelse) — 77/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 77/100 kvantil,,,Cash assistance (subsistence/support) — 77/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,44909,41556,0.004603,,
LAB_kontanthj_13_Q33,LAB,kontanthj,13_Q33,Kontanthjælp (underhold/forsørgelse) — 33/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 33/100 kvantil,,,Cash assistance (subsistence/support) — 33/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,61046,58154,0.006441,,
LAB_kontanthj_13_Q35,LAB,kontanthj,13_Q35,Kontanthjælp (underhold/forsørgelse) — 35/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 35/100 kvantil,,,Cash assistance (subsistence/support) — 35/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,61682,58754,0.006507,,
LAB_kontanthj_13_Q27,LAB,kontanthj,13_Q27,Kontanthjælp (underhold/forsørgelse) — 27/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 27/100 kvantil,,,Cash assistance (subsistence/support) — 27/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,79600,74565,0.008259,,
LAB_kontanthj_13_Q14,LAB,kontanthj,13_Q14,Kontanthjælp (underhold/forsørgelse) — 14/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 14/100 kvantil,,,Cash assistance (subsistence/support) — 14/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,132706,121217,0.013426,,
LAB_kontanthj_13_Q68,LAB,kontanthj,13_Q68,Kontanthjælp (underhold/forsørgelse) — 68/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 68/100 kvantil,,,Cash assistance (subsistence/support) — 68/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,45823,43020,0.004765,,
LAB_kontanthj_13_Q50,LAB,kontanthj,13_Q50,Kontanthjælp (underhold/forsørgelse) — 50/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 50/100 kvantil,,,Cash assistance (subsistence/support) — 50/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,48804,46522,0.005153,,
LAB_kontanthj_13_Q1,LAB,kontanthj,13_Q1,Kontanthjælp (underhold/forsørgelse) — 1/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 1/100 kvantil,,,Cash assistance (subsistence/support) — 1/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,35487,29871,0.003308,,
LAB_kontanthj_13_Q4,LAB,kontanthj,13_Q4,Kontanthjælp (underhold/forsørgelse) — 4/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 4/100 kvantil,,,Cash assistance (subsistence/support) — 4/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,67962,58658,0.006497,,
LAB_kontanthj_13_Q44,LAB,kontanthj,13_Q44,Kontanthjælp (underhold/forsørgelse) — 44/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 44/100 kvantil,,,Cash assistance (subsistence/support) — 44/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,53159,50806,0.005627,,
LAB_kontanthj_13_Q73,LAB,kontanthj,13_Q73,Kontanthjælp (underhold/forsørgelse) — 73/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 73/100 kvantil,,,Cash assistance (subsistence/support) — 73/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,50755,45356,0.005024,,
LAB_kontanthj_13_Q96,LAB,kontanthj,13_Q96,Kontanthjælp (underhold/forsørgelse) — 96/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 96/100 kvantil,,,Cash assistance (subsistence/support) — 96/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,73357,62200,0.006889,,
LAB_kontanthj_13_Q46,LAB,kontanthj,13_Q46,Kontanthjælp (underhold/forsørgelse) — 46/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 46/100 kvantil,,,Cash assistance (subsistence/support) — 46/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,50495,48263,0.005346,,
LAB_kontanthj_13_Q8,LAB,kontanthj,13_Q8,Kontanthjælp (underhold/forsørgelse) — 8/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 8/100 kvantil,,,Cash assistance (subsistence/support) — 8/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,122101,110610,0.012251,,
LAB_kontanthj_13_Q82,LAB,kontanthj,13_Q82,Kontanthjælp (underhold/forsørgelse) — 82/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 82/100 kvantil,,,Cash assistance (subsistence/support) — 82/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,79974,63568,0.007041,,
LAB_kontanthj_13_Q81,LAB,kontanthj,13_Q81,Kontanthjælp (underhold/forsørgelse) — 81/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 81/100 kvantil,,,Cash assistance (subsistence/support) — 81/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,85925,69101,0.007653,,
LAB_kontanthj_13_Q85,LAB,kontanthj,13_Q85,Kontanthjælp (underhold/forsørgelse) — 85/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 85/100 kvantil,,,Cash assistance (subsistence/support) — 85/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,54687,49093,0.005437,,
LAB_kontanthj_13_Q74,LAB,kontanthj,13_Q74,Kontanthjælp (underhold/forsørgelse) — 74/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 74/100 kvantil,,,Cash assistance (subsistence/support) — 74/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,50208,45695,0.005061,,
