code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_korstoett_Q26,LAB,korstoett,Q26,Boligsikring og boligydelse — 26/100 kvantil,Boligsikring og boligydelse — 26/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 26/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q25,LAB,korstoett,Q25,Boligsikring og boligydelse — 25/100 kvantil,Boligsikring og boligydelse — 25/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 25/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q30,LAB,korstoett,Q30,Boligsikring og boligydelse — 30/100 kvantil,Boligsikring og boligydelse — 30/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 30/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q73,LAB,korstoett,Q73,Boligsikring og boligydelse — 73/100 kvantil,Boligsikring og boligydelse — 73/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 73/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q79,LAB,korstoett,Q79,Boligsikring og boligydelse — 79/100 kvantil,Boligsikring og boligydelse — 79/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 79/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q76,LAB,korstoett,Q76,Boligsikring og boligydelse — 76/100 kvantil,Boligsikring og boligydelse — 76/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 76/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q41,LAB,korstoett,Q41,Boligsikring og boligydelse — 41/100 kvantil,Boligsikring og boligydelse — 41/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 41/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q15,LAB,korstoett,Q15,Boligsikring og boligydelse — 15/100 kvantil,Boligsikring og boligydelse — 15/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 15/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q18,LAB,korstoett,Q18,Boligsikring og boligydelse — 18/100 kvantil,Boligsikring og boligydelse — 18/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 18/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q31,LAB,korstoett,Q31,Boligsikring og boligydelse — 31/100 kvantil,Boligsikring og boligydelse — 31/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 31/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q17,LAB,korstoett,Q17,Boligsikring og boligydelse — 17/100 kvantil,Boligsikring og boligydelse — 17/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 17/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q14,LAB,korstoett,Q14,Boligsikring og boligydelse — 14/100 kvantil,Boligsikring og boligydelse — 14/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 14/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q16,LAB,korstoett,Q16,Boligsikring og boligydelse — 16/100 kvantil,Boligsikring og boligydelse — 16/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 16/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q39,LAB,korstoett,Q39,Boligsikring og boligydelse — 39/100 kvantil,Boligsikring og boligydelse — 39/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 39/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q34,LAB,korstoett,Q34,Boligsikring og boligydelse — 34/100 kvantil,Boligsikring og boligydelse — 34/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 34/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q7,LAB,korstoett,Q7,Boligsikring og boligydelse — 7/100 kvantil,Boligsikring og boligydelse — 7/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 7/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q1,LAB,korstoett,Q1,Boligsikring og boligydelse — 1/100 kvantil,Boligsikring og boligydelse — 1/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 1/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q9,LAB,korstoett,Q9,Boligsikring og boligydelse — 9/100 kvantil,Boligsikring og boligydelse — 9/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 9/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q8,LAB,korstoett,Q8,Boligsikring og boligydelse — 8/100 kvantil,Boligsikring og boligydelse — 8/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 8/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q4,LAB,korstoett,Q4,Boligsikring og boligydelse — 4/100 kvantil,Boligsikring og boligydelse — 4/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 4/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q3,LAB,korstoett,Q3,Boligsikring og boligydelse — 3/100 kvantil,Boligsikring og boligydelse — 3/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 3/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q6,LAB,korstoett,Q6,Boligsikring og boligydelse — 6/100 kvantil,Boligsikring og boligydelse — 6/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 6/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q5,LAB,korstoett,Q5,Boligsikring og boligydelse — 5/100 kvantil,Boligsikring og boligydelse — 5/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 5/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q13,LAB,korstoett,Q13,Boligsikring og boligydelse — 13/100 kvantil,Boligsikring og boligydelse — 13/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 13/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q10,LAB,korstoett,Q10,Boligsikring og boligydelse — 10/100 kvantil,Boligsikring og boligydelse — 10/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 10/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q77,LAB,korstoett,Q77,Boligsikring og boligydelse — 77/100 kvantil,Boligsikring og boligydelse — 77/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 77/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q66,LAB,korstoett,Q66,Boligsikring og boligydelse — 66/100 kvantil,Boligsikring og boligydelse — 66/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 66/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q44,LAB,korstoett,Q44,Boligsikring og boligydelse — 44/100 kvantil,Boligsikring og boligydelse — 44/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 44/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q67,LAB,korstoett,Q67,Boligsikring og boligydelse — 67/100 kvantil,Boligsikring og boligydelse — 67/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 67/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q68,LAB,korstoett,Q68,Boligsikring og boligydelse — 68/100 kvantil,Boligsikring og boligydelse — 68/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 68/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q65,LAB,korstoett,Q65,Boligsikring og boligydelse — 65/100 kvantil,Boligsikring og boligydelse — 65/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 65/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q55,LAB,korstoett,Q55,Boligsikring og boligydelse — 55/100 kvantil,Boligsikring og boligydelse — 55/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 55/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q24,LAB,korstoett,Q24,Boligsikring og boligydelse — 24/100 kvantil,Boligsikring og boligydelse — 24/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 24/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q63,LAB,korstoett,Q63,Boligsikring og boligydelse — 63/100 kvantil,Boligsikring og boligydelse — 63/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 63/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q20,LAB,korstoett,Q20,Boligsikring og boligydelse — 20/100 kvantil,Boligsikring og boligydelse — 20/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 20/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q57,LAB,korstoett,Q57,Boligsikring og boligydelse — 57/100 kvantil,Boligsikring og boligydelse — 57/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 57/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
LAB_korstoett_Q56,LAB,korstoett,Q56,Boligsikring og boligydelse — 56/100 kvantil,Boligsikring og boligydelse — 56/100 kvantil,,,Housing benefit (for tenants) and housing allowance (for pensioners) — 56/100 quantile,,,dst_times_korstoett,generated_pattern,high,english,,
