code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_lejev_egen_bolig_Q7,LAB,lejev,egen_bolig_Q7,Beregnet lejeværdi af egen bolig — 7/100 kvantil,Beregnet lejeværdi af egen bolig — 7/100 kvantil,,,Imputed rental value of own dwelling — 7/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q91,LAB,lejev,egen_bolig_Q91,Beregnet lejeværdi af egen bolig — 91/100 kvantil,Beregnet lejeværdi af egen bolig — 91/100 kvantil,,,Imputed rental value of own dwelling — 91/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q76,LAB,lejev,egen_bolig_Q76,Beregnet lejeværdi af egen bolig — 76/100 kvantil,Beregnet lejeværdi af egen bolig — 76/100 kvantil,,,Imputed rental value of own dwelling — 76/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q59,LAB,lejev,egen_bolig_Q59,Beregnet lejeværdi af egen bolig — 59/100 kvantil,Beregnet lejeværdi af egen bolig — 59/100 kvantil,,,Imputed rental value of own dwelling — 59/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q68,LAB,lejev,egen_bolig_Q68,Beregnet lejeværdi af egen bolig — 68/100 kvantil,Beregnet lejeværdi af egen bolig — 68/100 kvantil,,,Imputed rental value of own dwelling — 68/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q86,LAB,lejev,egen_bolig_Q86,Beregnet lejeværdi af egen bolig — 86/100 kvantil,Beregnet lejeværdi af egen bolig — 86/100 kvantil,,,Imputed rental value of own dwelling — 86/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q85,LAB,lejev,egen_bolig_Q85,Beregnet lejeværdi af egen bolig — 85/100 kvantil,Beregnet lejeværdi af egen bolig — 85/100 kvantil,,,Imputed rental value of own dwelling — 85/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q83,LAB,lejev,egen_bolig_Q83,Beregnet lejeværdi af egen bolig — 83/100 kvantil,Beregnet lejeværdi af egen bolig — 83/100 kvantil,,,Imputed rental value of own dwelling — 83/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q84,LAB,lejev,egen_bolig_Q84,Beregnet lejeværdi af egen bolig — 84/100 kvantil,Beregnet lejeværdi af egen bolig — 84/100 kvantil,,,Imputed rental value of own dwelling — 84/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q66,LAB,lejev,egen_bolig_Q66,Beregnet lejeværdi af egen bolig — 66/100 kvantil,Beregnet lejeværdi af egen bolig — 66/100 kvantil,,,Imputed rental value of own dwelling — 66/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
