code,prefix,database,value,description,source,confidence,language
LAB_nace_102000,LAB,nace,102000,NACE industry code: 102000,enhanced_english,medium,english
LAB_nace_103000,LAB,nace,103000,NACE industry code: 103000,enhanced_english,medium,english
LAB_nace_111000,LAB,nace,111000,NACE industry code: 111000,enhanced_english,medium,english
LAB_nace_11110,LAB,nace,11110,NACE industry code: 11110,enhanced_english,medium,english
LAB_nace_11190,LAB,nace,11190,NACE industry code: 11190,enhanced_english,medium,english
LAB_nace_112000,LAB,nace,112000,NACE industry code: 112000,enhanced_english,medium,english
LAB_nace_11210,LAB,nace,11210,NACE industry code: 11210,enhanced_english,medium,english
LAB_nace_11220,LAB,nace,11220,NACE industry code: 11220,enhanced_english,medium,english
LAB_nace_11300,LAB,nace,11300,NACE industry code: 11300,enhanced_english,medium,english
LAB_nace_120000,LAB,nace,120000,NACE industry code: 120000,enhanced_english,medium,english
LAB_nace_12110,LAB,nace,12110,NACE industry code: 12110,enhanced_english,medium,english
LAB_nace_12190,LAB,nace,12190,NACE industry code: 12190,enhanced_english,medium,english
LAB_nace_12210,LAB,nace,12210,NACE industry code: 12210,enhanced_english,medium,english
LAB_nace_12220,LAB,nace,12220,NACE industry code: 12220,enhanced_english,medium,english
LAB_nace_12300,LAB,nace,12300,NACE industry code: 12300,enhanced_english,medium,english
LAB_nace_12400,LAB,nace,12400,NACE industry code: 12400,enhanced_english,medium,english
LAB_nace_12510,LAB,nace,12510,NACE industry code: 12510,enhanced_english,medium,english
LAB_nace_12520,LAB,nace,12520,NACE industry code: 12520,enhanced_english,medium,english
LAB_nace_12530,LAB,nace,12530,NACE industry code: 12530,enhanced_english,medium,english
LAB_nace_12590,LAB,nace,12590,NACE industry code: 12590,enhanced_english,medium,english
LAB_nace_13000,LAB,nace,13000,NACE industry code: 13000,enhanced_english,medium,english
LAB_nace_132000,LAB,nace,132000,NACE industry code: 132000,enhanced_english,medium,english
LAB_nace_14110,LAB,nace,14110,NACE industry code: 14110,enhanced_english,medium,english
LAB_nace_141110,LAB,nace,141110,NACE industry code: 141110,enhanced_english,medium,english
LAB_nace_141120,LAB,nace,141120,NACE industry code: 141120,enhanced_english,medium,english
LAB_nace_14120,LAB,nace,14120,NACE industry code: 14120,enhanced_english,medium,english
LAB_nace_141200,LAB,nace,141200,NACE industry code: 141200,enhanced_english,medium,english
LAB_nace_14190,LAB,nace,14190,NACE industry code: 14190,enhanced_english,medium,english
LAB_nace_14200,LAB,nace,14200,NACE industry code: 14200,enhanced_english,medium,english
LAB_nace_142100,LAB,nace,142100,NACE industry code: 142100,enhanced_english,medium,english
LAB_nace_142200,LAB,nace,142200,NACE industry code: 142200,enhanced_english,medium,english
LAB_nace_143000,LAB,nace,143000,NACE industry code: 143000,enhanced_english,medium,english
LAB_nace_144000,LAB,nace,144000,NACE industry code: 144000,enhanced_english,medium,english
LAB_nace_145000,LAB,nace,145000,NACE industry code: 145000,enhanced_english,medium,english
LAB_nace_15000,LAB,nace,15000,NACE industry code: 15000,enhanced_english,medium,english
LAB_nace_151110,LAB,nace,151110,NACE industry code: 151110,enhanced_english,medium,english
LAB_nace_151120,LAB,nace,151120,NACE industry code: 151120,enhanced_english,medium,english
LAB_nace_151130,LAB,nace,151130,NACE industry code: 151130,enhanced_english,medium,english
LAB_nace_151140,LAB,nace,151140,NACE industry code: 151140,enhanced_english,medium,english
LAB_nace_151200,LAB,nace,151200,NACE industry code: 151200,enhanced_english,medium,english
LAB_nace_151310,LAB,nace,151310,NACE industry code: 151310,enhanced_english,medium,english
LAB_nace_151390,LAB,nace,151390,NACE industry code: 151390,enhanced_english,medium,english
LAB_nace_152010,LAB,nace,152010,NACE industry code: 152010,enhanced_english,medium,english
LAB_nace_152020,LAB,nace,152020,NACE industry code: 152020,enhanced_english,medium,english
LAB_nace_152030,LAB,nace,152030,NACE industry code: 152030,enhanced_english,medium,english
LAB_nace_153100,LAB,nace,153100,NACE industry code: 153100,enhanced_english,medium,english
LAB_nace_153200,LAB,nace,153200,NACE industry code: 153200,enhanced_english,medium,english
LAB_nace_153300,LAB,nace,153300,NACE industry code: 153300,enhanced_english,medium,english
LAB_nace_154100,LAB,nace,154100,NACE industry code: 154100,enhanced_english,medium,english
LAB_nace_154200,LAB,nace,154200,NACE industry code: 154200,enhanced_english,medium,english
LAB_nace_154300,LAB,nace,154300,NACE industry code: 154300,enhanced_english,medium,english
LAB_nace_155110,LAB,nace,155110,NACE industry code: 155110,enhanced_english,medium,english
LAB_nace_155120,LAB,nace,155120,NACE industry code: 155120,enhanced_english,medium,english
LAB_nace_155200,LAB,nace,155200,NACE industry code: 155200,enhanced_english,medium,english
