code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
LAB_netovskud_13_Q51,LAB,netovskud,13_Q51,Nettooverskud af selvstændig virksomhed — 51/100 kvantil,Nettooverskud af selvstændig virksomhed — 51/100 kvantil,,,Net profit from self-employment — 51/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,169119,139190,0.015416
LAB_netovskud_13_Q29,LAB,netovskud,13_Q29,Nettooverskud af selvstændig virksomhed — 29/100 kvantil,Nettooverskud af selvstændig virksomhed — 29/100 kvantil,,,Net profit from self-employment — 29/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,421981,291530,0.032289
LAB_netovskud_13_Q18,LAB,netovskud,13_Q18,Nettooverskud af selvstændig virksomhed — 18/100 kvantil,Nettooverskud af selvstændig virksomhed — 18/100 kvantil,,,Net profit from self-employment — 18/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,278058,218658,0.024218
LAB_netovskud_13_Q12,LAB,netovskud,13_Q12,Nettooverskud af selvstændig virksomhed — 12/100 kvantil,Nettooverskud af selvstændig virksomhed — 12/100 kvantil,,,Net profit from self-employment — 12/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,149385,119164,0.013198
LAB_netovskud_13_Q24,LAB,netovskud,13_Q24,Nettooverskud af selvstændig virksomhed — 24/100 kvantil,Nettooverskud af selvstændig virksomhed — 24/100 kvantil,,,Net profit from self-employment — 24/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,302479,235664,0.026102
LAB_netovskud_13_Q26,LAB,netovskud,13_Q26,Nettooverskud af selvstændig virksomhed — 26/100 kvantil,Nettooverskud af selvstændig virksomhed — 26/100 kvantil,,,Net profit from self-employment — 26/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,339631,257654,0.028537
LAB_netovskud_13_Q74,LAB,netovskud,13_Q74,Nettooverskud af selvstændig virksomhed — 74/100 kvantil,Nettooverskud af selvstændig virksomhed — 74/100 kvantil,,,Net profit from self-employment — 74/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,175443,128943,0.014281
LAB_netovskud_13_Q80,LAB,netovskud,13_Q80,Nettooverskud af selvstændig virksomhed — 80/100 kvantil,Nettooverskud af selvstændig virksomhed — 80/100 kvantil,,,Net profit from self-employment — 80/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,121549,94141,0.010427
LAB_netovskud_13_Q83,LAB,netovskud,13_Q83,Nettooverskud af selvstændig virksomhed — 83/100 kvantil,Nettooverskud af selvstændig virksomhed — 83/100 kvantil,,,Net profit from self-employment — 83/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,120559,92048,0.010195
LAB_netovskud_13_Q89,LAB,netovskud,13_Q89,Nettooverskud af selvstændig virksomhed — 89/100 kvantil,Nettooverskud af selvstændig virksomhed — 89/100 kvantil,,,Net profit from self-employment — 89/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,114055,81798,0.00906
LAB_netovskud_13_Q77,LAB,netovskud,13_Q77,Nettooverskud af selvstændig virksomhed — 77/100 kvantil,Nettooverskud af selvstændig virksomhed — 77/100 kvantil,,,Net profit from self-employment — 77/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,125553,98854,0.010949
LAB_netovskud_13_Q88,LAB,netovskud,13_Q88,Nettooverskud af selvstændig virksomhed — 88/100 kvantil,Nettooverskud af selvstændig virksomhed — 88/100 kvantil,,,Net profit from self-employment — 88/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,114273,82768,0.009167
LAB_netovskud_13_Q62,LAB,netovskud,13_Q62,Nettooverskud af selvstændig virksomhed — 62/100 kvantil,Nettooverskud af selvstændig virksomhed — 62/100 kvantil,,,Net profit from self-employment — 62/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,145968,119837,0.013273
LAB_netovskud_13_Q47,LAB,netovskud,13_Q47,Nettooverskud af selvstændig virksomhed — 47/100 kvantil,Nettooverskud af selvstændig virksomhed — 47/100 kvantil,,,Net profit from self-employment — 47/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,185664,152077,0.016844
LAB_netovskud_13_Q35,LAB,netovskud,13_Q35,Nettooverskud af selvstændig virksomhed — 35/100 kvantil,Nettooverskud af selvstændig virksomhed — 35/100 kvantil,,,Net profit from self-employment — 35/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,343581,255473,0.028296
LAB_netovskud_13_Q50,LAB,netovskud,13_Q50,Nettooverskud af selvstændig virksomhed — 50/100 kvantil,Nettooverskud af selvstændig virksomhed — 50/100 kvantil,,,Net profit from self-employment — 50/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,174549,143116,0.015851
LAB_netovskud_13_Q46,LAB,netovskud,13_Q46,Nettooverskud af selvstændig virksomhed — 46/100 kvantil,Nettooverskud af selvstændig virksomhed — 46/100 kvantil,,,Net profit from self-employment — 46/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,275633,199828,0.022133
LAB_netovskud_13_Q30,LAB,netovskud,13_Q30,Nettooverskud af selvstændig virksomhed — 30/100 kvantil,Nettooverskud af selvstændig virksomhed — 30/100 kvantil,,,Net profit from self-employment — 30/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,404946,286127,0.031691
LAB_netovskud_13_Q71,LAB,netovskud,13_Q71,Nettooverskud af selvstændig virksomhed — 71/100 kvantil,Nettooverskud af selvstændig virksomhed — 71/100 kvantil,,,Net profit from self-employment — 71/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,138991,112821,0.012496
LAB_netovskud_13_Q53,LAB,netovskud,13_Q53,Nettooverskud af selvstændig virksomhed — 53/100 kvantil,Nettooverskud af selvstændig virksomhed — 53/100 kvantil,,,Net profit from self-employment — 53/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,176732,144447,0.015999
LAB_netovskud_13_Q56,LAB,netovskud,13_Q56,Nettooverskud af selvstændig virksomhed — 56/100 kvantil,Nettooverskud af selvstændig virksomhed — 56/100 kvantil,,,Net profit from self-employment — 56/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,161546,133296,0.014764
LAB_netovskud_13_Q25,LAB,netovskud,13_Q25,Nettooverskud af selvstændig virksomhed — 25/100 kvantil,Nettooverskud af selvstændig virksomhed — 25/100 kvantil,,,Net profit from self-employment — 25/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,329525,251910,0.027901
LAB_netovskud_13_Q36,LAB,netovskud,13_Q36,Nettooverskud af selvstændig virksomhed — 36/100 kvantil,Nettooverskud af selvstændig virksomhed — 36/100 kvantil,,,Net profit from self-employment — 36/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,314953,237890,0.026348
LAB_netovskud_13_Q70,LAB,netovskud,13_Q70,Nettooverskud af selvstændig virksomhed — 70/100 kvantil,Nettooverskud af selvstændig virksomhed — 70/100 kvantil,,,Net profit from self-employment — 70/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,150840,123252,0.013651
LAB_netovskud_13_Q61,LAB,netovskud,13_Q61,Nettooverskud af selvstændig virksomhed — 61/100 kvantil,Nettooverskud af selvstændig virksomhed — 61/100 kvantil,,,Net profit from self-employment — 61/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,151562,124704,0.013812
LAB_netovskud_13_Q14,LAB,netovskud,13_Q14,Nettooverskud af selvstændig virksomhed — 14/100 kvantil,Nettooverskud af selvstændig virksomhed — 14/100 kvantil,,,Net profit from self-employment — 14/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,171207,138703,0.015362
LAB_netovskud_13_Q58,LAB,netovskud,13_Q58,Nettooverskud af selvstændig virksomhed — 58/100 kvantil,Nettooverskud af selvstændig virksomhed — 58/100 kvantil,,,Net profit from self-employment — 58/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,179304,148261,0.016421
LAB_netovskud_13_Q63,LAB,netovskud,13_Q63,Nettooverskud af selvstændig virksomhed — 63/100 kvantil,Nettooverskud af selvstændig virksomhed — 63/100 kvantil,,,Net profit from self-employment — 63/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,147472,121127,0.013416
LAB_netovskud_13_Q90,LAB,netovskud,13_Q90,Nettooverskud af selvstændig virksomhed — 90/100 kvantil,Nettooverskud af selvstændig virksomhed — 90/100 kvantil,,,Net profit from self-employment — 90/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,113679,80247,0.008888
LAB_netovskud_13_Q55,LAB,netovskud,13_Q55,Nettooverskud af selvstændig virksomhed — 55/100 kvantil,Nettooverskud af selvstændig virksomhed — 55/100 kvantil,,,Net profit from self-employment — 55/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,167730,138404,0.015329
LAB_netovskud_13_Q2,LAB,netovskud,13_Q2,Nettooverskud af selvstændig virksomhed — 2/100 kvantil,Nettooverskud af selvstændig virksomhed — 2/100 kvantil,,,Net profit from self-employment — 2/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,106442,61743,0.006839
LAB_netovskud_13_Q60,LAB,netovskud,13_Q60,Nettooverskud af selvstændig virksomhed — 60/100 kvantil,Nettooverskud af selvstændig virksomhed — 60/100 kvantil,,,Net profit from self-employment — 60/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,191878,148617,0.016461
LAB_netovskud_13_Q72,LAB,netovskud,13_Q72,Nettooverskud af selvstændig virksomhed — 72/100 kvantil,Nettooverskud af selvstændig virksomhed — 72/100 kvantil,,,Net profit from self-employment — 72/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,158378,128969,0.014284
LAB_netovskud_13_Q68,LAB,netovskud,13_Q68,Nettooverskud af selvstændig virksomhed — 68/100 kvantil,Nettooverskud af selvstændig virksomhed — 68/100 kvantil,,,Net profit from self-employment — 68/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,169855,131131,0.014524
LAB_netovskud_13_Q67,LAB,netovskud,13_Q67,Nettooverskud af selvstændig virksomhed — 67/100 kvantil,Nettooverskud af selvstændig virksomhed — 67/100 kvantil,,,Net profit from self-employment — 67/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,158933,123888,0.013722
LAB_netovskud_13_Q69,LAB,netovskud,13_Q69,Nettooverskud af selvstændig virksomhed — 69/100 kvantil,Nettooverskud af selvstændig virksomhed — 69/100 kvantil,,,Net profit from self-employment — 69/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,146230,116643,0.012919
LAB_netovskud_13_Q57,LAB,netovskud,13_Q57,Nettooverskud af selvstændig virksomhed — 57/100 kvantil,Nettooverskud af selvstændig virksomhed — 57/100 kvantil,,,Net profit from self-employment — 57/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,158321,130812,0.014488
LAB_netovskud_13_Q39,LAB,netovskud,13_Q39,Nettooverskud af selvstændig virksomhed — 39/100 kvantil,Nettooverskud af selvstændig virksomhed — 39/100 kvantil,,,Net profit from self-employment — 39/100 quantile,,,dst_times_netovskud_13,generated:quantile_percentile,high,english,,,256918,201366,0.022303
