code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
LAB_off_overforsel_13_Q13,LAB,off,overforsel_13_Q13,Offentlige overførsler — 13/100 kvantil,Offentlige overførsler — 13/100 kvantil,,,Public transfers — 13/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,1718441,1277828,0.14153
LAB_off_overforsel_13_Q4,LAB,off,overforsel_13_Q4,Offentlige overførsler — 4/100 kvantil,Offentlige overførsler — 4/100 kvantil,,,Public transfers — 4/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,3683278,2369634,0.262456
LAB_off_overforsel_13_Q8,LAB,off,overforsel_13_Q8,Offentlige overførsler — 8/100 kvantil,Offentlige overførsler — 8/100 kvantil,,,Public transfers — 8/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,3076428,1799435,0.199302
LAB_off_overforsel_13_Q14,LAB,off,overforsel_13_Q14,Offentlige overførsler — 14/100 kvantil,Offentlige overførsler — 14/100 kvantil,,,Public transfers — 14/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,1558835,1154108,0.127827
LAB_off_overforsel_13_Q77,LAB,off,overforsel_13_Q77,Offentlige overførsler — 77/100 kvantil,Offentlige overførsler — 77/100 kvantil,,,Public transfers — 77/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,798149,590467,0.065399
LAB_off_overforsel_13_Q21,LAB,off,overforsel_13_Q21,Offentlige overførsler — 21/100 kvantil,Offentlige overførsler — 21/100 kvantil,,,Public transfers — 21/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,892231,768244,0.085089
LAB_off_overforsel_13_Q1,LAB,off,overforsel_13_Q1,Offentlige overførsler — 1/100 kvantil,Offentlige overførsler — 1/100 kvantil,,,Public transfers — 1/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,10540841,3060093,0.33893
LAB_off_overforsel_13_Q18,LAB,off,overforsel_13_Q18,Offentlige overførsler — 18/100 kvantil,Offentlige overførsler — 18/100 kvantil,,,Public transfers — 18/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,1098352,900630,0.099752
LAB_off_overforsel_13_Q2,LAB,off,overforsel_13_Q2,Offentlige overførsler — 2/100 kvantil,Offentlige overførsler — 2/100 kvantil,,,Public transfers — 2/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,4423246,2582190,0.285999
LAB_off_overforsel_13_Q7,LAB,off,overforsel_13_Q7,Offentlige overførsler — 7/100 kvantil,Offentlige overførsler — 7/100 kvantil,,,Public transfers — 7/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,2820922,1842263,0.204046
LAB_off_overforsel_13_Q49,LAB,off,overforsel_13_Q49,Offentlige overførsler — 49/100 kvantil,Offentlige overførsler — 49/100 kvantil,,,Public transfers — 49/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,922684,701146,0.077658
LAB_off_overforsel_13_Q94,LAB,off,overforsel_13_Q94,Offentlige overførsler — 94/100 kvantil,Offentlige overførsler — 94/100 kvantil,,,Public transfers — 94/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,208181,139203,0.015418
LAB_off_overforsel_13_Q95,LAB,off,overforsel_13_Q95,Offentlige overførsler — 95/100 kvantil,Offentlige overførsler — 95/100 kvantil,,,Public transfers — 95/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,198779,129517,0.014345
LAB_off_overforsel_13_Q76,LAB,off,overforsel_13_Q76,Offentlige overførsler — 76/100 kvantil,Offentlige overførsler — 76/100 kvantil,,,Public transfers — 76/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,701610,531130,0.058827
LAB_off_overforsel_13_Q81,LAB,off,overforsel_13_Q81,Offentlige overførsler — 81/100 kvantil,Offentlige overførsler — 81/100 kvantil,,,Public transfers — 81/100 quantile,,,dst_times_off_overforsel_13,generated:quantile_percentile,high,english,,,672138,501917,0.055591
