code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
LAB_offpens_efterlon_13_Q52,LAB,offpens,efterlon_13_Q52,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 52/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 52/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 52/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,781366,673507,0.074596,,
LAB_offpens_efterlon_13_Q98,LAB,offpens,efterlon_13_Q98,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 98/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 98/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 98/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,809293,298786,0.033093,,
LAB_offpens_efterlon_13_Q87,LAB,offpens,efterlon_13_Q87,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 87/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 87/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 87/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,662048,381676,0.042274,,
LAB_offpens_efterlon_13_Q88,LAB,offpens,efterlon_13_Q88,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 88/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 88/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 88/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,397636,264033,0.029244,,
LAB_offpens_efterlon_13_Q73,LAB,offpens,efterlon_13_Q73,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 73/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 73/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 73/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,342135,275697,0.030536,,
LAB_offpens_efterlon_13_Q51,LAB,offpens,efterlon_13_Q51,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 51/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 51/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 51/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,637869,534742,0.059227,,
LAB_offpens_efterlon_13_Q22,LAB,offpens,efterlon_13_Q22,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 22/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 22/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 22/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,151053,136864,0.015159,,
LAB_offpens_efterlon_13_Q94,LAB,offpens,efterlon_13_Q94,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 94/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 94/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 94/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,333659,294023,0.032565,,
LAB_offpens_efterlon_13_Q91,LAB,offpens,efterlon_13_Q91,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 91/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 91/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 91/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,276522,212981,0.023589,,
LAB_offpens_efterlon_13_Q89,LAB,offpens,efterlon_13_Q89,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 89/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 89/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 89/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,431291,311820,0.034537,,
LAB_offpens_efterlon_13_Q83,LAB,offpens,efterlon_13_Q83,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 83/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 83/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 83/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,500920,333579,0.036947,,
LAB_offpens_efterlon_13_Q86,LAB,offpens,efterlon_13_Q86,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 86/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 86/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 86/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,679475,440993,0.048844,,
LAB_offpens_efterlon_13_Q90,LAB,offpens,efterlon_13_Q90,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 90/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 90/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 90/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,286625,219733,0.024337,,
LAB_offpens_efterlon_13_Q92,LAB,offpens,efterlon_13_Q92,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 92/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 92/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 92/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,322930,219596,0.024322,,
LAB_offpens_efterlon_13_Q10,LAB,offpens,efterlon_13_Q10,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 10/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 10/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 10/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,162574,142353,0.015767,,
LAB_offpens_efterlon_13_Q78,LAB,offpens,efterlon_13_Q78,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 78/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 78/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 78/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,413968,308818,0.034204,,
LAB_offpens_efterlon_13_Q74,LAB,offpens,efterlon_13_Q74,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 74/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 74/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 74/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,472092,287326,0.031824,,
LAB_offpens_efterlon_13_Q38,LAB,offpens,efterlon_13_Q38,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 38/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 38/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 38/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,911644,596860,0.066107,,
LAB_offpens_efterlon_13_Q85,LAB,offpens,efterlon_13_Q85,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 85/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 85/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 85/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,874034,497549,0.055108,,
LAB_offpens_efterlon_13_Q71,LAB,offpens,efterlon_13_Q71,"Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 71/100 kvantil","Folke- og førtidspension, varmehjælp, efterløn og fleksydelse — 71/100 kvantil",,,"State pension, disability pension, heating allowance, efterløn and flex benefit — 71/100 quantile",,,dst_times_offpens_efterlon_13,generated:quantile_percentile,high,english,,,742438,447896,0.049608,,
