code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
LAB_perindkialt_13_Q56,LAB,perindkialt,13_Q56,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 56/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 56/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 56/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,1888769,1262796,0.139865,,
LAB_perindkialt_13_Q34,LAB,perindkialt,13_Q34,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 34/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 34/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 34/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3326008,2013687,0.223032,,
LAB_perindkialt_13_Q10,LAB,perindkialt,13_Q10,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 10/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 10/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 10/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,1779333,1367320,0.151442,,
LAB_perindkialt_13_Q26,LAB,perindkialt,13_Q26,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 26/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 26/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 26/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3814272,2220372,0.245924,,
LAB_perindkialt_13_Q40,LAB,perindkialt,13_Q40,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 40/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 40/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 40/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3372674,1984806,0.219833,,
LAB_perindkialt_13_Q42,LAB,perindkialt,13_Q42,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 42/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 42/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 42/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3306220,1952029,0.216203,,
LAB_perindkialt_13_Q41,LAB,perindkialt,13_Q41,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 41/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 41/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 41/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3354335,1970702,0.218271,,
LAB_perindkialt_13_Q28,LAB,perindkialt,13_Q28,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 28/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 28/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 28/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3883633,2220646,0.245955,,
LAB_perindkialt_13_Q38,LAB,perindkialt,13_Q38,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 38/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 38/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 38/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3360534,1996039,0.221078,,
LAB_perindkialt_13_Q3,LAB,perindkialt,13_Q3,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 3/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 3/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 3/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3638209,2165554,0.239853,,
LAB_perindkialt_13_Q57,LAB,perindkialt,13_Q57,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 57/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 57/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 57/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,1782971,1204615,0.133421,,
LAB_perindkialt_13_Q50,LAB,perindkialt,13_Q50,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 50/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 50/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 50/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,2530486,1595026,0.176662,,
LAB_perindkialt_13_Q45,LAB,perindkialt,13_Q45,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 45/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 45/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 45/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3075293,1847156,0.204588,,
LAB_perindkialt_13_Q53,LAB,perindkialt,13_Q53,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 53/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 53/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 53/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,2215566,1432994,0.158716,,
LAB_perindkialt_13_Q48,LAB,perindkialt,13_Q48,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 48/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 48/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 48/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,2751358,1701645,0.188471,,
LAB_perindkialt_13_Q43,LAB,perindkialt,13_Q43,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 43/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 43/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 43/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3246614,1923622,0.213057,,
LAB_perindkialt_13_Q7,LAB,perindkialt,13_Q7,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 7/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 7/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 7/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,2573075,1789151,0.198163,,
LAB_perindkialt_13_Q33,LAB,perindkialt,13_Q33,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 33/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 33/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 33/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3411383,2050587,0.227119,,
LAB_perindkialt_13_Q36,LAB,perindkialt,13_Q36,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 36/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 36/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 36/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3331831,2000655,0.221589,,
LAB_perindkialt_13_Q35,LAB,perindkialt,13_Q35,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 35/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 35/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 35/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3306734,1999364,0.221446,,
LAB_perindkialt_13_Q29,LAB,perindkialt,13_Q29,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 29/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 29/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 29/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3810885,2197779,0.243422,,
LAB_perindkialt_13_Q30,LAB,perindkialt,13_Q30,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 30/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 30/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 30/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3766080,2186273,0.242148,,
LAB_perindkialt_13_Q15,LAB,perindkialt,13_Q15,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 15/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 15/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 15/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,2817713,1671886,0.185175,,
LAB_perindkialt_13_Q32,LAB,perindkialt,13_Q32,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 32/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 32/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 32/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3587569,2114376,0.234184,,
LAB_perindkialt_13_Q31,LAB,perindkialt,13_Q31,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 31/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 31/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 31/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3648431,2149274,0.23805,,
LAB_perindkialt_13_Q27,LAB,perindkialt,13_Q27,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 27/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 27/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 27/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3897944,2228190,0.24679,,
LAB_perindkialt_13_Q23,LAB,perindkialt,13_Q23,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 23/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 23/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 23/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3867115,2184288,0.241928,,
LAB_perindkialt_13_Q21,LAB,perindkialt,13_Q21,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 21/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 21/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 21/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3839380,2199165,0.243575,,
LAB_perindkialt_13_Q22,LAB,perindkialt,13_Q22,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 22/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 22/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 22/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3808557,2193226,0.242918,,
LAB_perindkialt_13_Q20,LAB,perindkialt,13_Q20,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 20/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 20/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 20/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3721705,2139171,0.236931,,
LAB_perindkialt_13_Q25,LAB,perindkialt,13_Q25,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 25/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 25/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 25/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3740833,2199073,0.243565,,
LAB_perindkialt_13_Q37,LAB,perindkialt,13_Q37,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 37/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 37/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 37/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3349839,2000801,0.221605,,
LAB_perindkialt_13_Q24,LAB,perindkialt,13_Q24,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 24/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 24/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 24/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3765177,2180818,0.241543,,
LAB_perindkialt_13_Q6,LAB,perindkialt,13_Q6,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 6/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 6/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 6/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,2978565,1911893,0.211758,,
LAB_perindkialt_13_Q9,LAB,perindkialt,13_Q9,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 9/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 9/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 9/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,1809811,1396341,0.154656,,
LAB_perindkialt_13_Q16,LAB,perindkialt,13_Q16,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 16/100 kvantil,Personindkomst i alt (ekskl. beregnet lejeværdi af egen bolig) — 16/100 kvantil,,,Total personal income (excl. imputed rental value of own dwelling) — 16/100 quantile,,,dst_times_perindkialt_13,generated:quantile_percentile,high,english,,,3180524,1830840,0.20278,,
