code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
LAB_privat_pension_13_Q63,LAB,privat,pension_13_Q63,Udbetalte private pensioner — 63/100 kvantil,Udbetalte private pensioner — 63/100 kvantil,,,Paid-out private pensions — 63/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,155213,94473,0.010464
LAB_privat_pension_13_Q1,LAB,privat,pension_13_Q1,Udbetalte private pensioner — 1/100 kvantil,Udbetalte private pensioner — 1/100 kvantil,,,Paid-out private pensions — 1/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,1456576,549780,0.060893
LAB_privat_pension_13_Q67,LAB,privat,pension_13_Q67,Udbetalte private pensioner — 67/100 kvantil,Udbetalte private pensioner — 67/100 kvantil,,,Paid-out private pensions — 67/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,153209,92913,0.010291
LAB_privat_pension_13_Q69,LAB,privat,pension_13_Q69,Udbetalte private pensioner — 69/100 kvantil,Udbetalte private pensioner — 69/100 kvantil,,,Paid-out private pensions — 69/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,148300,89730,0.009938
LAB_privat_pension_13_Q9,LAB,privat,pension_13_Q9,Udbetalte private pensioner — 9/100 kvantil,Udbetalte private pensioner — 9/100 kvantil,,,Paid-out private pensions — 9/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,841419,329011,0.036441
LAB_privat_pension_13_Q61,LAB,privat,pension_13_Q61,Udbetalte private pensioner — 61/100 kvantil,Udbetalte private pensioner — 61/100 kvantil,,,Paid-out private pensions — 61/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,155851,93803,0.010389
LAB_privat_pension_13_Q10,LAB,privat,pension_13_Q10,Udbetalte private pensioner — 10/100 kvantil,Udbetalte private pensioner — 10/100 kvantil,,,Paid-out private pensions — 10/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,637378,283553,0.031406
LAB_privat_pension_13_Q56,LAB,privat,pension_13_Q56,Udbetalte private pensioner — 56/100 kvantil,Udbetalte private pensioner — 56/100 kvantil,,,Paid-out private pensions — 56/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,157470,95282,0.010553
LAB_privat_pension_13_Q49,LAB,privat,pension_13_Q49,Udbetalte private pensioner — 49/100 kvantil,Udbetalte private pensioner — 49/100 kvantil,,,Paid-out private pensions — 49/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,160474,96823,0.010724
LAB_privat_pension_13_Q58,LAB,privat,pension_13_Q58,Udbetalte private pensioner — 58/100 kvantil,Udbetalte private pensioner — 58/100 kvantil,,,Paid-out private pensions — 58/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,156084,94756,0.010495
LAB_privat_pension_13_Q50,LAB,privat,pension_13_Q50,Udbetalte private pensioner — 50/100 kvantil,Udbetalte private pensioner — 50/100 kvantil,,,Paid-out private pensions — 50/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,160065,96632,0.010703
LAB_privat_pension_13_Q3,LAB,privat,pension_13_Q3,Udbetalte private pensioner — 3/100 kvantil,Udbetalte private pensioner — 3/100 kvantil,,,Paid-out private pensions — 3/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,2093229,519563,0.057546
LAB_privat_pension_13_Q8,LAB,privat,pension_13_Q8,Udbetalte private pensioner — 8/100 kvantil,Udbetalte private pensioner — 8/100 kvantil,,,Paid-out private pensions — 8/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,1051719,384795,0.042619
LAB_privat_pension_13_Q7,LAB,privat,pension_13_Q7,Udbetalte private pensioner — 7/100 kvantil,Udbetalte private pensioner — 7/100 kvantil,,,Paid-out private pensions — 7/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,1204420,399499,0.044248
LAB_privat_pension_13_Q43,LAB,privat,pension_13_Q43,Udbetalte private pensioner — 43/100 kvantil,Udbetalte private pensioner — 43/100 kvantil,,,Paid-out private pensions — 43/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,170721,103516,0.011465
LAB_privat_pension_13_Q37,LAB,privat,pension_13_Q37,Udbetalte private pensioner — 37/100 kvantil,Udbetalte private pensioner — 37/100 kvantil,,,Paid-out private pensions — 37/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,186262,114640,0.012697
LAB_privat_pension_13_Q40,LAB,privat,pension_13_Q40,Udbetalte private pensioner — 40/100 kvantil,Udbetalte private pensioner — 40/100 kvantil,,,Paid-out private pensions — 40/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,176998,108062,0.011969
LAB_privat_pension_13_Q39,LAB,privat,pension_13_Q39,Udbetalte private pensioner — 39/100 kvantil,Udbetalte private pensioner — 39/100 kvantil,,,Paid-out private pensions — 39/100 quantile,,,dst_times_privat_pension_13,generated:quantile_percentile,high,english,,,180791,110635,0.012254
