code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
LAB_resuink_13_Q33,LAB,resuink,13_Q33,Restindkomst inkl. børnebidrag — 33/100 kvantil,Restindkomst inkl. børnebidrag — 33/100 kvantil,,,Residual income (including child support) — 33/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,2466318,1925010,0.213211
LAB_resuink_13_Q37,LAB,resuink,13_Q37,Restindkomst inkl. børnebidrag — 37/100 kvantil,Restindkomst inkl. børnebidrag — 37/100 kvantil,,,Residual income (including child support) — 37/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,1039270,918217,0.1017
LAB_resuink_13_Q13,LAB,resuink,13_Q13,Restindkomst inkl. børnebidrag — 13/100 kvantil,Restindkomst inkl. børnebidrag — 13/100 kvantil,,,Residual income (including child support) — 13/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,622936,576103,0.063808
LAB_resuink_13_Q27,LAB,resuink,13_Q27,Restindkomst inkl. børnebidrag — 27/100 kvantil,Restindkomst inkl. børnebidrag — 27/100 kvantil,,,Residual income (including child support) — 27/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,2133992,1547649,0.171415
LAB_resuink_13_Q6,LAB,resuink,13_Q6,Restindkomst inkl. børnebidrag — 6/100 kvantil,Restindkomst inkl. børnebidrag — 6/100 kvantil,,,Residual income (including child support) — 6/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,3632508,2689274,0.297859
LAB_resuink_13_Q7,LAB,resuink,13_Q7,Restindkomst inkl. børnebidrag — 7/100 kvantil,Restindkomst inkl. børnebidrag — 7/100 kvantil,,,Residual income (including child support) — 7/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,2495324,1584479,0.175494
LAB_resuink_13_Q18,LAB,resuink,13_Q18,Restindkomst inkl. børnebidrag — 18/100 kvantil,Restindkomst inkl. børnebidrag — 18/100 kvantil,,,Residual income (including child support) — 18/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,200290,188508,0.020879
LAB_resuink_13_Q3,LAB,resuink,13_Q3,Restindkomst inkl. børnebidrag — 3/100 kvantil,Restindkomst inkl. børnebidrag — 3/100 kvantil,,,Residual income (including child support) — 3/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,1459273,1134116,0.125613
LAB_resuink_13_Q4,LAB,resuink,13_Q4,Restindkomst inkl. børnebidrag — 4/100 kvantil,Restindkomst inkl. børnebidrag — 4/100 kvantil,,,Residual income (including child support) — 4/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,989758,732031,0.081078
LAB_resuink_13_Q8,LAB,resuink,13_Q8,Restindkomst inkl. børnebidrag — 8/100 kvantil,Restindkomst inkl. børnebidrag — 8/100 kvantil,,,Residual income (including child support) — 8/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,2159244,1571116,0.174014
LAB_resuink_13_Q10,LAB,resuink,13_Q10,Restindkomst inkl. børnebidrag — 10/100 kvantil,Restindkomst inkl. børnebidrag — 10/100 kvantil,,,Residual income (including child support) — 10/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,1008566,748838,0.08294
LAB_resuink_13_Q9,LAB,resuink,13_Q9,Restindkomst inkl. børnebidrag — 9/100 kvantil,Restindkomst inkl. børnebidrag — 9/100 kvantil,,,Residual income (including child support) — 9/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,1358462,977060,0.108217
LAB_resuink_13_Q2,LAB,resuink,13_Q2,Restindkomst inkl. børnebidrag — 2/100 kvantil,Restindkomst inkl. børnebidrag — 2/100 kvantil,,,Residual income (including child support) — 2/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,1180890,962603,0.106616
LAB_resuink_13_Q32,LAB,resuink,13_Q32,Restindkomst inkl. børnebidrag — 32/100 kvantil,Restindkomst inkl. børnebidrag — 32/100 kvantil,,,Residual income (including child support) — 32/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,2734525,2285029,0.253086
LAB_resuink_13_Q43,LAB,resuink,13_Q43,Restindkomst inkl. børnebidrag — 43/100 kvantil,Restindkomst inkl. børnebidrag — 43/100 kvantil,,,Residual income (including child support) — 43/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,367561,328079,0.036337
LAB_resuink_13_Q38,LAB,resuink,13_Q38,Restindkomst inkl. børnebidrag — 38/100 kvantil,Restindkomst inkl. børnebidrag — 38/100 kvantil,,,Residual income (including child support) — 38/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,907599,732216,0.081099
LAB_resuink_13_Q5,LAB,resuink,13_Q5,Restindkomst inkl. børnebidrag — 5/100 kvantil,Restindkomst inkl. børnebidrag — 5/100 kvantil,,,Residual income (including child support) — 5/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,1837600,1187087,0.13148
LAB_resuink_13_Q19,LAB,resuink,13_Q19,Restindkomst inkl. børnebidrag — 19/100 kvantil,Restindkomst inkl. børnebidrag — 19/100 kvantil,,,Residual income (including child support) — 19/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,457238,441574,0.048908
LAB_resuink_13_Q42,LAB,resuink,13_Q42,Restindkomst inkl. børnebidrag — 42/100 kvantil,Restindkomst inkl. børnebidrag — 42/100 kvantil,,,Residual income (including child support) — 42/100 quantile,,,dst_times_resuink_13,generated:quantile_percentile,high,english,,,542868,500697,0.055456
