code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
LAB_skatmvialt_13_Q38,LAB,skatmvialt,13_Q38,"Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 38/100 kvantil","Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 38/100 kvantil",,,"Total taxes, labor market contribution and special pension (excl. church tax) — 38/100 quantile",,,dst_times_skatmvialt_13,generated:quantile_percentile,high,english,,,1859712,1171997,0.129808
LAB_skatmvialt_13_Q18,LAB,skatmvialt,13_Q18,"Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 18/100 kvantil","Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 18/100 kvantil",,,"Total taxes, labor market contribution and special pension (excl. church tax) — 18/100 quantile",,,dst_times_skatmvialt_13,generated:quantile_percentile,high,english,,,3945829,2223148,0.246232
LAB_skatmvialt_13_Q5,LAB,skatmvialt,13_Q5,"Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 5/100 kvantil","Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 5/100 kvantil",,,"Total taxes, labor market contribution and special pension (excl. church tax) — 5/100 quantile",,,dst_times_skatmvialt_13,generated:quantile_percentile,high,english,,,4017238,2187915,0.242329
LAB_skatmvialt_13_Q14,LAB,skatmvialt,13_Q14,"Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 14/100 kvantil","Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 14/100 kvantil",,,"Total taxes, labor market contribution and special pension (excl. church tax) — 14/100 quantile",,,dst_times_skatmvialt_13,generated:quantile_percentile,high,english,,,4918885,2484881,0.275221
LAB_skatmvialt_13_Q26,LAB,skatmvialt,13_Q26,"Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 26/100 kvantil","Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 26/100 kvantil",,,"Total taxes, labor market contribution and special pension (excl. church tax) — 26/100 quantile",,,dst_times_skatmvialt_13,generated:quantile_percentile,high,english,,,3879166,2094557,0.231989
LAB_skatmvialt_13_Q22,LAB,skatmvialt,13_Q22,"Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 22/100 kvantil","Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 22/100 kvantil",,,"Total taxes, labor market contribution and special pension (excl. church tax) — 22/100 quantile",,,dst_times_skatmvialt_13,generated:quantile_percentile,high,english,,,4142698,2233681,0.247398
LAB_skatmvialt_13_Q25,LAB,skatmvialt,13_Q25,"Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 25/100 kvantil","Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 25/100 kvantil",,,"Total taxes, labor market contribution and special pension (excl. church tax) — 25/100 quantile",,,dst_times_skatmvialt_13,generated:quantile_percentile,high,english,,,3997591,2150401,0.238174
LAB_skatmvialt_13_Q12,LAB,skatmvialt,13_Q12,"Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 12/100 kvantil","Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 12/100 kvantil",,,"Total taxes, labor market contribution and special pension (excl. church tax) — 12/100 quantile",,,dst_times_skatmvialt_13,generated:quantile_percentile,high,english,,,6020481,2683741,0.297246
LAB_skatmvialt_13_Q20,LAB,skatmvialt,13_Q20,"Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 20/100 kvantil","Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 20/100 kvantil",,,"Total taxes, labor market contribution and special pension (excl. church tax) — 20/100 quantile",,,dst_times_skatmvialt_13,generated:quantile_percentile,high,english,,,4063529,2230699,0.247068
LAB_skatmvialt_13_Q39,LAB,skatmvialt,13_Q39,"Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 39/100 kvantil","Skat, arbejdsmarkedsbidrag og særlig pension i alt (ekskl. kirkeskat) — 39/100 kvantil",,,"Total taxes, labor market contribution and special pension (excl. church tax) — 39/100 quantile",,,dst_times_skatmvialt_13,generated:quantile_percentile,high,english,,,1711741,1096294,0.121423
