code,prefix,database,value,description,source,confidence,language
LAB_soc_status_kode_110,LAB,soc,status_kode_110,Selvstændige (primær status ult. nov.),pt_dictionaries,highest,danish
LAB_soc_status_kode_111,LAB,soc,status_kode_111,Selvstændige (sekundær status ult. nov.),pt_dictionaries,highest,danish
LAB_soc_status_kode_112,LAB,soc,status_kode_112,Arbejdsgivere (kun relevant for IDA-databasen),pt_dictionaries,highest,danish
LAB_soc_status_kode_120,LAB,soc,status_kode_120,Medarbejdende ægtefæller,pt_dictionaries,highest,danish
LAB_soc_status_kode_131,LAB,soc,status_kode_131,Lønmodtagere med ledelsesarbejde,pt_dictionaries,highest,danish
LAB_soc_status_kode_132,LAB,soc,status_kode_132,Lønmodtagere på højeste niveau,pt_dictionaries,highest,danish
LAB_soc_status_kode_133,LAB,soc,status_kode_133,Lønmodtagere på mellemniveau,pt_dictionaries,highest,danish
LAB_soc_status_kode_134,LAB,soc,status_kode_134,Lønmodtagere på grundniveau,pt_dictionaries,highest,danish
LAB_soc_status_kode_135,LAB,soc,status_kode_135,Andre lønmodtagere,pt_dictionaries,highest,danish
LAB_soc_status_kode_136,LAB,soc,status_kode_136,Lønmodtagere u.n.a.,pt_dictionaries,highest,danish
LAB_soc_status_kode_137,LAB,soc,status_kode_137,Lønmodtager ult. nov. ikke primære job,pt_dictionaries,highest,danish
LAB_soc_status_kode_138,LAB,soc,status_kode_138,Lønmodtager ej ult. nov.,pt_dictionaries,highest,danish
LAB_soc_status_kode_200,LAB,soc,status_kode_200,Arbejdsløse,pt_dictionaries,highest,danish
LAB_soc_status_kode_300,LAB,soc,status_kode_300,Udenfor arbejdsstyrken (partiel version),pt_dictionaries,highest,danish
LAB_soc_status_kode_311,LAB,soc,status_kode_311,Støttet beskæftigede uden løn,pt_dictionaries,highest,danish
LAB_soc_status_kode_312,LAB,soc,status_kode_312,Feriedagpenge,pt_dictionaries,highest,danish
LAB_soc_status_kode_313,LAB,soc,status_kode_313,Vejledning og opkvalificering,pt_dictionaries,highest,danish
LAB_soc_status_kode_314,LAB,soc,status_kode_314,Ledighedsydelse,pt_dictionaries,highest,danish
LAB_soc_status_kode_315,LAB,soc,status_kode_315,Børnepasningsorlov fra ledighed,pt_dictionaries,highest,danish
LAB_soc_status_kode_316,LAB,soc,status_kode_316,Barselsfravær fra ledighed,pt_dictionaries,highest,danish
LAB_soc_status_kode_317,LAB,soc,status_kode_317,Sygefravær fra ledighed,pt_dictionaries,highest,danish
LAB_soc_status_kode_318,LAB,soc,status_kode_318,Kontanthjælp (passiv),pt_dictionaries,highest,danish
LAB_soc_status_kode_319,LAB,soc,status_kode_319,Integrationsydelse,pt_dictionaries,highest,danish
LAB_soc_status_kode_320,LAB,soc,status_kode_320,Revalidering,pt_dictionaries,highest,danish
LAB_soc_status_kode_321,LAB,soc,status_kode_321,Ressouceforløb,pt_dictionaries,highest,danish
LAB_soc_status_kode_322,LAB,soc,status_kode_322,Jobafklaringsforløb,pt_dictionaries,highest,danish
LAB_soc_status_kode_351,LAB,soc,status_kode_351,Fleksløntilskud,pt_dictionaries,highest,danish
LAB_soc_status_kode_361,LAB,soc,status_kode_361,Støttet beskæftigelse (ej primær status),pt_dictionaries,highest,danish
LAB_soc_status_kode_411,LAB,soc,status_kode_411,Førtidspension,pt_dictionaries,highest,danish
LAB_soc_status_kode_412,LAB,soc,status_kode_412,Efterløn,pt_dictionaries,highest,danish
LAB_soc_status_kode_413,LAB,soc,status_kode_413,Fleksydelse,pt_dictionaries,highest,danish
LAB_soc_status_kode_414,LAB,soc,status_kode_414,Folkepension,pt_dictionaries,highest,danish
LAB_soc_status_kode_415,LAB,soc,status_kode_415,Anden pension,pt_dictionaries,highest,danish
LAB_soc_status_kode_416,LAB,soc,status_kode_416,Seniorpension,pt_dictionaries,highest,danish
LAB_soc_status_kode_417,LAB,soc,status_kode_417,Tidlig pension,pt_dictionaries,highest,danish
LAB_soc_status_kode_511,LAB,soc,status_kode_511,Personer under uddannelse (ordinær),pt_dictionaries,highest,danish
LAB_soc_status_kode_512,LAB,soc,status_kode_512,Børn og unge,pt_dictionaries,highest,danish
LAB_soc_status_kode_513,LAB,soc,status_kode_513,Øvrige uden for arbejdsstyrken,pt_dictionaries,highest,danish
LAB_soc_status_kode_514,LAB,soc,status_kode_514,Kursister,pt_dictionaries,highest,danish
LAB_soc_status_kode_515,LAB,soc,status_kode_515,Produktionsskoleelever,pt_dictionaries,highest,danish
LAB_soc_status_kode_516,LAB,soc,status_kode_516,Udenlandske studerende (ud fra opholdsgrundlag),pt_dictionaries,highest,danish
LAB_soc_status_kode_517,LAB,soc,status_kode_517,Modtagere af SU,pt_dictionaries,highest,danish
LAB_soc_status_kode_611,LAB,soc,status_kode_611,Barselsfravær fra beskæftigelse (ej primær status),pt_dictionaries,highest,danish
LAB_soc_status_kode_612,LAB,soc,status_kode_612,Sygefravær fra beskæftigelse (ej primær status),pt_dictionaries,highest,danish
