code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
LAB_socio13_134,LAB,socio13,134,Lønmodtager i arbejde der forudsætter færdigheder på grundniveau,Lønmodtager i arbejde der forudsætter færdigheder på grundniveau,,CSV:LAB_socio13,medium,danish,,
LAB_socio13_323,LAB,socio13,323,Efterlønsmodtager mv.,Efterlønsmodtager mv.,,CSV:LAB_socio13,medium,danish,,
LAB_socio13_322,LAB,socio13,322,Folkepensionister,Folkepensionister,,CSV:LAB_socio13,medium,danish,,
LAB_socio13_139,LAB,socio13,139,"Lønmodtager, stillingsangivelse ikke oplyst","Lønmodtager, stillingsangivelse ikke oplyst",,CSV:LAB_socio13,medium,danish,,
LAB_socio13_321,LAB,socio13,321,Førtidspensionister,Førtidspensionister,,CSV:LAB_socio13,medium,danish,,
LAB_socio13_410,LAB,socio13,410,Andre,Andre,,CSV:LAB_socio13,medium,danish,,
LAB_socio13_330,LAB,socio13,330,Kontanthjælpsmodtager,Kontanthjælpsmodtager,,CSV:LAB_socio13,medium,danish,,
LAB_socio13_220,LAB,socio13,220,"Modtager af sygedagpenge, uddannelsesgodtgørelse, orlovsydelser mm.","Modtager af sygedagpenge, uddannelsesgodtgørelse, orlovsydelser mm.",,CSV:LAB_socio13,medium,danish,,
LAB_socio13_135,LAB,socio13,135,Andre lønmodtagere	01-01-1600	31-12-9999	Andre lønmodtagere,Andre lønmodtagere	01-01-1600	31-12-9999	Andre lønmodtagere,,CSV:LAB_socio13,medium,danish,,
LAB_socio13_132,LAB,socio13,132,Lønmodtager i arbejde der forudsætter færdigheder på højeste niveau,Lønmodtager i arbejde der forudsætter færdigheder på højeste niveau,,CSV:LAB_socio13,medium,danish,,
LAB_socio13_114,LAB,socio13,114,"Selvstændig, ingen ansatte","Selvstændig, ingen ansatte",,CSV:LAB_socio13,medium,danish,,
LAB_socio13_210,LAB,socio13,210,Arbejdsløs mindst halvdelen af året,Arbejdsløs mindst halvdelen af året,,CSV:LAB_socio13,medium,danish,,
LAB_socio13_113,LAB,socio13,113,"Selvstændig, 1 - 4 ansatte","Selvstændig, 1 - 4 ansatte",,CSV:LAB_socio13,medium,danish,,
LAB_socio13_131,LAB,socio13,131,Lønmodtager med ledelsesarbejde,Lønmodtager med ledelsesarbejde,,CSV:LAB_socio13,medium,danish,,
LAB_socio13_110,LAB,socio13,110,Selvstændig,Selvstændig,,CSV:LAB_socio13,medium,danish,,
LAB_socio13_133,LAB,socio13,133,Lønmodtager i arbejde der forudsætter færdigheder på mellemniveau,Lønmodtager i arbejde der forudsætter færdigheder på mellemniveau,,CSV:LAB_socio13,medium,danish,,
LAB_socio13_310,LAB,socio13,310,"Under uddannelse, inkl.skoleelever min. 15 år","Under uddannelse, inkl.skoleelever min. 15 år",,CSV:LAB_socio13,medium,danish,,
LAB_socio13_112,LAB,socio13,112,"Selvstændig, 5 - 9 ansatte","Selvstændig, 5 - 9 ansatte",,CSV:LAB_socio13,medium,danish,,
LAB_socio13_111,LAB,socio13,111,"Selvstændig, 10 eller flere ansatte","Selvstændig, 10 eller flere ansatte",,CSV:LAB_socio13,medium,danish,,
LAB_socio13_120,LAB,socio13,120,Medarbejdende ægtefælle,Medarbejdende ægtefælle,,CSV:LAB_socio13,medium,danish,,
LAB_socio13_420,LAB,socio13,420,Børn under 15 år ultimo året,Børn under 15 år ultimo året,,CSV:LAB_socio13,medium,danish,,
