code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_stip_Q3,LAB,stip,Q3,Stipendier fra Statens Uddannelsesstøtte (SU) — 3/10 kvantil,Stipendier fra Statens Uddannelsesstøtte (SU) — 3/10 kvantil,,,Scholarships from State Educational Support (SU) — 3/10 quantile,,,dst_times_stip,generated_pattern,high,english,,
LAB_stip_Q6,LAB,stip,Q6,Stipendier fra Statens Uddannelsesstøtte (SU) — 6/10 kvantil,Stipendier fra Statens Uddannelsesstøtte (SU) — 6/10 kvantil,,,Scholarships from State Educational Support (SU) — 6/10 quantile,,,dst_times_stip,generated_pattern,high,english,,
LAB_stip_Q9,LAB,stip,Q9,Stipendier fra Statens Uddannelsesstøtte (SU) — 9/10 kvantil,Stipendier fra Statens Uddannelsesstøtte (SU) — 9/10 kvantil,,,Scholarships from State Educational Support (SU) — 9/10 quantile,,,dst_times_stip,generated_pattern,high,english,,
LAB_stip_Q10,LAB,stip,Q10,Stipendier fra Statens Uddannelsesstøtte (SU) — 10/10 kvantil,Stipendier fra Statens Uddannelsesstøtte (SU) — 10/10 kvantil,,,Scholarships from State Educational Support (SU) — 10/10 quantile,,,dst_times_stip,generated_pattern,high,english,,
LAB_stip_Q5,LAB,stip,Q5,Stipendier fra Statens Uddannelsesstøtte (SU) — 5/10 kvantil,Stipendier fra Statens Uddannelsesstøtte (SU) — 5/10 kvantil,,,Scholarships from State Educational Support (SU) — 5/10 quantile,,,dst_times_stip,generated_pattern,high,english,,
LAB_stip_Q4,LAB,stip,Q4,Stipendier fra Statens Uddannelsesstøtte (SU) — 4/10 kvantil,Stipendier fra Statens Uddannelsesstøtte (SU) — 4/10 kvantil,,,Scholarships from State Educational Support (SU) — 4/10 quantile,,,dst_times_stip,generated_pattern,high,english,,
LAB_stip_Q7,LAB,stip,Q7,Stipendier fra Statens Uddannelsesstøtte (SU) — 7/10 kvantil,Stipendier fra Statens Uddannelsesstøtte (SU) — 7/10 kvantil,,,Scholarships from State Educational Support (SU) — 7/10 quantile,,,dst_times_stip,generated_pattern,high,english,,
LAB_stip_Q1,LAB,stip,Q1,Stipendier fra Statens Uddannelsesstøtte (SU) — 1/10 kvantil,Stipendier fra Statens Uddannelsesstøtte (SU) — 1/10 kvantil,,,Scholarships from State Educational Support (SU) — 1/10 quantile,,,dst_times_stip,generated_pattern,high,english,,
LAB_stip_Q8,LAB,stip,Q8,Stipendier fra Statens Uddannelsesstøtte (SU) — 8/10 kvantil,Stipendier fra Statens Uddannelsesstøtte (SU) — 8/10 kvantil,,,Scholarships from State Educational Support (SU) — 8/10 quantile,,,dst_times_stip,generated_pattern,high,english,,
LAB_stip_Q2,LAB,stip,Q2,Stipendier fra Statens Uddannelsesstøtte (SU) — 2/10 kvantil,Stipendier fra Statens Uddannelsesstøtte (SU) — 2/10 kvantil,,,Scholarships from State Educational Support (SU) — 2/10 quantile,,,dst_times_stip,generated_pattern,high,english,,
