code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
LAB_syg_barsel_13_Q4,LAB,syg,barsel_13_Q4,Udbetalte syge- og barselsdagpenge fra kommuner — 4/100 kvantil,Udbetalte syge- og barselsdagpenge fra kommuner — 4/100 kvantil,,,Sick leave and maternity benefits (paid by municipalities) — 4/100 quantile,,,dst_times_syg_barsel_13,generated:quantile_percentile,high,english,,,418511,356106,0.039442
LAB_syg_barsel_13_Q22,LAB,syg,barsel_13_Q22,Udbetalte syge- og barselsdagpenge fra kommuner — 22/100 kvantil,Udbetalte syge- og barselsdagpenge fra kommuner — 22/100 kvantil,,,Sick leave and maternity benefits (paid by municipalities) — 22/100 quantile,,,dst_times_syg_barsel_13,generated:quantile_percentile,high,english,,,119326,114890,0.012725
LAB_syg_barsel_13_Q48,LAB,syg,barsel_13_Q48,Udbetalte syge- og barselsdagpenge fra kommuner — 48/100 kvantil,Udbetalte syge- og barselsdagpenge fra kommuner — 48/100 kvantil,,,Sick leave and maternity benefits (paid by municipalities) — 48/100 quantile,,,dst_times_syg_barsel_13,generated:quantile_percentile,high,english,,,83860,82193,0.009104
LAB_syg_barsel_13_Q64,LAB,syg,barsel_13_Q64,Udbetalte syge- og barselsdagpenge fra kommuner — 64/100 kvantil,Udbetalte syge- og barselsdagpenge fra kommuner — 64/100 kvantil,,,Sick leave and maternity benefits (paid by municipalities) — 64/100 quantile,,,dst_times_syg_barsel_13,generated:quantile_percentile,high,english,,,70502,69212,0.007666
LAB_syg_barsel_13_Q75,LAB,syg,barsel_13_Q75,Udbetalte syge- og barselsdagpenge fra kommuner — 75/100 kvantil,Udbetalte syge- og barselsdagpenge fra kommuner — 75/100 kvantil,,,Sick leave and maternity benefits (paid by municipalities) — 75/100 quantile,,,dst_times_syg_barsel_13,generated:quantile_percentile,high,english,,,70938,69261,0.007671
LAB_syg_barsel_13_Q9,LAB,syg,barsel_13_Q9,Udbetalte syge- og barselsdagpenge fra kommuner — 9/100 kvantil,Udbetalte syge- og barselsdagpenge fra kommuner — 9/100 kvantil,,,Sick leave and maternity benefits (paid by municipalities) — 9/100 quantile,,,dst_times_syg_barsel_13,generated:quantile_percentile,high,english,,,291328,261319,0.028943
LAB_syg_barsel_13_Q10,LAB,syg,barsel_13_Q10,Udbetalte syge- og barselsdagpenge fra kommuner — 10/100 kvantil,Udbetalte syge- og barselsdagpenge fra kommuner — 10/100 kvantil,,,Sick leave and maternity benefits (paid by municipalities) — 10/100 quantile,,,dst_times_syg_barsel_13,generated:quantile_percentile,high,english,,,285023,256832,0.028446
LAB_syg_barsel_13_Q61,LAB,syg,barsel_13_Q61,Udbetalte syge- og barselsdagpenge fra kommuner — 61/100 kvantil,Udbetalte syge- og barselsdagpenge fra kommuner — 61/100 kvantil,,,Sick leave and maternity benefits (paid by municipalities) — 61/100 quantile,,,dst_times_syg_barsel_13,generated:quantile_percentile,high,english,,,71729,70417,0.007799
LAB_syg_barsel_13_Q77,LAB,syg,barsel_13_Q77,Udbetalte syge- og barselsdagpenge fra kommuner — 77/100 kvantil,Udbetalte syge- og barselsdagpenge fra kommuner — 77/100 kvantil,,,Sick leave and maternity benefits (paid by municipalities) — 77/100 quantile,,,dst_times_syg_barsel_13,generated:quantile_percentile,high,english,,,62563,61200,0.006778
LAB_syg_barsel_13_Q24,LAB,syg,barsel_13_Q24,Udbetalte syge- og barselsdagpenge fra kommuner — 24/100 kvantil,Udbetalte syge- og barselsdagpenge fra kommuner — 24/100 kvantil,,,Sick leave and maternity benefits (paid by municipalities) — 24/100 quantile,,,dst_times_syg_barsel_13,generated:quantile_percentile,high,english,,,108242,104596,0.011585
