code,prefix,database,value,description,source,confidence,language
LAB_tilstand_grad_amr_Q1,LAB,tilstand,grad_amr_Q1,Employment condition: grad_amr_Q1,enhanced_english,medium,english
LAB_tilstand_grad_amr_Q10,LAB,tilstand,grad_amr_Q10,Employment condition: grad_amr_Q10,enhanced_english,medium,english
LAB_tilstand_grad_amr_Q2,LAB,tilstand,grad_amr_Q2,Employment condition: grad_amr_Q2,enhanced_english,medium,english
LAB_tilstand_grad_amr_Q3,LAB,tilstand,grad_amr_Q3,Employment condition: grad_amr_Q3,enhanced_english,medium,english
LAB_tilstand_grad_amr_Q4,LAB,tilstand,grad_amr_Q4,Employment condition: grad_amr_Q4,enhanced_english,medium,english
LAB_tilstand_grad_amr_Q5,LAB,tilstand,grad_amr_Q5,Employment condition: grad_amr_Q5,enhanced_english,medium,english
LAB_tilstand_grad_amr_Q6,LAB,tilstand,grad_amr_Q6,Employment condition: grad_amr_Q6,enhanced_english,medium,english
LAB_tilstand_grad_amr_Q7,LAB,tilstand,grad_amr_Q7,Employment condition: grad_amr_Q7,enhanced_english,medium,english
LAB_tilstand_grad_amr_Q8,LAB,tilstand,grad_amr_Q8,Employment condition: grad_amr_Q8,enhanced_english,medium,english
LAB_tilstand_grad_amr_Q9,LAB,tilstand,grad_amr_Q9,Employment condition: grad_amr_Q9,enhanced_english,medium,english
LAB_tilstand_kode_11010,LAB,tilstand,kode_11010,Employment condition: kode_11010,enhanced_english,medium,english
LAB_tilstand_kode_11030,LAB,tilstand,kode_11030,Employment condition: kode_11030,enhanced_english,medium,english
LAB_tilstand_kode_11039,LAB,tilstand,kode_11039,Employment condition: kode_11039,enhanced_english,medium,english
LAB_tilstand_kode_11040,LAB,tilstand,kode_11040,Employment condition: kode_11040,enhanced_english,medium,english
LAB_tilstand_kode_11049,LAB,tilstand,kode_11049,Employment condition: kode_11049,enhanced_english,medium,english
LAB_tilstand_kode_11050,LAB,tilstand,kode_11050,Employment condition: kode_11050,enhanced_english,medium,english
LAB_tilstand_kode_11060,LAB,tilstand,kode_11060,Employment condition: kode_11060,enhanced_english,medium,english
LAB_tilstand_kode_11070,LAB,tilstand,kode_11070,Employment condition: kode_11070,enhanced_english,medium,english
LAB_tilstand_kode_11080,LAB,tilstand,kode_11080,Employment condition: kode_11080,enhanced_english,medium,english
LAB_tilstand_kode_11120,LAB,tilstand,kode_11120,Employment condition: kode_11120,enhanced_english,medium,english
LAB_tilstand_kode_11520,LAB,tilstand,kode_11520,Employment condition: kode_11520,enhanced_english,medium,english
LAB_tilstand_kode_11530,LAB,tilstand,kode_11530,Employment condition: kode_11530,enhanced_english,medium,english
LAB_tilstand_kode_11550,LAB,tilstand,kode_11550,Employment condition: kode_11550,enhanced_english,medium,english
LAB_tilstand_kode_11570,LAB,tilstand,kode_11570,Employment condition: kode_11570,enhanced_english,medium,english
LAB_tilstand_kode_11591,LAB,tilstand,kode_11591,Employment condition: kode_11591,enhanced_english,medium,english
LAB_tilstand_kode_11592,LAB,tilstand,kode_11592,Employment condition: kode_11592,enhanced_english,medium,english
LAB_tilstand_kode_11593,LAB,tilstand,kode_11593,Employment condition: kode_11593,enhanced_english,medium,english
LAB_tilstand_kode_11594,LAB,tilstand,kode_11594,Employment condition: kode_11594,enhanced_english,medium,english
LAB_tilstand_kode_11800,LAB,tilstand,kode_11800,Employment condition: kode_11800,enhanced_english,medium,english
LAB_tilstand_kode_11900,LAB,tilstand,kode_11900,Employment condition: kode_11900,enhanced_english,medium,english
