code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
LAB_underhol_Q36,LAB,underhol,Q36,Paid maintenance (deduction in taxable income) - 36/100 quantile,,Paid maintenance (deduction in taxable income) - 36/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q68,LAB,underhol,Q68,Paid maintenance (deduction in taxable income) - 68/100 quantile,,Paid maintenance (deduction in taxable income) - 68/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q69,LAB,underhol,Q69,Paid maintenance (deduction in taxable income) - 69/100 quantile,,Paid maintenance (deduction in taxable income) - 69/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q79,LAB,underhol,Q79,Paid maintenance (deduction in taxable income) - 79/100 quantile,,Paid maintenance (deduction in taxable income) - 79/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q89,LAB,underhol,Q89,Paid maintenance (deduction in taxable income) - 89/100 quantile,,Paid maintenance (deduction in taxable income) - 89/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q50,LAB,underhol,Q50,Paid maintenance (deduction in taxable income) - 50/100 quantile,,Paid maintenance (deduction in taxable income) - 50/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q85,LAB,underhol,Q85,Paid maintenance (deduction in taxable income) - 85/100 quantile,,Paid maintenance (deduction in taxable income) - 85/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q80,LAB,underhol,Q80,Paid maintenance (deduction in taxable income) - 80/100 quantile,,Paid maintenance (deduction in taxable income) - 80/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q86,LAB,underhol,Q86,Paid maintenance (deduction in taxable income) - 86/100 quantile,,Paid maintenance (deduction in taxable income) - 86/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q76,LAB,underhol,Q76,Paid maintenance (deduction in taxable income) - 76/100 quantile,,Paid maintenance (deduction in taxable income) - 76/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q1,LAB,underhol,Q1,Paid maintenance (deduction in taxable income) - 1/100 quantile,,Paid maintenance (deduction in taxable income) - 1/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q70,LAB,underhol,Q70,Paid maintenance (deduction in taxable income) - 70/100 quantile,,Paid maintenance (deduction in taxable income) - 70/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q54,LAB,underhol,Q54,Paid maintenance (deduction in taxable income) - 54/100 quantile,,Paid maintenance (deduction in taxable income) - 54/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q15,LAB,underhol,Q15,Paid maintenance (deduction in taxable income) - 15/100 quantile,,Paid maintenance (deduction in taxable income) - 15/100 quantile,generated_pattern,medium,english,,
