code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
SOC_afgtypko_69,SOC,afgtypko,69,"Påtale opgivet Rpl p.721, stk.1 nr.2","Påtale opgivet Rpl p.721, stk.1 nr.2",,,Prosecution abandoned (Rpl §721(1)(2)),,,translated,dst_afgtypko,high,danish,,,716426,242571,0.026867,,
SOC_afgtypko_21,SOC,afgtypko,21,Bødeforlæg,Bødeforlæg,,,Fine notice (out-of-court fine),,,translated,dst_afgtypko,high,danish,,,3392667,1622108,0.179662,,
SOC_afgtypko_16,SOC,afgtypko,16,Indenretlig vedtagelse af bøde/frakendelse af retten til at føre lille knallert,Indenretlig vedtagelse af bøde/frakendelse af retten til at føre lille knallert,,,In-court acceptance of fine / disqualification of right to ride a small moped,,,translated,dst_afgtypko,high,danish,,,2247,1761,0.000195,,
SOC_afgtypko_17,SOC,afgtypko,17,Udenretlig vedtagelse af bøde/frakendelse af retten til at føre lille knallert,Udenretlig vedtagelse af bøde/frakendelse af retten til at føre lille knallert,,,Out-of-court acceptance of fine / disqualification of right to ride a small moped,,,translated,dst_afgtypko,high,danish,,,20223,19693,0.002181,,
SOC_afgtypko_82,SOC,afgtypko,82,"Bet. dom, bøde og samf.tj. (dannet af DST ud fra RP-kode = 05. Forekommer kun i perioden 1983-2006)","Bet. dom, bøde og samf.tj. (dannet af DST ud fra RP-kode = 05. Forekommer kun i perioden 1983-2006)",,,"Suspended sentence, fine and community service (DST-derived, 1983-2006)",,,translated,dst_afgtypko,high,danish,,,13513,12498,0.001384,,
SOC_afgtypko_19,SOC,afgtypko,19,Udenretlig vedt. af bøde og førerretsfrakendelse,Udenretlig vedt. af bøde og førerretsfrakendelse,,,Out-of-court acceptance of fine and driving-licence disqualification,,,translated,dst_afgtypko,high,danish,,,264437,237967,0.026357,,
SOC_afgtypko_1,SOC,afgtypko,1,Ubetinget dom alene,Ubetinget dom alene,,,Unconditional sentence only,,,translated,dst_afgtypko,high,danish,,,2126983,200994,0.022262,,
SOC_afgtypko_7,SOC,afgtypko,7,Udeblivelsesdom,Udeblivelsesdom,,,Judgment in absentia (default judgment),,,translated,dst_afgtypko,high,danish,,,542402,203688,0.02256,,
SOC_afgtypko_4,SOC,afgtypko,4,Betinget dom alene,Betinget dom alene,,,Suspended sentence only,,,translated,dst_afgtypko,high,danish,,,1049637,187031,0.020715,,
SOC_afgtypko_5,SOC,afgtypko,5,Betinget dom og bøde,Betinget dom og bøde,,,Suspended sentence and fine,,,translated,dst_afgtypko,high,danish,,,323921,83742,0.009275,,
SOC_afgtypko_66,SOC,afgtypko,66,"Tiltalefrafald uden vilkår Rpl p.722, stk.1, nr.4","Tiltalefrafald uden vilkår Rpl p.722, stk.1, nr.4",,,Charge withdrawn without conditions (Rpl §722(1)(4)),,,translated,dst_afgtypko,high,danish,,,111109,28301,0.003135,,
SOC_afgtypko_8,SOC,afgtypko,8,Bødevedtagelse i retten,Bødevedtagelse i retten,,,In-court acceptance of fine,,,translated,dst_afgtypko,high,danish,,,110088,62321,0.006903,,
SOC_afgtypko_6,SOC,afgtypko,6,Delvis betinget dom,Delvis betinget dom,,,Partially suspended sentence,,,translated,dst_afgtypko,high,danish,,,334750,31274,0.003464,,
SOC_afgtypko_40,SOC,afgtypko,40,Andet,Andet,,,Other,,,translated,dst_afgtypko,high,danish,,,44224,26079,0.002888,,
SOC_afgtypko_9,SOC,afgtypko,9,Advarsel i retten,Advarsel i retten,,,Warning in court,,,translated,dst_afgtypko,high,danish,,,5617,4638,0.000514,,
SOC_afgtypko_2,SOC,afgtypko,2,Bødedom,Bødedom,,,Fine sentence,,,translated,dst_afgtypko,high,danish,,,200730,131234,0.014535,,
SOC_afgtypko_12,SOC,afgtypko,12,Indenretlig vedt. af bøde og førerretsfrakendelse,Indenretlig vedt. af bøde og førerretsfrakendelse,,,In-court acceptance of fine and driving-licence disqualification,,,translated,dst_afgtypko,high,danish,,,28558,24167,0.002677,,
SOC_afgtypko_11,SOC,afgtypko,11,Frifundet,Frifundet,,,Acquitted,,,translated,dst_afgtypko,high,danish,,,366089,110313,0.012218,,
SOC_afgtypko_81,SOC,afgtypko,81,Betinget dom og samf.tj.,Betinget dom og samf.tj.,,,Suspended sentence and community service,,,translated,dst_afgtypko,high,danish,,,13126,12564,0.001392,,
SOC_afgtypko_70,SOC,afgtypko,70,Dom uden retsmøde,Dom uden retsmøde,,,Judgment without court hearing,,,translated,dst_afgtypko,high,danish,,,359540,150688,0.01669,,
SOC_afgtypko_201,SOC,afgtypko,201,Udenretlig vedtagelse bøde/frakendt ret til af føre tunge køretøjer (dannet af DST ud fra RP-kode = 53),Udenretlig vedtagelse bøde/frakendt ret til af føre tunge køretøjer (dannet af DST ud fra RP-kode = 53),,,Out-of-court acceptance of fine / disqualification of right to drive heavy vehicles,,,translated,dst_afgtypko,high,danish,,,59,59,7e-06,,
SOC_afgtypko_67,SOC,afgtypko,67,"Tiltalefrafald uden vilkår Rpl p.722, stk.1 nr.7","Tiltalefrafald uden vilkår Rpl p.722, stk.1 nr.7",,,Charge withdrawn without conditions (Rpl §722(1)(7)),,,translated,dst_afgtypko,high,danish,,,32101,14906,0.001651,,
SOC_afgtypko_78,SOC,afgtypko,78,"Tiltale undladt med advarsel - særlovgivningen (Rpl. §722, stk. 1 nr. 1 eller 7)","Tiltale undladt med advarsel - særlovgivningen (Rpl. §722, stk. 1 nr. 1 eller 7)",,,"Charge waived with warning, special legislation (Rpl §722(1)(1 or 7))",,,translated,dst_afgtypko,high,danish,,,24532,22277,0.002467,,
SOC_afgtypko_76,SOC,afgtypko,76,"Tiltale undladt med advarsel - straffeloven (Rpl. §722, stk. 1 nr. 1)","Tiltale undladt med advarsel - straffeloven (Rpl. §722, stk. 1 nr. 1)",,,"Charge waived with warning, Penal Code (Rpl §722(1)(1))",,,translated,dst_afgtypko,high,danish,,,9052,8153,0.000903,,
SOC_afgtypko_3,SOC,afgtypko,3,"Straffelov §68-70, Foranstaltning/ Forvaring","Straffelov §68-70, Foranstaltning/ Forvaring",,,Penal Code §68-70 measure / preventive detention,,,translated,dst_afgtypko,high,danish,,,241771,15380,0.001703,,
SOC_afgtypko_77,SOC,afgtypko,77,"Tiltale undladt uden advarsel - straffeloven (Rpl. §722, stk. 1 nr. 1)","Tiltale undladt uden advarsel - straffeloven (Rpl. §722, stk. 1 nr. 1)",,,"Charge waived without warning, Penal Code (Rpl §722(1)(1))",,,translated,dst_afgtypko,high,danish,,,3487,2159,0.000239,,
SOC_afgtypko_86,SOC,afgtypko,86,Ubetinget dom og bøde,Ubetinget dom og bøde,,,Unconditional sentence and fine,,,translated,dst_afgtypko,high,danish,,,7678,6704,0.000743,,
SOC_afgtypko_68,SOC,afgtypko,68,"Tiltalefrafald uden vilkår Rpl p.722, stk.2 jf.stk.3","Tiltalefrafald uden vilkår Rpl p.722, stk.2 jf.stk.3",,,Charge withdrawn without conditions (Rpl §722(2) cf. (3)),,,translated,dst_afgtypko,high,danish,,,3519,1517,0.000168,,
SOC_afgtypko_71,SOC,afgtypko,71,"Tiltalefrafald uden vilkår Rpl p.722, stk.1 nr.5","Tiltalefrafald uden vilkår Rpl p.722, stk.1 nr.5",,,Charge withdrawn without conditions (Rpl §722(1)(5)),,,translated,dst_afgtypko,high,danish,,,7314,2433,0.000269,,
SOC_afgtypko_88,SOC,afgtypko,88,Udstået ved varetægt,Udstået ved varetægt,,,Served by pre-trial detention,,,translated,dst_afgtypko,high,danish,,,1173,1091,0.000121,,
SOC_afgtypko_20,SOC,afgtypko,20,Udenretlig vedt. af bøde og kørselsforbud,Udenretlig vedt. af bøde og kørselsforbud,,,Out-of-court acceptance of fine and driving ban,,,translated,dst_afgtypko,high,danish,,,30353,29264,0.003241,,
SOC_afgtypko_63,SOC,afgtypko,63,"Tiltalefrafald med vilkår Rpl p.722, stk.1, nr.3","Tiltalefrafald med vilkår Rpl p.722, stk.1, nr.3",,,Charge withdrawn with conditions (Rpl §722(1)(3)),,,translated,dst_afgtypko,high,danish,,,9898,3317,0.000367,,
SOC_afgtypko_62,SOC,afgtypko,62,"Tiltalefrafald med vilkår Rpl p.722, stk.1, nr.2","Tiltalefrafald med vilkår Rpl p.722, stk.1, nr.2",,,Charge withdrawn with conditions (Rpl §722(1)(2)),,,translated,dst_afgtypko,high,danish,,,12106,2999,0.000332,,
SOC_afgtypko_72,SOC,afgtypko,72,"Påtale opgivet RPCH:81 rpl p.721,stk.1 nr.3","Påtale opgivet RPCH:81 rpl p.721,stk.1 nr.3",,,Prosecution abandoned (Rpl §721(1)(3)),,,translated,dst_afgtypko,high,danish,,,473,262,2.9e-05,,
SOC_afgtypko_65,SOC,afgtypko,65,"Tiltalefrafald uden vilkår Rpl p.722, stk.1, nr.6","Tiltalefrafald uden vilkår Rpl p.722, stk.1, nr.6",,,Charge withdrawn without conditions (Rpl §722(1)(6)),,,translated,dst_afgtypko,high,danish,,,911,733,8.1e-05,,
SOC_afgtypko_52,SOC,afgtypko,52,"Rpl p.722, stk.1,nr.2 ungd.kontrakt (dannet af DST ud fra RP-kode = 62. Forekommer kun i perioden 1999-2006)","Rpl p.722, stk.1,nr.2 ungd.kontrakt (dannet af DST ud fra RP-kode = 62. Forekommer kun i perioden 1999-2006)",,,"Youth contract (Rpl §722(1)(2); DST-derived, 1999-2006)",,,translated,dst_afgtypko,high,danish,,,1620,1589,0.000176,,
SOC_afgtypko_13,SOC,afgtypko,13,Indenretlig vedt. af bøde og kørselsforbud,Indenretlig vedt. af bøde og kørselsforbud,,,In-court acceptance of fine and driving ban,,,translated,dst_afgtypko,high,danish,,,1975,1858,0.000206,,
