code,prefix,database,value,description,description_da,description_da_alt,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
SOC_boedeblb_Q2,SOC,boedeblb,Q2,fine amount: quantile 2,bødebeløb: kvantil 2,,fine amount: quantile 2,,,translated,none|generated,medium,danish,,
SOC_boedeblb_Q1,SOC,boedeblb,Q1,fine amount: quantile 1,bødebeløb: kvantil 1,,fine amount: quantile 1,,,translated,none|generated,medium,danish,,
SOC_boedeblb_Q3,SOC,boedeblb,Q3,fine amount: quantile 3,bødebeløb: kvantil 3,,fine amount: quantile 3,,,translated,none|generated,medium,danish,,
SOC_boedeblb_Q6,SOC,boedeblb,Q6,fine amount: quantile 6,bødebeløb: kvantil 6,,fine amount: quantile 6,,,translated,none|generated,medium,danish,,
SOC_boedeblb_Q4,SOC,boedeblb,Q4,fine amount: quantile 4,bødebeløb: kvantil 4,,fine amount: quantile 4,,,translated,none|generated,medium,danish,,
SOC_boedeblb_Q5,SOC,boedeblb,Q5,fine amount: quantile 5,bødebeløb: kvantil 5,,fine amount: quantile 5,,,translated,none|generated,medium,danish,,
SOC_boedeblb_Q7,SOC,boedeblb,Q7,fine amount: quantile 7,bødebeløb: kvantil 7,,fine amount: quantile 7,,,translated,none|generated,medium,danish,,
SOC_boedeblb_Q9,SOC,boedeblb,Q9,fine amount: quantile 9,bødebeløb: kvantil 9,,fine amount: quantile 9,,,translated,none|generated,medium,danish,,
SOC_boedeblb_Q10,SOC,boedeblb,Q10,fine amount: quantile 10,bødebeløb: kvantil 10,,fine amount: quantile 10,,,translated,none|generated,medium,danish,,
SOC_boedeblb_Q8,SOC,boedeblb,Q8,fine amount: quantile 8,bødebeløb: kvantil 8,,fine amount: quantile 8,,,translated,none|generated,medium,danish,,
