code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
SOC_dagbobel_Q3,SOC,dagbobel,Q3,daily fine amount: quantile 3,,daily fine amount: quantile 3,none|generated,medium,danish,,
SOC_dagbobel_Q7,SOC,dagbobel,Q7,daily fine amount: quantile 7,,daily fine amount: quantile 7,none|generated,medium,danish,,
SOC_dagbobel_Q1,SOC,dagbobel,Q1,daily fine amount: quantile 1,,daily fine amount: quantile 1,none|generated,medium,danish,,
SOC_dagbobel_Q4,SOC,dagbobel,Q4,daily fine amount: quantile 4,,daily fine amount: quantile 4,none|generated,medium,danish,,
SOC_dagbobel_Q6,SOC,dagbobel,Q6,daily fine amount: quantile 6,,daily fine amount: quantile 6,none|generated,medium,danish,,
SOC_dagbobel_Q2,SOC,dagbobel,Q2,daily fine amount: quantile 2,,daily fine amount: quantile 2,none|generated,medium,danish,,
SOC_dagbobel_Q5,SOC,dagbobel,Q5,daily fine amount: quantile 5,,daily fine amount: quantile 5,none|generated,medium,danish,,
SOC_dagbobel_Q8,SOC,dagbobel,Q8,daily fine amount: quantile 8,,daily fine amount: quantile 8,none|generated,medium,danish,,
SOC_dagbobel_Q10,SOC,dagbobel,Q10,daily fine amount: quantile 10,,daily fine amount: quantile 10,none|generated,medium,danish,,
SOC_dagbobel_Q9,SOC,dagbobel,Q9,daily fine amount: quantile 9,,daily fine amount: quantile 9,none|generated,medium,danish,,
