code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
SOC_frakkod_90,SOC,frakkod,90,"Blank kode fra RPCH, der er konverteret til 90","Blank kode fra RPCH, der er konverteret til 90",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_LN,SOC,frakkod,LN,"Ubetinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 3, nr. 1","Ubetinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 3, nr. 1",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_41,SOC,frakkod,41,"Ubetinget førerretsfrakendelse i medf. af færdsl. § 125, jf. § 127","Ubetinget førerretsfrakendelse i medf. af færdsl. § 125, jf. § 127",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_01,SOC,frakkod,01,"Frakendelse af kørekort i medfør af færdselslovens § 125, jf. § 127. Gældende til 150599","Frakendelse af kørekort i medfør af færdselslovens § 125, jf. § 127. Gældende til 150599",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UA,SOC,frakkod,UA,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 1 jf. § 128,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 1 jf. § 128,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_BD,SOC,frakkod,BD,"Betinget førerretsfrakendelse jf. færdsl. § 125, stk. 1, nr. 1","Betinget førerretsfrakendelse jf. færdsl. § 125, stk. 1, nr. 1",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_LF,SOC,frakkod,LF,"Betinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 1, nr. 6","Betinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 1, nr. 6",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_07,SOC,frakkod,07,"Frakendt førerretten betinget i medfør af færdselslovens § 126, stk. 1, nr. 1, jf. § 128","Frakendt førerretten betinget i medfør af færdselslovens § 126, stk. 1, nr. 1, jf. § 128",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_BN,SOC,frakkod,BN,"Betinget førerretsfrakendelse jf. færdsl. § 125, stk. 1, nr. 3","Betinget førerretsfrakendelse jf. færdsl. § 125, stk. 1, nr. 3",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_98,SOC,frakkod,98,Uoplyst type af førerretsfrakendelse,Uoplyst type af førerretsfrakendelse,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_52,SOC,frakkod,52,"Betinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 1, nr. 1, jf. § 128","Betinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 1, nr. 1, jf. § 128",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_LD,SOC,frakkod,LD,"Betinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 1, nr. 4","Betinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 1, nr. 4",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_VN,SOC,frakkod,VN,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 1 jf. § 128,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 1 jf. § 128,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_LS,SOC,frakkod,LS,"Ubetinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 3, nr. 6","Ubetinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 3, nr. 6",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_69,SOC,frakkod,69,Førerretsfrakendelse i medf. af færdsl. § 126 stk. 1 nr. 8 jf. § 128. Se kode 48,Førerretsfrakendelse i medf. af færdsl. § 126 stk. 1 nr. 8 jf. § 128. Se kode 48,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_GB,SOC,frakkod,GB,Betinget frakendt ret til at føre tunge køretøjer jf. færdsl. § 129 A stk. 1 nr. 2,Betinget frakendt ret til at føre tunge køretøjer jf. færdsl. § 129 A stk. 1 nr. 2,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_BT,SOC,frakkod,BT,"Betinget førerretsfrakendelse jf. færdsl. § 125, stk. 1, nr. 8","Betinget førerretsfrakendelse jf. færdsl. § 125, stk. 1, nr. 8",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UB,SOC,frakkod,UB,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 2 jf. § 128,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 2 jf. § 128,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_48,SOC,frakkod,48,"Tidligere ubetinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 2, nr. 5, jf. § 127","Tidligere ubetinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 2, nr. 5, jf. § 127",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_CA,SOC,frakkod,CA,Betinget førerretsfrakendelse jf. Færdselslovens § 125 stk. 1 nr. 5,Betinget førerretsfrakendelse jf. Færdselslovens § 125 stk. 1 nr. 5,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_BE,SOC,frakkod,BE,Betinget førerretsfrakendelse i medf. af færdsl. § 125 stk. 1 nr. 2 jf. stk. 4. Hastidhedsoverskridelse på mere end 60% (tidl.83),Betinget førerretsfrakendelse i medf. af færdsl. § 125 stk. 1 nr. 2 jf. stk. 4. Hastidhedsoverskridelse på mere end 60% (tidl.83),,raw_soc_frakkod,medium,danish,,
SOC_frakkod_22,SOC,frakkod,22,Forbud i medfør af restaurationsloven,Forbud i medfør af restaurationsloven,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_US,SOC,frakkod,US,"Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 8, jf. § 128","Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 8, jf. § 128",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_BL,SOC,frakkod,BL,"Betinget førerretsfrakendelse jf. færdsl. § 125, stk. 2","Betinget førerretsfrakendelse jf. færdsl. § 125, stk. 2",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_45,SOC,frakkod,45,"Ubetinget førerretsfrakendelse i medfør af færdselslovens § 126, stk. 2, nr. 4, jf. § 127","Ubetinget førerretsfrakendelse i medfør af færdselslovens § 126, stk. 2, nr. 4, jf. § 127",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_BO,SOC,frakkod,BO,"Betinget førerretsfrakendelse jf. færdsl. § 125, stk. 1, nr. 4","Betinget førerretsfrakendelse jf. færdsl. § 125, stk. 1, nr. 4",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_53,SOC,frakkod,53,"Betinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 1, nr. 2, jf. § 128","Betinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 1, nr. 2, jf. § 128",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_60,SOC,frakkod,60,"Førerretsfrakendelse i medfør af færdselslovens § 126 stk. 1 nr. 1 jf. § 128. Spirituskørsel når prom. er over 1,2","Førerretsfrakendelse i medfør af færdselslovens § 126 stk. 1 nr. 1 jf. § 128. Spirituskørsel når prom. er over 1,2",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_ÅA,SOC,frakkod,ÅA,Åbent afsoning (Open imprisonment),,Åbent afsoning (Open imprisonment),none|generated,medium,danish,,
SOC_frakkod_82,SOC,frakkod,82,Betinget førerretskendelse i medfør af færdselslovens § 125 stk. 1 nr. 1 jf. stk. 4. Se kode 52,Betinget førerretskendelse i medfør af færdselslovens § 125 stk. 1 nr. 1 jf. stk. 4. Se kode 52,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_86,SOC,frakkod,86,"Betinget førerretsfrakendelse i medf. af færdsl. § 125 stk. 1 nr. 7 jf. stk. 4. Spirituskørsel, promille ikke over 1,2. Se kode 56","Betinget førerretsfrakendelse i medf. af færdsl. § 125 stk. 1 nr. 7 jf. stk. 4. Spirituskørsel, promille ikke over 1,2. Se kode 56",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_43,SOC,frakkod,43,"Ubetinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 2, nr. 2, jf. § 127","Ubetinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 2, nr. 2, jf. § 127",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UI,SOC,frakkod,UI,Ubetinget førerretsfrakendelse i medf. af færdsl. § 126 stk. 1 nr. 9 jf. § 128. Nyt forhold begået i prøvetiden for en tidl. ubet. frakendelse el. inden for 5 år efter udløbet (tidl.69),Ubetinget førerretsfrakendelse i medf. af færdsl. § 126 stk. 1 nr. 9 jf. § 128. Nyt forhold begået i prøvetiden for en tidl. ubet. frakendelse el. inden for 5 år efter udløbet (tidl.69),,raw_soc_frakkod,medium,danish,,
SOC_frakkod_83,SOC,frakkod,83,Betinget førerretskendelse i medfør af færdselslovens § 125 stk. 1 nr. 2 jf. stk. 4. Se kode 53,Betinget førerretskendelse i medfør af færdselslovens § 125 stk. 1 nr. 2 jf. stk. 4. Se kode 53,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_08,SOC,frakkod,08,"Frakendt førerretten betinget i medfør af færdselslovens § 126, stk. 1, nr. 2, jf. § 128. Gældende til 010797","Frakendt førerretten betinget i medfør af færdselslovens § 126, stk. 1, nr. 2, jf. § 128. Gældende til 010797",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UU,SOC,frakkod,UU,"Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 10, jf. § 128","Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 10, jf. § 128",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_VI,SOC,frakkod,VI,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 9 jf. § 128,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 9 jf. § 128,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_ÅB,SOC,frakkod,ÅB,"Åbent med begrænset fællesskab (Open, limited community)",,"Åbent med begrænset fællesskab (Open, limited community)",none|generated,medium,danish,,
SOC_frakkod_VB,SOC,frakkod,VB,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 12,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 12,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_05,SOC,frakkod,05,"Frakendelse af kørekort i medfør af færdselslovens § 126, stk. 2, nr. 4, jf. § 127. Gældende til 150599","Frakendelse af kørekort i medfør af færdselslovens § 126, stk. 2, nr. 4, jf. § 127. Gældende til 150599",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_38,SOC,frakkod,38,Tilhold i henhold til bortvisningslov,Tilhold i henhold til bortvisningslov,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_54,SOC,frakkod,54,"Betinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 1, nr. 3, jf. § 128","Betinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 1, nr. 3, jf. § 128",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_VG,SOC,frakkod,VG,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 7 jf. § 128,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 7 jf. § 128,,raw_soc_frakkod,medium,danish,,
