code,prefix,database,value,token_id
SOC_afgtypko_69,SOC,afgtypko,69,39801
SOC_afgtypko_21,SOC,afgtypko,21,39802
SOC_afgtypko_16,SOC,afgtypko,16,39803
SOC_afgtypko_17,SOC,afgtypko,17,39804
SOC_afgtypko_82,SOC,afgtypko,82,39805
SOC_afgtypko_19,SOC,afgtypko,19,39806
SOC_afgtypko_1,SOC,afgtypko,1,39807
SOC_afgtypko_7,SOC,afgtypko,7,39808
SOC_afgtypko_4,SOC,afgtypko,4,39809
SOC_afgtypko_5,SOC,afgtypko,5,39810
SOC_afgtypko_66,SOC,afgtypko,66,39811
SOC_afgtypko_8,SOC,afgtypko,8,39812
SOC_afgtypko_6,SOC,afgtypko,6,39813
SOC_afgtypko_40,SOC,afgtypko,40,39814
SOC_afgtypko_9,SOC,afgtypko,9,39815
SOC_afgtypko_2,SOC,afgtypko,2,39816
SOC_afgtypko_12,SOC,afgtypko,12,39817
SOC_afgtypko_11,SOC,afgtypko,11,39818
SOC_afgtypko_81,SOC,afgtypko,81,39819
SOC_afgtypko_70,SOC,afgtypko,70,39820
SOC_afgtypko_201,SOC,afgtypko,201,39821
SOC_afgtypko_67,SOC,afgtypko,67,39822
SOC_afgtypko_78,SOC,afgtypko,78,39823
SOC_afgtypko_76,SOC,afgtypko,76,39824
SOC_afgtypko_3,SOC,afgtypko,3,39825
SOC_afgtypko_77,SOC,afgtypko,77,39826
SOC_afgtypko_86,SOC,afgtypko,86,39827
SOC_afgtypko_68,SOC,afgtypko,68,39828
SOC_afgtypko_71,SOC,afgtypko,71,39829
SOC_afgtypko_88,SOC,afgtypko,88,39830
SOC_afgtypko_20,SOC,afgtypko,20,39831
SOC_afgtypko_63,SOC,afgtypko,63,39832
SOC_afgtypko_62,SOC,afgtypko,62,39833
SOC_afgtypko_72,SOC,afgtypko,72,39834
SOC_afgtypko_65,SOC,afgtypko,65,39835
SOC_afgtypko_52,SOC,afgtypko,52,39836
SOC_afgtypko_13,SOC,afgtypko,13,39837
SOC_afgtypko_64,SOC,afgtypko,64,39838
SOC_afgtypko_87,SOC,afgtypko,87,39839
SOC_afgtypko_79,SOC,afgtypko,79,39840
SOC_afgtypko_83,SOC,afgtypko,83,39841
SOC_afgtypko_92,SOC,afgtypko,92,39842
SOC_afgtypko_15,SOC,afgtypko,15,39843
SOC_afgtypko_80,SOC,afgtypko,80,39844
SOC_afgtypko_85,SOC,afgtypko,85,39845
SOC_afgtypko_73,SOC,afgtypko,73,39846
SOC_afgtypko_53,SOC,afgtypko,53,39847
SOC_afgtypko_14,SOC,afgtypko,14,39848
SOC_afgtypko_91,SOC,afgtypko,91,39849
SOC_afgtypko_36,SOC,afgtypko,36,39850
SOC_afgtypko_84,SOC,afgtypko,84,39851
SOC_afgtypko_29,SOC,afgtypko,29,39852
SOC_afgtypko_202,SOC,afgtypko,202,39853
SOC_afgtypko_93,SOC,afgtypko,93,39854
SOC_afgtypko_37,SOC,afgtypko,37,39855
SOC_afgtypko_38,SOC,afgtypko,38,39856
SOC_afgtypko_47,SOC,afgtypko,47,39857
SOC_afgtypko_200,SOC,afgtypko,200,39858
SOC_afgtypko_39,SOC,afgtypko,39,39859
SOC_afgtypko_49,SOC,afgtypko,49,39860
SOC_afgtypko_18,SOC,afgtypko,18,39861
SOC_afgtypko_94,SOC,afgtypko,94,39862
SOC_afgtypko_97,SOC,afgtypko,97,39863
SOC_afgtypko_45,SOC,afgtypko,45,39864
SOC_afgtypko_27,SOC,afgtypko,27,39865
SOC_afgtypko_26,SOC,afgtypko,26,41038
SOC_afgtypko_34,SOC,afgtypko,34,41039
SOC_afgtypko_46,SOC,afgtypko,46,41040
SOC_afgtypko_35,SOC,afgtypko,35,41041
SOC_afgtypko_22,SOC,afgtypko,22,41042
SOC_afgtypko_23,SOC,afgtypko,23,41043
SOC_afgtypko_61,SOC,afgtypko,61,41044
SOC_afgtypko_43,SOC,afgtypko,43,41045
SOC_afgtypko_42,SOC,afgtypko,42,41046
SOC_afgtypko_51,SOC,afgtypko,51,41047
SOC_afgtypko_33,SOC,afgtypko,33,41048
SOC_afgtypko_25,SOC,afgtypko,25,41049
SOC_afgtypko_28,SOC,afgtypko,28,41050
SOC_afgtypko_48,SOC,afgtypko,48,41051
SOC_afgtypko_24,SOC,afgtypko,24,41052
SOC_afgtypko_10,SOC,afgtypko,10,41053
SOC_afgtypko_41,SOC,afgtypko,41,41054
SOC_afgtypko_44,SOC,afgtypko,44,41055
SOC_afgtypko_50,SOC,afgtypko,50,41056
SOC_afgtypko_31,SOC,afgtypko,31,41057
SOC_afgtypko_30,SOC,afgtypko,30,41058
