code,prefix,database,value,token_id
SOC_ansted_klas_11,SOC,ansted,klas_11,41104
SOC_ansted_klas_13,SOC,ansted,klas_13,41105
SOC_ansted_klas_09,SOC,ansted,klas_09,41106
SOC_ansted_klas_06,SOC,ansted,klas_06,41107
SOC_ansted_klas_02,SOC,ansted,klas_02,41108
SOC_ansted_klas_98,SOC,ansted,klas_98,41109
SOC_ansted_klas_12,SOC,ansted,klas_12,41110
SOC_ansted_klas_14,SOC,ansted,klas_14,41111
SOC_ansted_klas_16,SOC,ansted,klas_16,41112
SOC_ansted_klas_01,SOC,ansted,klas_01,41113
SOC_ansted_klas_99,SOC,ansted,klas_99,41114
SOC_ansted_klas_17,SOC,ansted,klas_17,41115
SOC_ansted_klas_03,SOC,ansted,klas_03,41116
SOC_ansted_klas_08,SOC,ansted,klas_08,41117
SOC_ansted_klas_15,SOC,ansted,klas_15,41118
SOC_ansted_klas_04,SOC,ansted,klas_04,41119
SOC_ansted_klas_10,SOC,ansted,klas_10,41120
SOC_ansted_klas_07,SOC,ansted,klas_07,41121
SOC_ansted_klas_18,SOC,ansted,klas_18,41122
SOC_ansted_klas_21,SOC,ansted,klas_21,41123
SOC_ansted_klas_23,SOC,ansted,klas_23,41124
SOC_ansted_klas_19,SOC,ansted,klas_19,41125
SOC_ansted_klas_05,SOC,ansted,klas_05,41126
SOC_ansted_klas_24,SOC,ansted,klas_24,41127
SOC_ansted_klas_22,SOC,ansted,klas_22,41128
SOC_ansted_klas_25,SOC,ansted,klas_25,41129
SOC_ansted_klas_26,SOC,ansted,klas_26,41130
SOC_ansted_klas_27,SOC,ansted,klas_27,41131
SOC_ansted_klas_28,SOC,ansted,klas_28,41132
SOC_ansted_klas_29,SOC,ansted,klas_29,41133
SOC_ansted_klas_30,SOC,ansted,klas_30,41134
SOC_ansted_klas_20,SOC,ansted,klas_20,41135
