code,prefix,database,value,token_id
SOC_ger7_3410000,SOC,ger7,3410000,40056
SOC_ger7_2610000,SOC,ger7,2610000,40057
SOC_ger7_2610037,SOC,ger7,2610037,40058
SOC_ger7_2610123,SOC,ger7,2610123,40059
SOC_ger7_2610110,SOC,ger7,2610110,40060
SOC_ger7_2610142,SOC,ger7,2610142,40061
SOC_ger7_2410005,SOC,ger7,2410005,40062
SOC_ger7_3830505,SOC,ger7,3830505,40063
SOC_ger7_2610129,SOC,ger7,2610129,40064
SOC_ger7_2220013,SOC,ger7,2220013,40065
SOC_ger7_2220010,SOC,ger7,2220010,40066
SOC_ger7_2610094,SOC,ger7,2610094,40067
SOC_ger7_1332515,SOC,ger7,1332515,40068
SOC_ger7_1376505,SOC,ger7,1376505,40069
SOC_ger7_2610049,SOC,ger7,2610049,40070
SOC_ger7_2610125,SOC,ger7,2610125,40071
SOC_ger7_3610902,SOC,ger7,3610902,40072
SOC_ger7_2610088,SOC,ger7,2610088,40073
SOC_ger7_2610043,SOC,ger7,2610043,40074
SOC_ger7_3810405,SOC,ger7,3810405,40075
SOC_ger7_1252505,SOC,ger7,1252505,40076
SOC_ger7_2220022,SOC,ger7,2220022,40077
SOC_ger7_2220035,SOC,ger7,2220035,40078
SOC_ger7_2210068,SOC,ger7,2210068,40079
SOC_ger7_2610038,SOC,ger7,2610038,40080
SOC_ger7_2610002,SOC,ger7,2610002,40081
SOC_ger7_2610006,SOC,ger7,2610006,40082
SOC_ger7_2610137,SOC,ger7,2610137,40083
SOC_ger7_1357505,SOC,ger7,1357505,40084
SOC_ger7_3835715,SOC,ger7,3835715,40085
SOC_ger7_2610081,SOC,ger7,2610081,40086
SOC_ger7_3810793,SOC,ger7,3810793,40087
SOC_ger7_3210505,SOC,ger7,3210505,40088
SOC_ger7_1210505,SOC,ger7,1210505,40089
SOC_ger7_2410007,SOC,ger7,2410007,40090
SOC_ger7_3825000,SOC,ger7,3825000,40091
SOC_ger7_1255305,SOC,ger7,1255305,40092
SOC_ger7_1336524,SOC,ger7,1336524,40093
SOC_ger7_1316540,SOC,ger7,1316540,40094
SOC_ger7_1308505,SOC,ger7,1308505,40095
SOC_ger7_2610114,SOC,ger7,2610114,40096
SOC_ger7_3810507,SOC,ger7,3810507,40097
SOC_ger7_2210000,SOC,ger7,2210000,40098
SOC_ger7_2610112,SOC,ger7,2610112,40099
SOC_ger7_2610078,SOC,ger7,2610078,40100
SOC_ger7_2610004,SOC,ger7,2610004,40101
SOC_ger7_1332502,SOC,ger7,1332502,40102
SOC_ger7_2610074,SOC,ger7,2610074,40103
SOC_ger7_2610001,SOC,ger7,2610001,40104
SOC_ger7_1292505,SOC,ger7,1292505,40105
SOC_ger7_1380905,SOC,ger7,1380905,40106
SOC_ger7_1440505,SOC,ger7,1440505,40107
SOC_ger7_2220020,SOC,ger7,2220020,40108
SOC_ger7_1354515,SOC,ger7,1354515,40109
SOC_ger7_1336542,SOC,ger7,1336542,40110
SOC_ger7_2610113,SOC,ger7,2610113,40111
SOC_ger7_2610003,SOC,ger7,2610003,40112
SOC_ger7_3825715,SOC,ger7,3825715,40113
SOC_ger7_3830713,SOC,ger7,3830713,40114
SOC_ger7_3410505,SOC,ger7,3410505,40115
SOC_ger7_2610084,SOC,ger7,2610084,40116
SOC_ger7_2220000,SOC,ger7,2220000,40117
SOC_ger7_1351000,SOC,ger7,1351000,40118
SOC_ger7_1390505,SOC,ger7,1390505,40119
SOC_ger7_2210004,SOC,ger7,2210004,40120
SOC_ger7_1339521,SOC,ger7,1339521,40121
SOC_ger7_1394505,SOC,ger7,1394505,40122
SOC_ger7_1336000,SOC,ger7,1336000,40123
SOC_ger7_2610092,SOC,ger7,2610092,40124
SOC_ger7_2610053,SOC,ger7,2610053,40125
SOC_ger7_2610007,SOC,ger7,2610007,40126
SOC_ger7_1255000,SOC,ger7,1255000,40127
SOC_ger7_1425515,SOC,ger7,1425515,40128
SOC_ger7_3835707,SOC,ger7,3835707,40129
SOC_ger7_2610086,SOC,ger7,2610086,40130
SOC_ger7_3835705,SOC,ger7,3835705,40131
SOC_ger7_2610082,SOC,ger7,2610082,40132
SOC_ger7_3835000,SOC,ger7,3835000,40133
SOC_ger7_3410509,SOC,ger7,3410509,40134
SOC_ger7_3835586,SOC,ger7,3835586,40135
SOC_ger7_3825505,SOC,ger7,3825505,40136
SOC_ger7_2210041,SOC,ger7,2210041,40137
SOC_ger7_2610023,SOC,ger7,2610023,40138
SOC_ger7_2610117,SOC,ger7,2610117,40139
SOC_ger7_3810000,SOC,ger7,3810000,40140
SOC_ger7_1410713,SOC,ger7,1410713,40141
SOC_ger7_1336546,SOC,ger7,1336546,40142
SOC_ger7_3210510,SOC,ger7,3210510,40143
SOC_ger7_1348000,SOC,ger7,1348000,40144
SOC_ger7_1332505,SOC,ger7,1332505,40145
SOC_ger7_1332510,SOC,ger7,1332510,40146
SOC_ger7_1320510,SOC,ger7,1320510,40147
SOC_ger7_3610305,SOC,ger7,3610305,40148
SOC_ger7_1180545,SOC,ger7,1180545,40149
SOC_ger7_1316905,SOC,ger7,1316905,40150
SOC_ger7_1357510,SOC,ger7,1357510,40151
SOC_ger7_1336520,SOC,ger7,1336520,40152
SOC_ger7_3210000,SOC,ger7,3210000,40153
SOC_ger7_2610115,SOC,ger7,2610115,40154
SOC_ger7_3410508,SOC,ger7,3410508,40155
SOC_ger7_1410707,SOC,ger7,1410707,40156
SOC_ger7_1210501,SOC,ger7,1210501,40157
SOC_ger7_2610178,SOC,ger7,2610178,40158
SOC_ger7_2610109,SOC,ger7,2610109,40159
SOC_ger7_1410703,SOC,ger7,1410703,40160
SOC_ger7_1316215,SOC,ger7,1316215,40161
SOC_ger7_1435505,SOC,ger7,1435505,40162
SOC_ger7_2220025,SOC,ger7,2220025,40163
SOC_ger7_3410507,SOC,ger7,3410507,40164
SOC_ger7_3410606,SOC,ger7,3410606,40165
SOC_ger7_1316335,SOC,ger7,1316335,40166
SOC_ger7_1336508,SOC,ger7,1336508,40167
SOC_ger7_1485320,SOC,ger7,1485320,40168
SOC_ger7_2610019,SOC,ger7,2610019,40169
SOC_ger7_1332000,SOC,ger7,1332000,40170
SOC_ger7_1345510,SOC,ger7,1345510,40171
SOC_ger7_1324505,SOC,ger7,1324505,40172
SOC_ger7_1316625,SOC,ger7,1316625,40173
SOC_ger7_1398550,SOC,ger7,1398550,40174
SOC_ger7_2610050,SOC,ger7,2610050,40175
SOC_ger7_3815538,SOC,ger7,3815538,40176
SOC_ger7_2610087,SOC,ger7,2610087,40177
SOC_ger7_2210074,SOC,ger7,2210074,40178
SOC_ger7_2610106,SOC,ger7,2610106,40179
SOC_ger7_1336507,SOC,ger7,1336507,40180
SOC_ger7_1336504,SOC,ger7,1336504,40181
SOC_ger7_2610068,SOC,ger7,2610068,40182
SOC_ger7_1336512,SOC,ger7,1336512,40183
SOC_ger7_1210510,SOC,ger7,1210510,40184
SOC_ger7_2610025,SOC,ger7,2610025,40185
SOC_ger7_1336556,SOC,ger7,1336556,40186
SOC_ger7_1252000,SOC,ger7,1252000,40187
SOC_ger7_1304505,SOC,ger7,1304505,40188
SOC_ger7_1384515,SOC,ger7,1384515,40189
SOC_ger7_2610044,SOC,ger7,2610044,40190
SOC_ger7_3865000,SOC,ger7,3865000,40191
SOC_ger7_1398000,SOC,ger7,1398000,40192
SOC_ger7_1415560,SOC,ger7,1415560,40193
