code,prefix,database,value,token_id
SOC_pgf_230,SOC,pgf,230,41148
SOC_pgf_450,SOC,pgf,450,41149
SOC_pgf_210,SOC,pgf,210,41150
SOC_pgf_420,SOC,pgf,420,41151
SOC_pgf_407,SOC,pgf,407,41152
SOC_pgf_405,SOC,pgf,405,41153
SOC_pgf_415,SOC,pgf,415,41154
SOC_pgf_404,SOC,pgf,404,41155
SOC_pgf_270,SOC,pgf,270,41156
SOC_pgf_406,SOC,pgf,406,41157
SOC_pgf_435,SOC,pgf,435,41158
SOC_pgf_200,SOC,pgf,200,41159
SOC_pgf_445,SOC,pgf,445,41160
SOC_pgf_403,SOC,pgf,403,41161
SOC_pgf_451,SOC,pgf,451,41162
SOC_pgf_440,SOC,pgf,440,41163
SOC_pgf_225,SOC,pgf,225,41164
SOC_pgf_400,SOC,pgf,400,41165
SOC_pgf_290,SOC,pgf,290,41166
SOC_pgf_240,SOC,pgf,240,41167
SOC_pgf_272,SOC,pgf,272,41168
SOC_pgf_275,SOC,pgf,275,41169
SOC_pgf_409,SOC,pgf,409,41170
SOC_pgf_452,SOC,pgf,452,41171
SOC_pgf_430,SOC,pgf,430,41172
SOC_pgf_215,SOC,pgf,215,41173
SOC_pgf_250,SOC,pgf,250,41174
SOC_pgf_220,SOC,pgf,220,41175
SOC_pgf_402,SOC,pgf,402,41176
SOC_pgf_245,SOC,pgf,245,41177
SOC_pgf_401,SOC,pgf,401,41178
SOC_pgf_271,SOC,pgf,271,41179
SOC_pgf_425,SOC,pgf,425,41180
SOC_pgf_273,SOC,pgf,273,41181
SOC_pgf_274,SOC,pgf,274,41182
SOC_pgf_455,SOC,pgf,455,41183
SOC_pgf_280,SOC,pgf,280,41184
SOC_pgf_269,SOC,pgf,269,41185
SOC_pgf_260,SOC,pgf,260,41186
SOC_pgf_257,SOC,pgf,257,41187
SOC_pgf_408,SOC,pgf,408,41188
SOC_pgf_261,SOC,pgf,261,41189
SOC_pgf_259,SOC,pgf,259,41190
SOC_pgf_278,SOC,pgf,278,41191
SOC_pgf_498,SOC,pgf,498,41192
SOC_pgf_262,SOC,pgf,262,41193
SOC_pgf_268,SOC,pgf,268,41194
SOC_pgf_499,SOC,pgf,499,41195
SOC_pgf_258,SOC,pgf,258,41196
SOC_pgf_277,SOC,pgf,277,41197
SOC_pgf_540,SOC,pgf,540,41198
SOC_pgf_256,SOC,pgf,256,41199
