code,prefix,database,value,token_id
SOC_samtykke_01,SOC,samtykke,01,41089
SOC_samtykke_03,SOC,samtykke,03,41090
SOC_samtykke_02,SOC,samtykke,02,41091
SOC_samtykke_04,SOC,samtykke,04,41092
SOC_samtykke_06,SOC,samtykke,06,41093
SOC_samtykke_05,SOC,samtykke,05,41094
SOC_samtykke_08,SOC,samtykke,08,41095
SOC_samtykke_07,SOC,samtykke,07,41096
SOC_samtykke_09,SOC,samtykke,09,41097
SOC_samtykke_10,SOC,samtykke,10,41098
SOC_samtykke_11,SOC,samtykke,11,41099
SOC_samtykke_12,SOC,samtykke,12,41100
SOC_samtykke_14,SOC,samtykke,14,41101
SOC_samtykke_15,SOC,samtykke,15,41102
SOC_samtykke_13,SOC,samtykke,13,41103
