Group,Variable,Tokens,Description
Background,Birth year,142,LIFELINES:FOED_DAG.
Background,Birth month,12,LIFELINES:FOED_DAG.
Background,Sex,2,LIFELINES:KOEN. Based on Statistics Denmark's binary definition which uses the Danish CPR number.
Background,Country of origin,159,BEF:OPR_LAND.
Background,Immigrant type,4,BEF:IE_TYPE.
Background,Citizenship,159,BEF:STATSB. Tokens shared with Household.
Background,Birth weight,100,FERTILITETSDATABASEN:VAEGT_BARN.
Background,Birth length,35,FERTILITETSDATABASEN:LAENGDE_BARN.
Background,Dad adoption code,13,"FERTILITETSDATABASEN:FAR_FOED_ADOP. We remove values concerning later-life adoption (remove code 16, map code 22 and 23 to 21)."
Background,Mom adoption code,14,"FERTILITETSDATABASEN:MOR_FOED_ADOP. We remove values concerning later-life adoption (remove code 16, map code 22 and 23 to 21)."
Background,Amount of siblings at birth,13,Infer based on amount of siblings relations found using FAMILY_RELATIONS:RELATION that start on persons birthday.
Marital status,Marital status,7,BEF:CIVST.
Migration,Migration event,2,Emigration from LIFELINES:EVENT_CAUSE_FINAL and immigration LIFELINES:EVENT_CAUSE_START.
Births & deaths,Relation type,5,"We extract parent, child, full sibling, half sibling, and unknown sibling from FAMILY_RELATIONS:RELATION and find births and deaths. We additionally add stillborn children from the fertility database, when FERTILITETSDATABASEN:MDOED is 1 or FERTILITETSDATABASEN:LEVENDE_ELLER_DOEDFOEDT is 0."
Births & deaths,Event,2,We create indicators for birth and death.
Location,Municipality,354,We merge BEFADR:KOM onto address changes using BEFADR:ADRESSE_ID and BEFBOP:ADRESSE_ID.
Household,Family type,9,BEF:FAMILIE_TYPE.
Household,Amount of children,8,"BEF:ANTPERSF into bins with cutoffs 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 30, 40, 50, 100, 500, 1000 and inf (lower exclusive, upper inclusive)."
Household,Amount of people,11,"BEF:ANTBOERNF into bins with cutoffs 0, 1, 2, 3, 4, 5, 6, 7, 8, and inf (lower exclusive, upper inclusive)."
Household,Amount of families,19,"BEF:ANTEFAM into bins with cutoffs 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 30, 40, 50, 100, 500, 1000, and inf (lower exclusive, upper inclusive)."
Household,Mother-father-marking,6,Uses BEF:FM_MARK which details to what extent someone lives with their parents.
Household,Citizenship,159,"BEF:STATSB. Citizenship is included with Household information as it is updated at the same time, but is related to the person, not the household. Tokens shared with Background."
Employment,Type,3,"We create primary, self-employed or wage-receiver employment indicators to contextualize the events, as codes are reused across employment types. For primary employment, the occupation columns are AKM:DISCO08_ALLE_INDK_13 and AKM:DISCO_ALLE_INDK_13, and the industry columns are AKM:NACE_DB07_13, AKM:NACE_13, and AKM:BRANCHE_77. For wage-receivers, the occupations columns are AKM:DISCO08_LOEN_INDK, AKM:DISCOLOEN_INDK, and the industry columns are AKM:NACEA_DB07, AKM:NACEA, and AKM:BRCHL. For self-employed, the occupations columns are AKM:DISCO08_SEL_INDK AKM:DISCOSEL_INDK, and the industry are AKM:NACEI_DB07 AKM:NACEI AKM:BRCHI."
Employment,Socio-economic status,72,AKM:SOCIO13 and AKM:SOCIO_GL are included with the primary occupation event. There are 21 SOCIO13 codes and 51 SOCIO_GL codes.
Employment,Occupation,243,See type for columns used. There are 207 DISCO08 3-digit codes and 36 DISCO 2-digit codes. DISCO08 codes are also shared with Employment & income. We remove codes that specify unknown.
