code,description
DEM_mor_0,No parent in the square
DEM_mor_11,Adoptive relationship according to Adoption register
DEM_mor_12,"Child in Adoption Register, but the adoptive relationship may be with other parent"
DEM_mor_14,Parent has other sex (Dad is a woman or mother is male)
DEM_mor_15,Adoption Marking in CPR
DEM_mor_16,Only mothers: CPR relationship is only valid from after the child is 30 days old
DEM_mor_17,Mothers only: Adoption mark in previous FTDB
DEM_mor_18,"Only mothers of children born after 1 January 1991: The child is registered for birth abroad, while mother is resident in DK"
DEM_mor_21,Parents registered shortly after childbirth
DEM_mor_22,"Parent registered shortly after birth, the child adopted subsequently"
DEM_mor_23,"Parent registered shortly after birth, the child adopted subsequently, adoption lifted"
DEM_mor_31,Child is an Immigrant
DEM_mor_32,Child is registered for birth abroad
DEM_mor_33,Child born before 1973
DEM_mor_35,Child born abroad or before 1973 and subsequently adopted
DEM_mor_39,Other parent relations
