code,description
DEM_opr_land_0,Helt uoplyst
DEM_opr_land_5000,Helt uoplyst
DEM_opr_land_5001,Helt uoplyst
DEM_opr_land_5100,Danmark
DEM_opr_land_5101,Grønland
DEM_opr_land_5102,Udlandet uoplyst
DEM_opr_land_5103,Statsløse
DEM_opr_land_5104,Finland
DEM_opr_land_5105,"Island, ligeret dansk"
DEM_opr_land_5106,Island
DEM_opr_land_5107,Liechtenstein
DEM_opr_land_5108,Luxembourg
DEM_opr_land_5109,Monaco
DEM_opr_land_5110,Norge
DEM_opr_land_5111,Nordirland
DEM_opr_land_5114,Europa uoplyst
DEM_opr_land_5115,Kongelig
DEM_opr_land_5120,Sverige
DEM_opr_land_5122,Albanien
DEM_opr_land_5124,Andorra
DEM_opr_land_5126,Belgien
DEM_opr_land_5128,Bulgarien
DEM_opr_land_5129,Tjekkoslovakiet
DEM_opr_land_5130,Frankrig
DEM_opr_land_5132,Europa uoplyst
DEM_opr_land_5134,Grækenland
DEM_opr_land_5140,Nederlandene
DEM_opr_land_5142,Irland
DEM_opr_land_5143,Europa uoplyst
DEM_opr_land_5150,Italien
DEM_opr_land_5151,Serbien og Montenegro
DEM_opr_land_5152,Jugoslavien
DEM_opr_land_5153,Malta
DEM_opr_land_5154,Polen
DEM_opr_land_5156,Portugal
DEM_opr_land_5158,Rumænien
DEM_opr_land_5159,San Marino
DEM_opr_land_5160,Schweiz
DEM_opr_land_5162,Sovjetunionen
DEM_opr_land_5164,Spanien
DEM_opr_land_5170,Storbritannien
DEM_opr_land_5172,Tyrkiet
DEM_opr_land_5174,Ungarn
DEM_opr_land_5176,Vatikanstaten
DEM_opr_land_5180,Tyskland
DEM_opr_land_5182,Østrig
DEM_opr_land_5184,DDR
DEM_opr_land_5186,Europa uoplyst
DEM_opr_land_5199,Europa uoplyst
DEM_opr_land_5202,Algeriet
DEM_opr_land_5204,Angola
DEM_opr_land_5207,Botswana
DEM_opr_land_5213,Burundi
DEM_opr_land_5214,Etiopien
DEM_opr_land_5215,Comorerne
DEM_opr_land_5216,Eritrea
DEM_opr_land_5222,Gambia
DEM_opr_land_5228,Ghana
DEM_opr_land_5230,Ækvatorialguinea
DEM_opr_land_5231,Guinea-Bissau
DEM_opr_land_5232,Guinea
DEM_opr_land_5233,Kap Verde
DEM_opr_land_5234,Kenya
DEM_opr_land_5235,Lesotho
DEM_opr_land_5236,Liberia
DEM_opr_land_5238,Libyen
DEM_opr_land_5240,Mozambique
DEM_opr_land_5242,Madagaskar
DEM_opr_land_5243,Mali
DEM_opr_land_5244,Marokko
DEM_opr_land_5245,Mauritius
DEM_opr_land_5246,Nigeria
DEM_opr_land_5247,Namibia
DEM_opr_land_5248,Marshalløerne
DEM_opr_land_5253,Skt. Helena
DEM_opr_land_5255,Sierra Leone
DEM_opr_land_5256,Spanske besiddelser i Afrika
DEM_opr_land_5258,Sudan
DEM_opr_land_5259,Swaziland
DEM_opr_land_5260,Sydsudan
DEM_opr_land_5262,Sydafrika
DEM_opr_land_5264,Sydvestafrika
DEM_opr_land_5266,Tanzania
DEM_opr_land_5268,Tunesien
DEM_opr_land_5269,Uganda
DEM_opr_land_5272,Egypten
DEM_opr_land_5273,Tuvalu
DEM_opr_land_5274,Kiribati
DEM_opr_land_5275,Vanuatu
DEM_opr_land_5276,Centralafrikanske Republik
DEM_opr_land_5277,Cameroun
DEM_opr_land_5278,"Congo, Demokratiske Republik"
DEM_opr_land_5279,"Congo, Republikken"
DEM_opr_land_5281,Benin
DEM_opr_land_5282,Elfenbenskysten
DEM_opr_land_5283,Gabon
DEM_opr_land_5284,Mauretanien
DEM_opr_land_5285,Niger
DEM_opr_land_5286,Reunion
DEM_opr_land_5287,Rwanda
DEM_opr_land_5288,Senegal
DEM_opr_land_5289,Somalia
DEM_opr_land_5290,Afrika uoplyst
DEM_opr_land_5292,Tchad
DEM_opr_land_5293,Togo
DEM_opr_land_5294,Burkina Faso
DEM_opr_land_5295,Zimbabwe
DEM_opr_land_5296,Zambia
DEM_opr_land_5297,Malawi
DEM_opr_land_5298,Seychellerne
DEM_opr_land_5299,Afrika uoplyst
DEM_opr_land_5301,Aruba
DEM_opr_land_5302,Argentina
DEM_opr_land_5303,Bahamas
DEM_opr_land_5304,Bolivia
DEM_opr_land_5305,Barbados
DEM_opr_land_5306,Brasilien
DEM_opr_land_5307,Bermuda
DEM_opr_land_5308,Guyana
DEM_opr_land_5309,Antigua og Barbuda
DEM_opr_land_5310,Nauru
DEM_opr_land_5311,Skt. Vincent og Grenadinerne
DEM_opr_land_5314,Canada
DEM_opr_land_5316,Chile
DEM_opr_land_5318,Colombia
