code,description
EDU_udd_0,Afbrudt
EDU_udd_1,Ingen uddannelse ivu
EDU_udd_2,Ikke igang
EDU_udd_141,Formidl.-erhvervsspr. una - udvekslingstud. (kort vidg.)
EDU_udd_144,Samfundsfaglig una - udvekslingstud. (kort vidg.)
EDU_udd_145,Teknisk una - udvekslingstud. (kort vidg.)
EDU_udd_146,Levnedsm./husholdn. una - udvekslingstud. (kort vidg.)
EDU_udd_148,Transport mv.una - udvekslingstud. (kort vidg.)
EDU_udd_150,Pædagogisk una - udvekslingstud. (ml.lang vidg.)
EDU_udd_151,Formidl.-erhvervsspr. una- udvekslingstud. (ml.lang vidg.)
EDU_udd_152,Kunstnerisk una - udvekslingstud. (ml.lang vidg.)
EDU_udd_153,Naturvidenskabuna - udvekslingstud. (ml.lang vidg.)
EDU_udd_154,Samfundsvidensk.una - udvekslingstud. (ml.lang vidg.)
EDU_udd_155,Teknisk una - udvekslingstud. (ml.lang vidg.)
EDU_udd_156,Levnedsm./ernæring una - udvekslingstud. (ml.lang vidg.)
EDU_udd_159,Sundhed una - udvekslingstud. (ml.lang vidg.)
EDU_udd_161,Humanistisk una - udvekslingstud. (bachelor)
EDU_udd_162,Kunstnerisk una - udvekslingstud. (bachelor)
EDU_udd_163,Naturvidenskab una - udvekslingstud. (bachelor)
EDU_udd_164,Samfundsvidenskab una - udvekslingstud. (bachelor)
EDU_udd_165,Teknisk una- udvekslingstud. (bachelor)
EDU_udd_167,Jordbrugsvidenskab una - udvekslingstud. (bachelor)
EDU_udd_170,Pædagogisk una - udvekslingstud.(lang vidg.)
EDU_udd_171,Humanistisk-teologisk una - udvekslingstud. (lang vidg.)
EDU_udd_172,Kunstnerisk una - udvekslingstud. (lang vidg.)
EDU_udd_173,Naturvidenskab una- udvekslingstud. (lang vidg.)
EDU_udd_174,Samfundsvidenskab una - udvekslingstud. (lang vidg.)
EDU_udd_175,Teknisk una - udvekslingstud. (lang vidg.)
EDU_udd_176,Levnedsm./ernæring una - udvekslingstud. (lang vidg.)
EDU_udd_177,Jordbrugsvidenskab una - udvekslingstud. (lang vidg.)
EDU_udd_179,Sundhed una - udvekslingstud. (lang vidg.)
EDU_udd_200,1-6 år ivu
EDU_udd_205,7-8 år ivu
EDU_udd_210,9-10 år ivu
EDU_udd_215,"Studentereksamen mv., ivu"
EDU_udd_220,"Pædagogik, ivu (amu)"
EDU_udd_239,"Handel/kontor, ivu (amu)"
EDU_udd_253,"Bygge/anlæg, ivu (amu)"
