code,description
EDU_wellbeing_overall_young_Q1,Educational wellbeing score - 1th percentile
EDU_wellbeing_overall_old_Q1,Educational wellbeing score - 1th percentile
EDU_wellbeing_calm_and_quiet_Q1,Educational wellbeing score - 1th percentile
EDU_wellbeing_support_and_inspiration_Q1,Educational wellbeing score - 1th percentile
EDU_wellbeing_social_Q1,Educational wellbeing score - 1th percentile
EDU_wellbeing_academic_Q1,Educational wellbeing score - 1th percentile
EDU_wellbeing_overall_young_Q2,Educational wellbeing score - 2th percentile
EDU_wellbeing_overall_old_Q2,Educational wellbeing score - 2th percentile
EDU_wellbeing_calm_and_quiet_Q2,Educational wellbeing score - 2th percentile
EDU_wellbeing_support_and_inspiration_Q2,Educational wellbeing score - 2th percentile
EDU_wellbeing_social_Q2,Educational wellbeing score - 2th percentile
EDU_wellbeing_academic_Q2,Educational wellbeing score - 2th percentile
EDU_wellbeing_overall_young_Q3,Educational wellbeing score - 3th percentile
EDU_wellbeing_overall_old_Q3,Educational wellbeing score - 3th percentile
EDU_wellbeing_calm_and_quiet_Q3,Educational wellbeing score - 3th percentile
EDU_wellbeing_support_and_inspiration_Q3,Educational wellbeing score - 3th percentile
EDU_wellbeing_social_Q3,Educational wellbeing score - 3th percentile
EDU_wellbeing_academic_Q3,Educational wellbeing score - 3th percentile
EDU_wellbeing_overall_young_Q4,Educational wellbeing score - 4th percentile
EDU_wellbeing_overall_old_Q4,Educational wellbeing score - 4th percentile
EDU_wellbeing_calm_and_quiet_Q4,Educational wellbeing score - 4th percentile
EDU_wellbeing_support_and_inspiration_Q4,Educational wellbeing score - 4th percentile
EDU_wellbeing_social_Q4,Educational wellbeing score - 4th percentile
EDU_wellbeing_academic_Q4,Educational wellbeing score - 4th percentile
EDU_wellbeing_overall_young_Q5,Educational wellbeing score - 5th percentile
EDU_wellbeing_overall_old_Q5,Educational wellbeing score - 5th percentile
EDU_wellbeing_calm_and_quiet_Q5,Educational wellbeing score - 5th percentile
EDU_wellbeing_support_and_inspiration_Q5,Educational wellbeing score - 5th percentile
EDU_wellbeing_social_Q5,Educational wellbeing score - 5th percentile
EDU_wellbeing_academic_Q5,Educational wellbeing score - 5th percentile
EDU_wellbeing_overall_young_Q6,Educational wellbeing score - 6th percentile
EDU_wellbeing_overall_old_Q6,Educational wellbeing score - 6th percentile
EDU_wellbeing_calm_and_quiet_Q6,Educational wellbeing score - 6th percentile
EDU_wellbeing_support_and_inspiration_Q6,Educational wellbeing score - 6th percentile
EDU_wellbeing_social_Q6,Educational wellbeing score - 6th percentile
EDU_wellbeing_academic_Q6,Educational wellbeing score - 6th percentile
EDU_wellbeing_overall_young_Q7,Educational wellbeing score - 7th percentile
EDU_wellbeing_overall_old_Q7,Educational wellbeing score - 7th percentile
EDU_wellbeing_calm_and_quiet_Q7,Educational wellbeing score - 7th percentile
EDU_wellbeing_support_and_inspiration_Q7,Educational wellbeing score - 7th percentile
EDU_wellbeing_social_Q7,Educational wellbeing score - 7th percentile
EDU_wellbeing_academic_Q7,Educational wellbeing score - 7th percentile
EDU_wellbeing_overall_young_Q8,Educational wellbeing score - 8th percentile
EDU_wellbeing_overall_old_Q8,Educational wellbeing score - 8th percentile
EDU_wellbeing_calm_and_quiet_Q8,Educational wellbeing score - 8th percentile
EDU_wellbeing_support_and_inspiration_Q8,Educational wellbeing score - 8th percentile
EDU_wellbeing_social_Q8,Educational wellbeing score - 8th percentile
EDU_wellbeing_academic_Q8,Educational wellbeing score - 8th percentile
EDU_wellbeing_overall_young_Q9,Educational wellbeing score - 9th percentile
EDU_wellbeing_overall_old_Q9,Educational wellbeing score - 9th percentile
EDU_wellbeing_calm_and_quiet_Q9,Educational wellbeing score - 9th percentile
EDU_wellbeing_support_and_inspiration_Q9,Educational wellbeing score - 9th percentile
EDU_wellbeing_social_Q9,Educational wellbeing score - 9th percentile
EDU_wellbeing_academic_Q9,Educational wellbeing score - 9th percentile
EDU_wellbeing_overall_young_Q10,Educational wellbeing score - 10th percentile
EDU_wellbeing_overall_old_Q10,Educational wellbeing score - 10th percentile
EDU_wellbeing_calm_and_quiet_Q10,Educational wellbeing score - 10th percentile
EDU_wellbeing_support_and_inspiration_Q10,Educational wellbeing score - 10th percentile
EDU_wellbeing_social_Q10,Educational wellbeing score - 10th percentile
EDU_wellbeing_academic_Q10,Educational wellbeing score - 10th percentile
