code,description
HEA_atc_A,ALIMENTARY TRACT AND METABOLISM
HEA_atc_A01,STOMATOLOGICAL PREPARATIONS
HEA_atc_A01A,STOMATOLOGICAL PREPARATIONS
HEA_atc_A01AA,Caries prophylactic agents
HEA_atc_A01AA01,sodium fluoride
HEA_atc_A01AA02,sodium monofluorophosphate
HEA_atc_A01AA03,olaflur
HEA_atc_A01AA04,stannous fluoride
HEA_atc_A01AA30,combinations
HEA_atc_A01AA51,"sodium fluoride, combinations"
HEA_atc_A01AB,Antiinfectives and antiseptics for local oral treatment
HEA_atc_A01AB02,hydrogen peroxide
HEA_atc_A01AB03,chlorhexidine
HEA_atc_A01AB04,amphotericin B
HEA_atc_A01AB05,polynoxylin
HEA_atc_A01AB06,domiphen
HEA_atc_A01AB07,oxyquinoline
HEA_atc_A01AB08,neomycin
HEA_atc_A01AB09,miconazole
HEA_atc_A01AB10,natamycin
HEA_atc_A01AB11,various
HEA_atc_A01AB12,hexetidine
HEA_atc_A01AB13,tetracycline
HEA_atc_A01AB14,benzoxonium chloride
HEA_atc_A01AB15,tibezonium iodide
HEA_atc_A01AB16,mepartricin
HEA_atc_A01AB17,metronidazole
HEA_atc_A01AB18,clotrimazole
HEA_atc_A01AB19,sodium perborate
HEA_atc_A01AB21,chlortetracycline
HEA_atc_A01AB22,doxycycline
HEA_atc_A01AB23,minocycline
HEA_atc_A01AC,Corticosteroids for local oral treatment
HEA_atc_A01AC01,triamcinolone
HEA_atc_A01AC02,dexamethasone
HEA_atc_A01AC03,hydrocortisone
HEA_atc_A01AC54,"prednisolone, combinations"
HEA_atc_A01AD,Other agents for local oral treatment
HEA_atc_A01AD01,epinephrine
HEA_atc_A01AD02,benzydamine
HEA_atc_A01AD05,acetylsalicylic acid
HEA_atc_A01AD06,adrenalone
HEA_atc_A01AD07,amlexanox
HEA_atc_A01AD08,becaplermin
HEA_atc_A01AD11,various
HEA_atc_A02,DRUGS FOR ACID RELATED DISORDERS
HEA_atc_A02A,ANTACIDS
HEA_atc_A02AA,Magnesium compounds
HEA_atc_A02AA01,magnesium carbonate
HEA_atc_A02AA02,magnesium oxide
HEA_atc_A02AA03,magnesium peroxide
HEA_atc_A02AA04,magnesium hydroxide
HEA_atc_A02AA05,magnesium silicate
HEA_atc_A02AA10,combinations
HEA_atc_A02AB,Aluminium compounds
HEA_atc_A02AB01,aluminium hydroxide
HEA_atc_A02AB02,algeldrate
HEA_atc_A02AB03,aluminium phosphate
HEA_atc_A02AB04,dihydroxialumini sodium carbonate
HEA_atc_A02AB05,aluminium acetoacetate
HEA_atc_A02AB06,aloglutamol
HEA_atc_A02AB07,aluminium glycinate
HEA_atc_A02AB10,combinations
HEA_atc_A02AC,Calcium compounds
HEA_atc_A02AC01,calcium carbonate
HEA_atc_A02AC02,calcium silicate
HEA_atc_A02AC10,combinations
HEA_atc_A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds"
HEA_atc_A02AD01,ordinary salt combinations
HEA_atc_A02AD02,magaldrate
HEA_atc_A02AD03,almagate
HEA_atc_A02AD04,hydrotalcite
HEA_atc_A02AD05,almasilate
HEA_atc_A02AF,Antacids with antiflatulents
HEA_atc_A02AF01,magaldrate and antiflatulents
HEA_atc_A02AF02,ordinary salt combinations and antiflatulents
HEA_atc_A02AG,Antacids with antispasmodics
HEA_atc_A02AH,Antacids with sodium bicarbonate
HEA_atc_A02AX,"Antacids, other combinations"
HEA_atc_A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
HEA_atc_A02BA,H2-receptor antagonists
HEA_atc_A02BA01,cimetidine
HEA_atc_A02BA02,ranitidine
HEA_atc_A02BA03,famotidine
HEA_atc_A02BA04,nizatidine
HEA_atc_A02BA05,niperotidine
HEA_atc_A02BA06,roxatidine
HEA_atc_A02BA07,ranitidine bismuth citrate
HEA_atc_A02BA08,lafutidine
HEA_atc_A02BA51,"cimetidine, combinations"
HEA_atc_A02BA53,"famotidine, combinations"
HEA_atc_A02BB,Prostaglandins
HEA_atc_A02BB01,misoprostol
HEA_atc_A02BB02,enprostil
HEA_atc_A02BC,Proton pump inhibitors
HEA_atc_A02BC01,omeprazole
HEA_atc_A02BC02,pantoprazole
HEA_atc_A02BC03,lansoprazole
HEA_atc_A02BC04,rabeprazole
HEA_atc_A02BC05,esomeprazole
HEA_atc_A02BC06,dexlansoprazole
HEA_atc_A02BC07,dexrabeprazole
HEA_atc_A02BC08,vonoprazan
HEA_atc_A02BC53,"lansoprazole, combinations"
HEA_atc_A02BC54,"rabeprazole, combinations"
HEA_atc_A02BD,Combinations for eradication of Helicobacter pylori
HEA_atc_A02BD01,"omeprazole, amoxicillin and metronidazole"
HEA_atc_A02BD02,"lansoprazole, tetracycline and metronidazole"
HEA_atc_A02BD03,"lansoprazole, amoxicillin and metronidazole"
HEA_atc_A02BD04,"pantoprazole, amoxicillin and clarithromycin"
HEA_atc_A02BD05,"omeprazole, amoxicillin and clarithromycin"
HEA_atc_A02BD06,"esomeprazole, amoxicillin and clarithromycin"
HEA_atc_A02BD07,"lansoprazole, amoxicillin and clarithromycin"
HEA_atc_A02BD08,"bismuth subcitrate, tetracycline and metronidazole"
HEA_atc_A02BD09,"lansoprazole, clarithromycin and tinidazole"
HEA_atc_A02BD10,"lansoprazole, amoxicillin and levofloxacin"
HEA_atc_A02BD11,"pantoprazole, amoxicillin, clarithromycin and metronidazole"
HEA_atc_A02BD12,"rabeprazole, amoxicillin and clarithromycin"
HEA_atc_A02BD13,"rabeprazole, amoxicillin and metronidazole"
HEA_atc_A02BD14,"vonoprazan, amoxicillin and clarithromycin"
HEA_atc_A02BD15,"vonoprazan, amoxicillin and metronidazole"
