code,description
HEA_spec2_00,Uoplyst
HEA_spec2_01,Anæsthesiologi
HEA_spec2_02,Fiktiv knækgrænse
HEA_spec2_03,Diagn. radiologi Kbh.
HEA_spec2_04,Dermato-venerologi
HEA_spec2_05,Diagnost. radiologi
HEA_spec2_06,Reumatologi
HEA_spec2_07,Gynækologi/obstetrik
HEA_spec2_08,Intern medicin
HEA_spec2_09,Kirurgi
HEA_spec2_10,Histopatalogiske undersøgelser
HEA_spec2_11,Klinisk kemi
HEA_spec2_15,Ørelægevagt Kbh.
HEA_spec2_16,Ørelægevagt KAK
HEA_spec2_17,Neurokirurgi
HEA_spec2_18,Neuromedicin
HEA_spec2_19,Øjenlægehjælp
HEA_spec2_20,Ortopædisk kirurgi
HEA_spec2_21,Ørelægehjælp
HEA_spec2_22,Patologi
HEA_spec2_23,Plastikkirurgi
HEA_spec2_24,Psykiatri
HEA_spec2_25,Pædiatri
HEA_spec2_26,Børnepsykiatri
HEA_spec2_28,Tropemedicin
HEA_spec2_35,Distriktspsykiatri
HEA_spec2_39,Øjenlægehjælp *kfa*
HEA_spec2_41,Ørelægehjælp *kfa*
HEA_spec2_42,Referencelaborator.
HEA_spec2_43,Diagnoselaboratoriet
HEA_spec2_44,Københavns Praktiserende Lægers Laboratorium
HEA_spec2_45,Medicinsk Laboratorium
HEA_spec2_46,Omegnslaboratorier
HEA_spec2_47,Århus Universitet
HEA_spec2_48,Statens Seruminstitut
HEA_spec2_49,Tandplejere
HEA_spec2_50,Tandlægehjælp
HEA_spec2_51,Fysioterapi 51
HEA_spec2_52,Briller
HEA_spec2_53,Kiropraktik
HEA_spec2_54,Fodterapi
HEA_spec2_55,Ortonyxi
HEA_spec2_56,Klinikbehandling
HEA_spec2_57,Ridefysioterapi
HEA_spec2_58,"Genoptræning, Øfeldt"
HEA_spec2_59,Fodbehandling arvævspat.
HEA_spec2_60,"Fodbehandling, leddegigt"
HEA_spec2_61,Fysioterapi 61
HEA_spec2_62,Vederlagsfri fysioterapi
HEA_spec2_63,Psykologhjælp
HEA_spec2_64,Kiropraktik kronikere
HEA_spec2_65,Vederlagsfri ridefysioterapi
HEA_spec2_68,Høreomsorg
HEA_spec2_70,"Almen læge, konsultation, dagtid"
HEA_spec2_71,"Almen læge, konsultation, aften mv."
HEA_spec2_72,"Almen læge, telefonkonsultation, dagtid"
HEA_spec2_73,"Almen læge, telefonkonsultation, aften mv."
HEA_spec2_74,"Almen læge, besøg, dagtid"
HEA_spec2_75,"Almen læge, besøg, aften mv."
HEA_spec2_76,"Almen læge, email-konsultation"
HEA_spec2_77,"Almen læge, andre ydelser"
HEA_spec2_78,"Almen læge, kontakter, forebyggelse mv."
HEA_spec2_79,"Almen læge, basishonorar mv."
HEA_spec2_80,Almen lægehjælp 80
HEA_spec2_81,KFA-vagtordning 81
HEA_spec2_82,Kak vagtlægehjælp 82
HEA_spec2_83,Vagtlægehjælp 83
HEA_spec2_84,Kak vagtlægehjælp 84
HEA_spec2_85,Præhospital
HEA_spec2_86,Ø-læger
HEA_spec2_87,Visitat kønssygdomme
HEA_spec2_88,Læge u/ overenskomst
HEA_spec2_89,KFA-vagtordning 89
HEA_spec2_90,Offentl. sygesikring
HEA_spec2_91,Disp. f. Sundhedsst.
HEA_spec2_92,Rekv.lægem. mv.
HEA_spec2_93,Rekvis. speciallæger
HEA_spec2_94,Tilskud ernæringspræparater
HEA_spec2_95,Begravelseshjælp
HEA_spec2_96,Tolkebistand
HEA_spec2_97,Fonde
HEA_spec2_98,Bef. af alm. læger
HEA_spec2_99,Diverse ydelser
