code,description
LAB_branche_77_00000,Branche-oplysning mgl.
LAB_branche_77_10000,Brancher uden indhold
LAB_branche_77_10001,Landbrug
LAB_branche_77_11101,Landbrug
LAB_branche_77_11102,"Gartnerier, frugtplant. og planteskoler"
LAB_branche_77_11103,Anlægsgartnerier
LAB_branche_77_11104,Pelsdyravl
LAB_branche_77_11105,Biavl
LAB_branche_77_11106,Stutterier
LAB_branche_77_11107,Kenneler
LAB_branche_77_11201,Landbrugsmaskinstationer
LAB_branche_77_11202,Drift af afvandingssyst. for landbrugsjord
LAB_branche_77_11209,"Servicevirksomhed for landbrug, gartneri o.l"
LAB_branche_77_11300,Jagt og vildtpleje
LAB_branche_77_12000,Skovbrug
LAB_branche_77_13010,Hav- og kystfiskeri
LAB_branche_77_13021,Dambrug
LAB_branche_77_13029,Diverse fiskerivirksomhed(herunder fiskeri-se
LAB_branche_77_21000,Brunkulslejer
LAB_branche_77_22000,Udvinding og efterforskn.af olie og naturgas
LAB_branche_77_23000,Malmgravning
LAB_branche_77_29011,Ler- og grusgrave samt stenbrud
LAB_branche_77_29012,Stenfiskeri
LAB_branche_77_29013,Kalk- og kridtbrud
LAB_branche_77_29020,Udvinding af mineraler t.gødnings- og kemisk
LAB_branche_77_29030,Saltudvinding
LAB_branche_77_29090,"Udvinding af ikke-metall.råstoffer, + brikett"
LAB_branche_77_30000,Fremstillingsvirksomhed uoplyst vareområde
LAB_branche_77_30001,Fremstilling
LAB_branche_77_31111,Svineslagterier
LAB_branche_77_31112,Kødv.- og kødkonservesfabrikker
LAB_branche_77_31113,Kreaturslagterier
LAB_branche_77_31114,Offentlige slagtehuse
LAB_branche_77_31115,Talgsmelterier
LAB_branche_77_31116,Tarmrenserier
LAB_branche_77_31117,Fjerkræslagterier
LAB_branche_77_31119,Hjemmeslagtere samt røgning og saltning
LAB_branche_77_31121,Mejerier
LAB_branche_77_31122,Smelteostfabrikker
LAB_branche_77_31123,Mælkekondenseringsfabr.
LAB_branche_77_31124,Konsumisfabrikker
LAB_branche_77_31130,Grønt- og frugtkonserves-fabr. samt æblemoste
LAB_branche_77_31141,Røgning og saltn. af fisk
LAB_branche_77_31142,"Fiskehermetik-,fiskefars-og fiskefiletfabrikk"
LAB_branche_77_31151,Oliemøller
LAB_branche_77_31152,Margarinefabrikker
LAB_branche_77_31153,Fiskemelsfabrikker
LAB_branche_77_31154,Destruktionsanstalter og kødfoderfabrikker
LAB_branche_77_31160,"Møller (fremstilling af mel, gryn og corn-fla"
LAB_branche_77_31171,Brødfabrikker
LAB_branche_77_31172,Kiks- og vaffelfabrikker
LAB_branche_77_31173,Kagefabrikker
LAB_branche_77_31174,Bagerforretninger og konditorier
LAB_branche_77_31179,Fremstilling af makaroni og spaghetti mv
