code,description
LAB_disco08_111100,Øverste ledelse i lovgivende myndigheder
LAB_disco08_111200,Øverste ledelse i offentlige virksomheder
LAB_disco08_111400,Øverste ledelse i interesseorganisationer
LAB_disco08_112010,Øverste administrerende virksomhedsledelse
LAB_disco08_112020,Virksomhedsledelse af tværgående funktioner
LAB_disco08_121100,Ledelse inden for økonomifunktioner
LAB_disco08_121200,Ledelse inden for HR-funktioner
LAB_disco08_121310,Ledelse inden for virksomhedsstrategi/policy området
LAB_disco08_121320,Administrativ ledelse i den offentlige sektor
LAB_disco08_1120,Senior government officials
LAB_disco08_2221,Specialist medical practitioners
LAB_disco08_2320,Teaching professionals
LAB_disco08_2330,Special needs teachers
LAB_disco08_4110,General office clerks
LAB_disco08_5120,Cooks
LAB_disco08_7111,House builders
LAB_disco08_8322,"Car, taxi and van drivers"
LAB_disco08_9120,Hand launderers and pressers
LAB_disco08_9333,Freight handlers
