code,description
LAB_dispon_13_Q1,Disposable income - 1th percentile
LAB_dispon_13_Q2,Disposable income - 2th percentile
LAB_dispon_13_Q3,Disposable income - 3th percentile
LAB_dispon_13_Q4,Disposable income - 4th percentile
LAB_dispon_13_Q5,Disposable income - 5th percentile
LAB_dispon_13_Q6,Disposable income - 6th percentile
LAB_dispon_13_Q7,Disposable income - 7th percentile
LAB_dispon_13_Q8,Disposable income - 8th percentile
LAB_dispon_13_Q9,Disposable income - 9th percentile
LAB_dispon_13_Q10,Disposable income - 10th percentile
LAB_dispon_13_Q11,Disposable income - 11th percentile
LAB_dispon_13_Q12,Disposable income - 12th percentile
LAB_dispon_13_Q13,Disposable income - 13th percentile
LAB_dispon_13_Q14,Disposable income - 14th percentile
LAB_dispon_13_Q15,Disposable income - 15th percentile
LAB_dispon_13_Q16,Disposable income - 16th percentile
LAB_dispon_13_Q17,Disposable income - 17th percentile
LAB_dispon_13_Q18,Disposable income - 18th percentile
LAB_dispon_13_Q19,Disposable income - 19th percentile
LAB_dispon_13_Q20,Disposable income - 20th percentile
LAB_dispon_13_Q21,Disposable income - 21th percentile
LAB_dispon_13_Q22,Disposable income - 22th percentile
LAB_dispon_13_Q23,Disposable income - 23th percentile
LAB_dispon_13_Q24,Disposable income - 24th percentile
LAB_dispon_13_Q25,Disposable income - 25th percentile
LAB_dispon_13_Q26,Disposable income - 26th percentile
LAB_dispon_13_Q27,Disposable income - 27th percentile
LAB_dispon_13_Q28,Disposable income - 28th percentile
LAB_dispon_13_Q29,Disposable income - 29th percentile
LAB_dispon_13_Q30,Disposable income - 30th percentile
LAB_dispon_13_Q31,Disposable income - 31th percentile
LAB_dispon_13_Q32,Disposable income - 32th percentile
LAB_dispon_13_Q33,Disposable income - 33th percentile
LAB_dispon_13_Q34,Disposable income - 34th percentile
LAB_dispon_13_Q35,Disposable income - 35th percentile
LAB_dispon_13_Q36,Disposable income - 36th percentile
LAB_dispon_13_Q37,Disposable income - 37th percentile
LAB_dispon_13_Q38,Disposable income - 38th percentile
LAB_dispon_13_Q39,Disposable income - 39th percentile
LAB_dispon_13_Q40,Disposable income - 40th percentile
LAB_dispon_13_Q41,Disposable income - 41th percentile
LAB_dispon_13_Q42,Disposable income - 42th percentile
LAB_dispon_13_Q43,Disposable income - 43th percentile
LAB_dispon_13_Q44,Disposable income - 44th percentile
LAB_dispon_13_Q45,Disposable income - 45th percentile
LAB_dispon_13_Q46,Disposable income - 46th percentile
LAB_dispon_13_Q47,Disposable income - 47th percentile
LAB_dispon_13_Q48,Disposable income - 48th percentile
LAB_dispon_13_Q49,Disposable income - 49th percentile
LAB_dispon_13_Q50,Disposable income - 50th percentile
LAB_dispon_13_Q51,Disposable income - 51th percentile
LAB_dispon_13_Q52,Disposable income - 52th percentile
LAB_dispon_13_Q53,Disposable income - 53th percentile
LAB_dispon_13_Q54,Disposable income - 54th percentile
LAB_dispon_13_Q55,Disposable income - 55th percentile
LAB_dispon_13_Q56,Disposable income - 56th percentile
LAB_dispon_13_Q57,Disposable income - 57th percentile
LAB_dispon_13_Q58,Disposable income - 58th percentile
LAB_dispon_13_Q59,Disposable income - 59th percentile
LAB_dispon_13_Q60,Disposable income - 60th percentile
LAB_dispon_13_Q61,Disposable income - 61th percentile
LAB_dispon_13_Q62,Disposable income - 62th percentile
LAB_dispon_13_Q63,Disposable income - 63th percentile
LAB_dispon_13_Q64,Disposable income - 64th percentile
LAB_dispon_13_Q65,Disposable income - 65th percentile
LAB_dispon_13_Q66,Disposable income - 66th percentile
LAB_dispon_13_Q67,Disposable income - 67th percentile
LAB_dispon_13_Q68,Disposable income - 68th percentile
LAB_dispon_13_Q69,Disposable income - 69th percentile
LAB_dispon_13_Q70,Disposable income - 70th percentile
LAB_dispon_13_Q71,Disposable income - 71th percentile
LAB_dispon_13_Q72,Disposable income - 72th percentile
LAB_dispon_13_Q73,Disposable income - 73th percentile
LAB_dispon_13_Q74,Disposable income - 74th percentile
LAB_dispon_13_Q75,Disposable income - 75th percentile
LAB_dispon_13_Q76,Disposable income - 76th percentile
LAB_dispon_13_Q77,Disposable income - 77th percentile
LAB_dispon_13_Q78,Disposable income - 78th percentile
LAB_dispon_13_Q79,Disposable income - 79th percentile
LAB_dispon_13_Q80,Disposable income - 80th percentile
LAB_dispon_13_Q81,Disposable income - 81th percentile
LAB_dispon_13_Q82,Disposable income - 82th percentile
LAB_dispon_13_Q83,Disposable income - 83th percentile
LAB_dispon_13_Q84,Disposable income - 84th percentile
LAB_dispon_13_Q85,Disposable income - 85th percentile
LAB_dispon_13_Q86,Disposable income - 86th percentile
LAB_dispon_13_Q87,Disposable income - 87th percentile
LAB_dispon_13_Q88,Disposable income - 88th percentile
LAB_dispon_13_Q89,Disposable income - 89th percentile
LAB_dispon_13_Q90,Disposable income - 90th percentile
LAB_dispon_13_Q91,Disposable income - 91th percentile
LAB_dispon_13_Q92,Disposable income - 92th percentile
LAB_dispon_13_Q93,Disposable income - 93th percentile
LAB_dispon_13_Q94,Disposable income - 94th percentile
LAB_dispon_13_Q95,Disposable income - 95th percentile
LAB_dispon_13_Q96,Disposable income - 96th percentile
LAB_dispon_13_Q97,Disposable income - 97th percentile
LAB_dispon_13_Q98,Disposable income - 98th percentile
LAB_dispon_13_Q99,Disposable income - 99th percentile
LAB_dispon_13_Q100,Disposable income - 100th percentile
