code,description
LAB_formueindk_brutto_Q1,Capital income - 1th percentile
LAB_formueindk_brutto_Q2,Capital income - 2th percentile
LAB_formueindk_brutto_Q3,Capital income - 3th percentile
LAB_formueindk_brutto_Q4,Capital income - 4th percentile
LAB_formueindk_brutto_Q5,Capital income - 5th percentile
LAB_formueindk_brutto_Q6,Capital income - 6th percentile
LAB_formueindk_brutto_Q7,Capital income - 7th percentile
LAB_formueindk_brutto_Q8,Capital income - 8th percentile
LAB_formueindk_brutto_Q9,Capital income - 9th percentile
LAB_formueindk_brutto_Q10,Capital income - 10th percentile
LAB_formueindk_brutto_Q11,Capital income - 11th percentile
LAB_formueindk_brutto_Q12,Capital income - 12th percentile
LAB_formueindk_brutto_Q13,Capital income - 13th percentile
LAB_formueindk_brutto_Q14,Capital income - 14th percentile
LAB_formueindk_brutto_Q15,Capital income - 15th percentile
LAB_formueindk_brutto_Q16,Capital income - 16th percentile
LAB_formueindk_brutto_Q17,Capital income - 17th percentile
LAB_formueindk_brutto_Q18,Capital income - 18th percentile
LAB_formueindk_brutto_Q19,Capital income - 19th percentile
LAB_formueindk_brutto_Q20,Capital income - 20th percentile
LAB_formueindk_brutto_Q21,Capital income - 21th percentile
LAB_formueindk_brutto_Q22,Capital income - 22th percentile
LAB_formueindk_brutto_Q23,Capital income - 23th percentile
LAB_formueindk_brutto_Q24,Capital income - 24th percentile
LAB_formueindk_brutto_Q25,Capital income - 25th percentile
LAB_formueindk_brutto_Q26,Capital income - 26th percentile
LAB_formueindk_brutto_Q27,Capital income - 27th percentile
LAB_formueindk_brutto_Q28,Capital income - 28th percentile
LAB_formueindk_brutto_Q29,Capital income - 29th percentile
LAB_formueindk_brutto_Q30,Capital income - 30th percentile
LAB_formueindk_brutto_Q31,Capital income - 31th percentile
LAB_formueindk_brutto_Q32,Capital income - 32th percentile
LAB_formueindk_brutto_Q33,Capital income - 33th percentile
LAB_formueindk_brutto_Q34,Capital income - 34th percentile
LAB_formueindk_brutto_Q35,Capital income - 35th percentile
LAB_formueindk_brutto_Q36,Capital income - 36th percentile
LAB_formueindk_brutto_Q37,Capital income - 37th percentile
LAB_formueindk_brutto_Q38,Capital income - 38th percentile
LAB_formueindk_brutto_Q39,Capital income - 39th percentile
LAB_formueindk_brutto_Q40,Capital income - 40th percentile
LAB_formueindk_brutto_Q41,Capital income - 41th percentile
LAB_formueindk_brutto_Q42,Capital income - 42th percentile
LAB_formueindk_brutto_Q43,Capital income - 43th percentile
LAB_formueindk_brutto_Q44,Capital income - 44th percentile
LAB_formueindk_brutto_Q45,Capital income - 45th percentile
LAB_formueindk_brutto_Q46,Capital income - 46th percentile
LAB_formueindk_brutto_Q47,Capital income - 47th percentile
LAB_formueindk_brutto_Q48,Capital income - 48th percentile
LAB_formueindk_brutto_Q49,Capital income - 49th percentile
LAB_formueindk_brutto_Q50,Capital income - 50th percentile
LAB_formueindk_brutto_Q51,Capital income - 51th percentile
LAB_formueindk_brutto_Q52,Capital income - 52th percentile
LAB_formueindk_brutto_Q53,Capital income - 53th percentile
LAB_formueindk_brutto_Q54,Capital income - 54th percentile
LAB_formueindk_brutto_Q55,Capital income - 55th percentile
LAB_formueindk_brutto_Q56,Capital income - 56th percentile
LAB_formueindk_brutto_Q57,Capital income - 57th percentile
LAB_formueindk_brutto_Q58,Capital income - 58th percentile
LAB_formueindk_brutto_Q59,Capital income - 59th percentile
LAB_formueindk_brutto_Q60,Capital income - 60th percentile
LAB_formueindk_brutto_Q61,Capital income - 61th percentile
LAB_formueindk_brutto_Q62,Capital income - 62th percentile
LAB_formueindk_brutto_Q63,Capital income - 63th percentile
LAB_formueindk_brutto_Q64,Capital income - 64th percentile
LAB_formueindk_brutto_Q65,Capital income - 65th percentile
LAB_formueindk_brutto_Q66,Capital income - 66th percentile
LAB_formueindk_brutto_Q67,Capital income - 67th percentile
LAB_formueindk_brutto_Q68,Capital income - 68th percentile
LAB_formueindk_brutto_Q69,Capital income - 69th percentile
LAB_formueindk_brutto_Q70,Capital income - 70th percentile
LAB_formueindk_brutto_Q71,Capital income - 71th percentile
LAB_formueindk_brutto_Q72,Capital income - 72th percentile
LAB_formueindk_brutto_Q73,Capital income - 73th percentile
LAB_formueindk_brutto_Q74,Capital income - 74th percentile
LAB_formueindk_brutto_Q75,Capital income - 75th percentile
LAB_formueindk_brutto_Q76,Capital income - 76th percentile
LAB_formueindk_brutto_Q77,Capital income - 77th percentile
LAB_formueindk_brutto_Q78,Capital income - 78th percentile
LAB_formueindk_brutto_Q79,Capital income - 79th percentile
LAB_formueindk_brutto_Q80,Capital income - 80th percentile
LAB_formueindk_brutto_Q81,Capital income - 81th percentile
LAB_formueindk_brutto_Q82,Capital income - 82th percentile
LAB_formueindk_brutto_Q83,Capital income - 83th percentile
LAB_formueindk_brutto_Q84,Capital income - 84th percentile
LAB_formueindk_brutto_Q85,Capital income - 85th percentile
LAB_formueindk_brutto_Q86,Capital income - 86th percentile
LAB_formueindk_brutto_Q87,Capital income - 87th percentile
LAB_formueindk_brutto_Q88,Capital income - 88th percentile
LAB_formueindk_brutto_Q89,Capital income - 89th percentile
LAB_formueindk_brutto_Q90,Capital income - 90th percentile
LAB_formueindk_brutto_Q91,Capital income - 91th percentile
LAB_formueindk_brutto_Q92,Capital income - 92th percentile
LAB_formueindk_brutto_Q93,Capital income - 93th percentile
LAB_formueindk_brutto_Q94,Capital income - 94th percentile
LAB_formueindk_brutto_Q95,Capital income - 95th percentile
LAB_formueindk_brutto_Q96,Capital income - 96th percentile
LAB_formueindk_brutto_Q97,Capital income - 97th percentile
LAB_formueindk_brutto_Q98,Capital income - 98th percentile
LAB_formueindk_brutto_Q99,Capital income - 99th percentile
LAB_formueindk_brutto_Q100,Capital income - 100th percentile
