code,description
LAB_kontanthj_13_Q1,Cash assistance - 1th percentile
LAB_kontanthj_13_Q2,Cash assistance - 2th percentile
LAB_kontanthj_13_Q3,Cash assistance - 3th percentile
LAB_kontanthj_13_Q4,Cash assistance - 4th percentile
LAB_kontanthj_13_Q5,Cash assistance - 5th percentile
LAB_kontanthj_13_Q6,Cash assistance - 6th percentile
LAB_kontanthj_13_Q7,Cash assistance - 7th percentile
LAB_kontanthj_13_Q8,Cash assistance - 8th percentile
LAB_kontanthj_13_Q9,Cash assistance - 9th percentile
LAB_kontanthj_13_Q10,Cash assistance - 10th percentile
LAB_kontanthj_13_Q11,Cash assistance - 11th percentile
LAB_kontanthj_13_Q12,Cash assistance - 12th percentile
LAB_kontanthj_13_Q13,Cash assistance - 13th percentile
LAB_kontanthj_13_Q14,Cash assistance - 14th percentile
LAB_kontanthj_13_Q15,Cash assistance - 15th percentile
LAB_kontanthj_13_Q16,Cash assistance - 16th percentile
LAB_kontanthj_13_Q17,Cash assistance - 17th percentile
LAB_kontanthj_13_Q18,Cash assistance - 18th percentile
LAB_kontanthj_13_Q19,Cash assistance - 19th percentile
LAB_kontanthj_13_Q20,Cash assistance - 20th percentile
LAB_kontanthj_13_Q21,Cash assistance - 21th percentile
LAB_kontanthj_13_Q22,Cash assistance - 22th percentile
LAB_kontanthj_13_Q23,Cash assistance - 23th percentile
LAB_kontanthj_13_Q24,Cash assistance - 24th percentile
LAB_kontanthj_13_Q25,Cash assistance - 25th percentile
LAB_kontanthj_13_Q26,Cash assistance - 26th percentile
LAB_kontanthj_13_Q27,Cash assistance - 27th percentile
LAB_kontanthj_13_Q28,Cash assistance - 28th percentile
LAB_kontanthj_13_Q29,Cash assistance - 29th percentile
LAB_kontanthj_13_Q30,Cash assistance - 30th percentile
LAB_kontanthj_13_Q31,Cash assistance - 31th percentile
LAB_kontanthj_13_Q32,Cash assistance - 32th percentile
LAB_kontanthj_13_Q33,Cash assistance - 33th percentile
LAB_kontanthj_13_Q34,Cash assistance - 34th percentile
LAB_kontanthj_13_Q35,Cash assistance - 35th percentile
LAB_kontanthj_13_Q36,Cash assistance - 36th percentile
LAB_kontanthj_13_Q37,Cash assistance - 37th percentile
LAB_kontanthj_13_Q38,Cash assistance - 38th percentile
LAB_kontanthj_13_Q39,Cash assistance - 39th percentile
LAB_kontanthj_13_Q40,Cash assistance - 40th percentile
LAB_kontanthj_13_Q41,Cash assistance - 41th percentile
LAB_kontanthj_13_Q42,Cash assistance - 42th percentile
LAB_kontanthj_13_Q43,Cash assistance - 43th percentile
LAB_kontanthj_13_Q44,Cash assistance - 44th percentile
LAB_kontanthj_13_Q45,Cash assistance - 45th percentile
LAB_kontanthj_13_Q46,Cash assistance - 46th percentile
LAB_kontanthj_13_Q47,Cash assistance - 47th percentile
LAB_kontanthj_13_Q48,Cash assistance - 48th percentile
LAB_kontanthj_13_Q49,Cash assistance - 49th percentile
LAB_kontanthj_13_Q50,Cash assistance - 50th percentile
LAB_kontanthj_13_Q51,Cash assistance - 51th percentile
LAB_kontanthj_13_Q52,Cash assistance - 52th percentile
LAB_kontanthj_13_Q53,Cash assistance - 53th percentile
LAB_kontanthj_13_Q54,Cash assistance - 54th percentile
LAB_kontanthj_13_Q55,Cash assistance - 55th percentile
LAB_kontanthj_13_Q56,Cash assistance - 56th percentile
LAB_kontanthj_13_Q57,Cash assistance - 57th percentile
LAB_kontanthj_13_Q58,Cash assistance - 58th percentile
LAB_kontanthj_13_Q59,Cash assistance - 59th percentile
LAB_kontanthj_13_Q60,Cash assistance - 60th percentile
LAB_kontanthj_13_Q61,Cash assistance - 61th percentile
LAB_kontanthj_13_Q62,Cash assistance - 62th percentile
LAB_kontanthj_13_Q63,Cash assistance - 63th percentile
LAB_kontanthj_13_Q64,Cash assistance - 64th percentile
LAB_kontanthj_13_Q65,Cash assistance - 65th percentile
LAB_kontanthj_13_Q66,Cash assistance - 66th percentile
LAB_kontanthj_13_Q67,Cash assistance - 67th percentile
LAB_kontanthj_13_Q68,Cash assistance - 68th percentile
LAB_kontanthj_13_Q69,Cash assistance - 69th percentile
LAB_kontanthj_13_Q70,Cash assistance - 70th percentile
LAB_kontanthj_13_Q71,Cash assistance - 71th percentile
LAB_kontanthj_13_Q72,Cash assistance - 72th percentile
LAB_kontanthj_13_Q73,Cash assistance - 73th percentile
LAB_kontanthj_13_Q74,Cash assistance - 74th percentile
LAB_kontanthj_13_Q75,Cash assistance - 75th percentile
LAB_kontanthj_13_Q76,Cash assistance - 76th percentile
LAB_kontanthj_13_Q77,Cash assistance - 77th percentile
LAB_kontanthj_13_Q78,Cash assistance - 78th percentile
LAB_kontanthj_13_Q79,Cash assistance - 79th percentile
LAB_kontanthj_13_Q80,Cash assistance - 80th percentile
LAB_kontanthj_13_Q81,Cash assistance - 81th percentile
LAB_kontanthj_13_Q82,Cash assistance - 82th percentile
LAB_kontanthj_13_Q83,Cash assistance - 83th percentile
LAB_kontanthj_13_Q84,Cash assistance - 84th percentile
LAB_kontanthj_13_Q85,Cash assistance - 85th percentile
LAB_kontanthj_13_Q86,Cash assistance - 86th percentile
LAB_kontanthj_13_Q87,Cash assistance - 87th percentile
LAB_kontanthj_13_Q88,Cash assistance - 88th percentile
LAB_kontanthj_13_Q89,Cash assistance - 89th percentile
LAB_kontanthj_13_Q90,Cash assistance - 90th percentile
LAB_kontanthj_13_Q91,Cash assistance - 91th percentile
LAB_kontanthj_13_Q92,Cash assistance - 92th percentile
LAB_kontanthj_13_Q93,Cash assistance - 93th percentile
LAB_kontanthj_13_Q94,Cash assistance - 94th percentile
LAB_kontanthj_13_Q95,Cash assistance - 95th percentile
LAB_kontanthj_13_Q96,Cash assistance - 96th percentile
LAB_kontanthj_13_Q97,Cash assistance - 97th percentile
LAB_kontanthj_13_Q98,Cash assistance - 98th percentile
LAB_kontanthj_13_Q99,Cash assistance - 99th percentile
LAB_kontanthj_13_Q100,Cash assistance - 100th percentile
