code,description
LAB_off_overforsel_13_Q1,Public benefits - 1th percentile
LAB_off_overforsel_13_Q2,Public benefits - 2th percentile
LAB_off_overforsel_13_Q3,Public benefits - 3th percentile
LAB_off_overforsel_13_Q4,Public benefits - 4th percentile
LAB_off_overforsel_13_Q5,Public benefits - 5th percentile
LAB_off_overforsel_13_Q6,Public benefits - 6th percentile
LAB_off_overforsel_13_Q7,Public benefits - 7th percentile
LAB_off_overforsel_13_Q8,Public benefits - 8th percentile
LAB_off_overforsel_13_Q9,Public benefits - 9th percentile
LAB_off_overforsel_13_Q10,Public benefits - 10th percentile
LAB_off_overforsel_13_Q11,Public benefits - 11th percentile
LAB_off_overforsel_13_Q12,Public benefits - 12th percentile
LAB_off_overforsel_13_Q13,Public benefits - 13th percentile
LAB_off_overforsel_13_Q14,Public benefits - 14th percentile
LAB_off_overforsel_13_Q15,Public benefits - 15th percentile
LAB_off_overforsel_13_Q16,Public benefits - 16th percentile
LAB_off_overforsel_13_Q17,Public benefits - 17th percentile
LAB_off_overforsel_13_Q18,Public benefits - 18th percentile
LAB_off_overforsel_13_Q19,Public benefits - 19th percentile
LAB_off_overforsel_13_Q20,Public benefits - 20th percentile
LAB_off_overforsel_13_Q21,Public benefits - 21th percentile
LAB_off_overforsel_13_Q22,Public benefits - 22th percentile
LAB_off_overforsel_13_Q23,Public benefits - 23th percentile
LAB_off_overforsel_13_Q24,Public benefits - 24th percentile
LAB_off_overforsel_13_Q25,Public benefits - 25th percentile
LAB_off_overforsel_13_Q26,Public benefits - 26th percentile
LAB_off_overforsel_13_Q27,Public benefits - 27th percentile
LAB_off_overforsel_13_Q28,Public benefits - 28th percentile
LAB_off_overforsel_13_Q29,Public benefits - 29th percentile
LAB_off_overforsel_13_Q30,Public benefits - 30th percentile
LAB_off_overforsel_13_Q31,Public benefits - 31th percentile
LAB_off_overforsel_13_Q32,Public benefits - 32th percentile
LAB_off_overforsel_13_Q33,Public benefits - 33th percentile
LAB_off_overforsel_13_Q34,Public benefits - 34th percentile
LAB_off_overforsel_13_Q35,Public benefits - 35th percentile
LAB_off_overforsel_13_Q36,Public benefits - 36th percentile
LAB_off_overforsel_13_Q37,Public benefits - 37th percentile
LAB_off_overforsel_13_Q38,Public benefits - 38th percentile
LAB_off_overforsel_13_Q39,Public benefits - 39th percentile
LAB_off_overforsel_13_Q40,Public benefits - 40th percentile
LAB_off_overforsel_13_Q41,Public benefits - 41th percentile
LAB_off_overforsel_13_Q42,Public benefits - 42th percentile
LAB_off_overforsel_13_Q43,Public benefits - 43th percentile
LAB_off_overforsel_13_Q44,Public benefits - 44th percentile
LAB_off_overforsel_13_Q45,Public benefits - 45th percentile
LAB_off_overforsel_13_Q46,Public benefits - 46th percentile
LAB_off_overforsel_13_Q47,Public benefits - 47th percentile
LAB_off_overforsel_13_Q48,Public benefits - 48th percentile
LAB_off_overforsel_13_Q49,Public benefits - 49th percentile
LAB_off_overforsel_13_Q50,Public benefits - 50th percentile
LAB_off_overforsel_13_Q51,Public benefits - 51th percentile
LAB_off_overforsel_13_Q52,Public benefits - 52th percentile
LAB_off_overforsel_13_Q53,Public benefits - 53th percentile
LAB_off_overforsel_13_Q54,Public benefits - 54th percentile
LAB_off_overforsel_13_Q55,Public benefits - 55th percentile
LAB_off_overforsel_13_Q56,Public benefits - 56th percentile
LAB_off_overforsel_13_Q57,Public benefits - 57th percentile
LAB_off_overforsel_13_Q58,Public benefits - 58th percentile
LAB_off_overforsel_13_Q59,Public benefits - 59th percentile
LAB_off_overforsel_13_Q60,Public benefits - 60th percentile
LAB_off_overforsel_13_Q61,Public benefits - 61th percentile
LAB_off_overforsel_13_Q62,Public benefits - 62th percentile
LAB_off_overforsel_13_Q63,Public benefits - 63th percentile
LAB_off_overforsel_13_Q64,Public benefits - 64th percentile
LAB_off_overforsel_13_Q65,Public benefits - 65th percentile
LAB_off_overforsel_13_Q66,Public benefits - 66th percentile
LAB_off_overforsel_13_Q67,Public benefits - 67th percentile
LAB_off_overforsel_13_Q68,Public benefits - 68th percentile
LAB_off_overforsel_13_Q69,Public benefits - 69th percentile
LAB_off_overforsel_13_Q70,Public benefits - 70th percentile
LAB_off_overforsel_13_Q71,Public benefits - 71th percentile
LAB_off_overforsel_13_Q72,Public benefits - 72th percentile
LAB_off_overforsel_13_Q73,Public benefits - 73th percentile
LAB_off_overforsel_13_Q74,Public benefits - 74th percentile
LAB_off_overforsel_13_Q75,Public benefits - 75th percentile
LAB_off_overforsel_13_Q76,Public benefits - 76th percentile
LAB_off_overforsel_13_Q77,Public benefits - 77th percentile
LAB_off_overforsel_13_Q78,Public benefits - 78th percentile
LAB_off_overforsel_13_Q79,Public benefits - 79th percentile
LAB_off_overforsel_13_Q80,Public benefits - 80th percentile
LAB_off_overforsel_13_Q81,Public benefits - 81th percentile
LAB_off_overforsel_13_Q82,Public benefits - 82th percentile
LAB_off_overforsel_13_Q83,Public benefits - 83th percentile
LAB_off_overforsel_13_Q84,Public benefits - 84th percentile
LAB_off_overforsel_13_Q85,Public benefits - 85th percentile
LAB_off_overforsel_13_Q86,Public benefits - 86th percentile
LAB_off_overforsel_13_Q87,Public benefits - 87th percentile
LAB_off_overforsel_13_Q88,Public benefits - 88th percentile
LAB_off_overforsel_13_Q89,Public benefits - 89th percentile
LAB_off_overforsel_13_Q90,Public benefits - 90th percentile
LAB_off_overforsel_13_Q91,Public benefits - 91th percentile
LAB_off_overforsel_13_Q92,Public benefits - 92th percentile
LAB_off_overforsel_13_Q93,Public benefits - 93th percentile
LAB_off_overforsel_13_Q94,Public benefits - 94th percentile
LAB_off_overforsel_13_Q95,Public benefits - 95th percentile
LAB_off_overforsel_13_Q96,Public benefits - 96th percentile
LAB_off_overforsel_13_Q97,Public benefits - 97th percentile
LAB_off_overforsel_13_Q98,Public benefits - 98th percentile
LAB_off_overforsel_13_Q99,Public benefits - 99th percentile
LAB_off_overforsel_13_Q100,Public benefits - 100th percentile
