code,description
LAB_privat_pension_13_Q1,Private income/pensions - 1th percentile
LAB_privat_pension_13_Q2,Private income/pensions - 2th percentile
LAB_privat_pension_13_Q3,Private income/pensions - 3th percentile
LAB_privat_pension_13_Q4,Private income/pensions - 4th percentile
LAB_privat_pension_13_Q5,Private income/pensions - 5th percentile
LAB_privat_pension_13_Q6,Private income/pensions - 6th percentile
LAB_privat_pension_13_Q7,Private income/pensions - 7th percentile
LAB_privat_pension_13_Q8,Private income/pensions - 8th percentile
LAB_privat_pension_13_Q9,Private income/pensions - 9th percentile
LAB_privat_pension_13_Q10,Private income/pensions - 10th percentile
LAB_privat_pension_13_Q11,Private income/pensions - 11th percentile
LAB_privat_pension_13_Q12,Private income/pensions - 12th percentile
LAB_privat_pension_13_Q13,Private income/pensions - 13th percentile
LAB_privat_pension_13_Q14,Private income/pensions - 14th percentile
LAB_privat_pension_13_Q15,Private income/pensions - 15th percentile
LAB_privat_pension_13_Q16,Private income/pensions - 16th percentile
LAB_privat_pension_13_Q17,Private income/pensions - 17th percentile
LAB_privat_pension_13_Q18,Private income/pensions - 18th percentile
LAB_privat_pension_13_Q19,Private income/pensions - 19th percentile
LAB_privat_pension_13_Q20,Private income/pensions - 20th percentile
LAB_privat_pension_13_Q21,Private income/pensions - 21th percentile
LAB_privat_pension_13_Q22,Private income/pensions - 22th percentile
LAB_privat_pension_13_Q23,Private income/pensions - 23th percentile
LAB_privat_pension_13_Q24,Private income/pensions - 24th percentile
LAB_privat_pension_13_Q25,Private income/pensions - 25th percentile
LAB_privat_pension_13_Q26,Private income/pensions - 26th percentile
LAB_privat_pension_13_Q27,Private income/pensions - 27th percentile
LAB_privat_pension_13_Q28,Private income/pensions - 28th percentile
LAB_privat_pension_13_Q29,Private income/pensions - 29th percentile
LAB_privat_pension_13_Q30,Private income/pensions - 30th percentile
LAB_privat_pension_13_Q31,Private income/pensions - 31th percentile
LAB_privat_pension_13_Q32,Private income/pensions - 32th percentile
LAB_privat_pension_13_Q33,Private income/pensions - 33th percentile
LAB_privat_pension_13_Q34,Private income/pensions - 34th percentile
LAB_privat_pension_13_Q35,Private income/pensions - 35th percentile
LAB_privat_pension_13_Q36,Private income/pensions - 36th percentile
LAB_privat_pension_13_Q37,Private income/pensions - 37th percentile
LAB_privat_pension_13_Q38,Private income/pensions - 38th percentile
LAB_privat_pension_13_Q39,Private income/pensions - 39th percentile
LAB_privat_pension_13_Q40,Private income/pensions - 40th percentile
LAB_privat_pension_13_Q41,Private income/pensions - 41th percentile
LAB_privat_pension_13_Q42,Private income/pensions - 42th percentile
LAB_privat_pension_13_Q43,Private income/pensions - 43th percentile
LAB_privat_pension_13_Q44,Private income/pensions - 44th percentile
LAB_privat_pension_13_Q45,Private income/pensions - 45th percentile
LAB_privat_pension_13_Q46,Private income/pensions - 46th percentile
LAB_privat_pension_13_Q47,Private income/pensions - 47th percentile
