code,description
LAB_skatmvialt_13_Q1,Tax-deductible maintenance payments - 1th percentile
LAB_skatmvialt_13_Q2,Tax-deductible maintenance payments - 2th percentile
LAB_skatmvialt_13_Q3,Tax-deductible maintenance payments - 3th percentile
LAB_skatmvialt_13_Q4,Tax-deductible maintenance payments - 4th percentile
LAB_skatmvialt_13_Q5,Tax-deductible maintenance payments - 5th percentile
LAB_skatmvialt_13_Q6,Tax-deductible maintenance payments - 6th percentile
LAB_skatmvialt_13_Q7,Tax-deductible maintenance payments - 7th percentile
LAB_skatmvialt_13_Q8,Tax-deductible maintenance payments - 8th percentile
LAB_skatmvialt_13_Q9,Tax-deductible maintenance payments - 9th percentile
LAB_skatmvialt_13_Q10,Tax-deductible maintenance payments - 10th percentile
LAB_skatmvialt_13_Q11,Tax-deductible maintenance payments - 11th percentile
LAB_skatmvialt_13_Q12,Tax-deductible maintenance payments - 12th percentile
LAB_skatmvialt_13_Q13,Tax-deductible maintenance payments - 13th percentile
LAB_skatmvialt_13_Q14,Tax-deductible maintenance payments - 14th percentile
LAB_skatmvialt_13_Q15,Tax-deductible maintenance payments - 15th percentile
LAB_skatmvialt_13_Q16,Tax-deductible maintenance payments - 16th percentile
LAB_skatmvialt_13_Q17,Tax-deductible maintenance payments - 17th percentile
LAB_skatmvialt_13_Q18,Tax-deductible maintenance payments - 18th percentile
LAB_skatmvialt_13_Q19,Tax-deductible maintenance payments - 19th percentile
LAB_skatmvialt_13_Q20,Tax-deductible maintenance payments - 20th percentile
LAB_skatmvialt_13_Q21,Tax-deductible maintenance payments - 21th percentile
LAB_skatmvialt_13_Q22,Tax-deductible maintenance payments - 22th percentile
LAB_skatmvialt_13_Q23,Tax-deductible maintenance payments - 23th percentile
LAB_skatmvialt_13_Q24,Tax-deductible maintenance payments - 24th percentile
LAB_skatmvialt_13_Q25,Tax-deductible maintenance payments - 25th percentile
LAB_skatmvialt_13_Q26,Tax-deductible maintenance payments - 26th percentile
LAB_skatmvialt_13_Q27,Tax-deductible maintenance payments - 27th percentile
LAB_skatmvialt_13_Q28,Tax-deductible maintenance payments - 28th percentile
LAB_skatmvialt_13_Q29,Tax-deductible maintenance payments - 29th percentile
LAB_skatmvialt_13_Q30,Tax-deductible maintenance payments - 30th percentile
LAB_skatmvialt_13_Q31,Tax-deductible maintenance payments - 31th percentile
LAB_skatmvialt_13_Q32,Tax-deductible maintenance payments - 32th percentile
LAB_skatmvialt_13_Q33,Tax-deductible maintenance payments - 33th percentile
