code,description
LAB_syg_barsel_13_Q1,Sick pay benefits - 1th percentile
LAB_syg_barsel_13_Q2,Sick pay benefits - 2th percentile
LAB_syg_barsel_13_Q3,Sick pay benefits - 3th percentile
LAB_syg_barsel_13_Q4,Sick pay benefits - 4th percentile
LAB_syg_barsel_13_Q5,Sick pay benefits - 5th percentile
LAB_syg_barsel_13_Q6,Sick pay benefits - 6th percentile
LAB_syg_barsel_13_Q7,Sick pay benefits - 7th percentile
LAB_syg_barsel_13_Q8,Sick pay benefits - 8th percentile
LAB_syg_barsel_13_Q9,Sick pay benefits - 9th percentile
LAB_syg_barsel_13_Q10,Sick pay benefits - 10th percentile
LAB_syg_barsel_13_Q11,Sick pay benefits - 11th percentile
LAB_syg_barsel_13_Q12,Sick pay benefits - 12th percentile
LAB_syg_barsel_13_Q13,Sick pay benefits - 13th percentile
LAB_syg_barsel_13_Q14,Sick pay benefits - 14th percentile
LAB_syg_barsel_13_Q15,Sick pay benefits - 15th percentile
LAB_syg_barsel_13_Q16,Sick pay benefits - 16th percentile
LAB_syg_barsel_13_Q17,Sick pay benefits - 17th percentile
LAB_syg_barsel_13_Q18,Sick pay benefits - 18th percentile
LAB_syg_barsel_13_Q19,Sick pay benefits - 19th percentile
LAB_syg_barsel_13_Q20,Sick pay benefits - 20th percentile
LAB_syg_barsel_13_Q21,Sick pay benefits - 21th percentile
LAB_syg_barsel_13_Q22,Sick pay benefits - 22th percentile
LAB_syg_barsel_13_Q23,Sick pay benefits - 23th percentile
LAB_syg_barsel_13_Q24,Sick pay benefits - 24th percentile
LAB_syg_barsel_13_Q25,Sick pay benefits - 25th percentile
LAB_syg_barsel_13_Q26,Sick pay benefits - 26th percentile
LAB_syg_barsel_13_Q27,Sick pay benefits - 27th percentile
LAB_syg_barsel_13_Q28,Sick pay benefits - 28th percentile
LAB_syg_barsel_13_Q29,Sick pay benefits - 29th percentile
LAB_syg_barsel_13_Q30,Sick pay benefits - 30th percentile
LAB_syg_barsel_13_Q31,Sick pay benefits - 31th percentile
LAB_syg_barsel_13_Q32,Sick pay benefits - 32th percentile
LAB_syg_barsel_13_Q33,Sick pay benefits - 33th percentile
LAB_syg_barsel_13_Q34,Sick pay benefits - 34th percentile
LAB_syg_barsel_13_Q35,Sick pay benefits - 35th percentile
