code,description
SOC_haendelse_0,Implementation of placement
SOC_haendelse_0.2,Decision on placement
SOC_haendelse_1,Implementation of a changed location
SOC_haendelse_1.1,Re-categorization foster families in 2019-2020
SOC_haendelse_2,Amendment of forced placement for voluntary placement
SOC_haendelse_3,General follow-up of the placement
SOC_haendelse_4,Presentations for the Children and Young People Committee
SOC_haendelse_5,Return/discontinuation of placement
SOC_haendelse_5.5,"Termination of proceedings, placement transferred to another municipality of action"
SOC_haendelse_6,"Decision on the need for aftercare (section 68, paragraph 12) prior to the 18th year"
SOC_haendelse_7,Entrepreneurship/restoration of aftercare with 24-hour stay in place of placement
SOC_haendelse_7.2,Continuation of aftercare with round-the-clock stays in place of placement (18-year-olds)
SOC_haendelse_7.5,"Case creation, placement transferred from other municipality of action"
