code,description
SOC_samtykke_1,"Administrative decision with consent (Section 52, paragraph 1, see. paragraph 3, no. 7)"
SOC_samtykke_2,"Children and young people's committee, without consent requirements (§ 74, paragraph 1, no. 10, cf. § 58)"
SOC_samtykke_3,"Preliminary decision, the chairman of the children and young people committee (section 74, paragraph 1, cf. § 58)"
SOC_samtykke_4,"Judgment (youth sanction, Section 74a of the Criminal Code)"
SOC_samtykke_5,"Judgment (detention, Section 78(1) of the Criminal Enforcement Act. 2)"
SOC_samtykke_6,Surrogate for pre-trial detention (Practical Procedure § 765)
SOC_samtykke_7,Young foreigners under the age of 15 (Immigration Act §§ 36 and 37)
SOC_samtykke_8,Appeals Board's self-employed power (§ 65)
SOC_samtykke_9,Decision of the Juvenile Delinquency Board with consent (section 14(1) of the Act on Combating Juvenile Delinquency)
SOC_samtykke_10,"Decision of the Juvenile Delinquency Board without consent requirements (section 14, paragraphs 2 to 4, of the law on combating juvenile delinquency)"
SOC_samtykke_11,"Preliminary decision, Chairman of the Children and Young People Committee (section 75, paragraph 1, of the law on social services, section 14, paragraphs 2 to 4, of the law on combating juvenile delinquency)"
SOC_samtykke_12,"Decision of the Children and Young People Committee without consent (section 62 l, paragraph 1, of the Aliens Act)"
SOC_samtykke_13,"Preliminary decision of the chairman of the children and young people committee (§ 62 l, paragraph 3, of the Aliens Act)"
SOC_samtykke_99,Unenlightened/not relevant
