code,description
DEM_statsb_0,Uoplyst (1)
DEM_statsb_5001,Uoplyst (2)
DEM_statsb_5100,Danmark
DEM_statsb_5101,Grønland
DEM_statsb_5102,Udlandet uoplyst
DEM_statsb_5103,Statsløs
DEM_statsb_5104,Finland
DEM_statsb_5105,"Island, ligeret dansk"
DEM_statsb_5106,Island
DEM_statsb_5107,Liechtenstein
DEM_statsb_5108,Luxembourg
DEM_statsb_5109,Monaco
DEM_statsb_5110,Norge
DEM_statsb_5114,Europa uoplyst
DEM_statsb_5115,Kongelig
DEM_statsb_5120,Sverige
DEM_statsb_5122,Albanien
DEM_statsb_5124,Andorra
DEM_statsb_5126,Belgien
DEM_statsb_5128,Bulgarien
DEM_statsb_5129,Tjekkoslovakiet
DEM_statsb_5130,Frankrig
DEM_statsb_5134,Grækenland
DEM_statsb_5140,Nederlandene
DEM_statsb_5142,Irland
DEM_statsb_5150,Italien
DEM_statsb_5151,Serbien og Montenegro
DEM_statsb_5152,Jugoslavien
DEM_statsb_5153,Malta
DEM_statsb_5154,Polen
DEM_statsb_5156,Portugal
DEM_statsb_5157,Palæstina
DEM_statsb_5158,Rumænien
DEM_statsb_5159,San Marino
DEM_statsb_5160,Schweiz
DEM_statsb_5162,Sovjetunionen
DEM_statsb_5164,Spanien
DEM_statsb_5170,Storbritannien
DEM_statsb_5172,Tyrkiet
DEM_statsb_5174,Ungarn
DEM_statsb_5176,Vatikanstaten
DEM_statsb_5180,Tyskland
DEM_statsb_5182,Østrig
DEM_statsb_5199,Europa uoplyst
DEM_statsb_5202,Algeriet
DEM_statsb_5204,Angola
DEM_statsb_5207,Botswana
DEM_statsb_5213,Burundi
DEM_statsb_5214,Etiopien
DEM_statsb_5215,Comorerne
DEM_statsb_5216,Eritrea
DEM_statsb_5222,Gambia
DEM_statsb_5223,Gaza
DEM_statsb_5228,Ghana
DEM_statsb_5230,Ækvatorialguinea
DEM_statsb_5231,Guinea-Bissau
DEM_statsb_5232,Guinea
DEM_statsb_5233,Kap Verde
DEM_statsb_5234,Kenya
DEM_statsb_5235,Lesotho
DEM_statsb_5236,Liberia
DEM_statsb_5238,Libyen
DEM_statsb_5240,Mozambique
DEM_statsb_5242,Madagaskar
DEM_statsb_5243,Mali
DEM_statsb_5244,Marokko
DEM_statsb_5245,Mauritius
DEM_statsb_5246,Nigeria
DEM_statsb_5247,Namibia
DEM_statsb_5248,Marshalløerne
DEM_statsb_5255,Sierra Leone
DEM_statsb_5258,Sudan
DEM_statsb_5259,Eswatini
DEM_statsb_5260,Sydsudan
DEM_statsb_5262,Sydafrika
DEM_statsb_5266,Tanzania
DEM_statsb_5268,Tunesien
DEM_statsb_5269,Uganda
DEM_statsb_5272,Egypten
DEM_statsb_5273,Tuvalu
DEM_statsb_5274,Kiribati
DEM_statsb_5275,Vanuatu
DEM_statsb_5276,Centralafrikanske Republik
DEM_statsb_5277,Cameroun
DEM_statsb_5278,"Congo, Demokratiske Republik"
DEM_statsb_5279,"Congo, Republikken"
DEM_statsb_5281,Benin
DEM_statsb_5282,Elfenbenskysten
DEM_statsb_5283,Gabon
DEM_statsb_5284,Mauretanien
DEM_statsb_5285,Niger
DEM_statsb_5287,Rwanda
DEM_statsb_5288,Senegal
DEM_statsb_5289,Somalia
DEM_statsb_5292,Tchad
DEM_statsb_5293,Togo
DEM_statsb_5294,Burkina Faso
DEM_statsb_5295,Zimbabwe
DEM_statsb_5296,Zambia
DEM_statsb_5297,Malawi
DEM_statsb_5298,Seychellerne
DEM_statsb_5299,Afrika uoplyst
DEM_statsb_5302,Argentina
DEM_statsb_5303,Bahamas
DEM_statsb_5304,Bolivia
DEM_statsb_5305,Barbados
DEM_statsb_5306,Brasilien
DEM_statsb_5308,Guyana
DEM_statsb_5309,Antigua og Barbuda
DEM_statsb_5310,Nauru
DEM_statsb_5311,Skt. Vincent og Grenadinerne
DEM_statsb_5314,Canada
DEM_statsb_5316,Chile
DEM_statsb_5318,Colombia
DEM_statsb_5319,Syd- og Mellemamerika uoplyst
DEM_statsb_5322,Costa Rica
DEM_statsb_5324,Cuba
DEM_statsb_5326,Dominikanske Republik
DEM_statsb_5328,Ecuador
DEM_statsb_5338,Guatemala
DEM_statsb_5339,Grenada
DEM_statsb_5342,Haiti
DEM_statsb_5344,Surinam
DEM_statsb_5345,Dominica
DEM_statsb_5347,Skt. Lucia
DEM_statsb_5348,Honduras
