code,description
EDU_audd_0,Afbrudt
EDU_audd_1,Ingen uddannelse ivu
EDU_audd_1006,6. klasse
EDU_audd_1007,7. klasse
EDU_audd_1008,8. klasse
EDU_audd_1009,9. klasse
EDU_audd_1010,10. klasse
EDU_audd_1011,11. klasse
EDU_audd_1021,1. real
EDU_audd_1022,2. real
EDU_audd_1023,3. real
EDU_audd_1031,1. hf
EDU_audd_1032,2. hf
EDU_audd_1040,"1.g, matematisk-sproglig fælleslinie"
EDU_audd_1041,"1.g, matematisk linie"
EDU_audd_1042,"1.g, sproglig linie"
EDU_audd_1049,"2.g, matematisk-sproglig fælleslinie"
EDU_audd_1051,"2.g, matematisk-fysisk linie"
EDU_audd_1052,"2.g, matematisk-naturfaglig linie"
EDU_audd_1061,"2.g, nysproglig linie"
EDU_audd_1062,"2.g, klassisksproglig linie"
EDU_audd_1064,"2.g, musiksproglig linie"
EDU_audd_1069,"3.g, matematisk-sproglig fælleslinie"
EDU_audd_1070,"3.g, matematisk linie una"
EDU_audd_1071,"3.g, matematisk-fysisk linie"
EDU_audd_1072,"3.g, matematisk-naturfaglig linie"
EDU_audd_1073,"3.g, matematisk-samfundsfaglig linie"
EDU_audd_1080,"3.g, sproglig linie una"
EDU_audd_1081,"3.g, nysproglig linie"
EDU_audd_1082,"3.g, klassisksproglig linie"
EDU_audd_1083,"3.g, musiksproglig linie"
EDU_audd_1084,"3.g, musiksproglig linie"
EDU_audd_1090,Uoplyst (kendt i elevregistret)
EDU_audd_1095,Uoplyst (indvandrernes uddannelse)
EDU_audd_1097,Anden dansk studentereksamen
EDU_audd_1098,Udenlandsk studentereksamen
EDU_audd_1099,Uoplyst (ukendt i elevregistret)
EDU_audd_1100,Børnehaveklasse
EDU_audd_1101,1. klasse
EDU_audd_1102,2. klasse
EDU_audd_1103,3. klasse
EDU_audd_1104,4. klasse
EDU_audd_1105,5. klasse
EDU_audd_1106,6. klasse
EDU_audd_1107,7. klasse
EDU_audd_1108,8. klasse
EDU_audd_1109,9. klasse
EDU_audd_1110,10. klasse
EDU_audd_1111,11. klasse
