code,description
LAB_bredt_loen_beloeb_Q1,Broad income measure - 1th percentile
LAB_bredt_loen_beloeb_Q2,Broad income measure - 2th percentile
LAB_bredt_loen_beloeb_Q3,Broad income measure - 3th percentile
LAB_bredt_loen_beloeb_Q4,Broad income measure - 4th percentile
LAB_bredt_loen_beloeb_Q5,Broad income measure - 5th percentile
LAB_bredt_loen_beloeb_Q6,Broad income measure - 6th percentile
LAB_bredt_loen_beloeb_Q7,Broad income measure - 7th percentile
LAB_bredt_loen_beloeb_Q8,Broad income measure - 8th percentile
LAB_bredt_loen_beloeb_Q9,Broad income measure - 9th percentile
LAB_bredt_loen_beloeb_Q10,Broad income measure - 10th percentile
LAB_bredt_loen_beloeb_Q11,Broad income measure - 11th percentile
LAB_bredt_loen_beloeb_Q12,Broad income measure - 12th percentile
LAB_bredt_loen_beloeb_Q13,Broad income measure - 13th percentile
LAB_bredt_loen_beloeb_Q14,Broad income measure - 14th percentile
LAB_bredt_loen_beloeb_Q15,Broad income measure - 15th percentile
LAB_bredt_loen_beloeb_Q16,Broad income measure - 16th percentile
LAB_bredt_loen_beloeb_Q17,Broad income measure - 17th percentile
LAB_bredt_loen_beloeb_Q18,Broad income measure - 18th percentile
LAB_bredt_loen_beloeb_Q19,Broad income measure - 19th percentile
LAB_bredt_loen_beloeb_Q20,Broad income measure - 20th percentile
LAB_bredt_loen_beloeb_Q21,Broad income measure - 21th percentile
LAB_bredt_loen_beloeb_Q22,Broad income measure - 22th percentile
LAB_bredt_loen_beloeb_Q23,Broad income measure - 23th percentile
LAB_bredt_loen_beloeb_Q24,Broad income measure - 24th percentile
LAB_bredt_loen_beloeb_Q25,Broad income measure - 25th percentile
LAB_bredt_loen_beloeb_Q26,Broad income measure - 26th percentile
LAB_bredt_loen_beloeb_Q27,Broad income measure - 27th percentile
LAB_bredt_loen_beloeb_Q28,Broad income measure - 28th percentile
LAB_bredt_loen_beloeb_Q29,Broad income measure - 29th percentile
LAB_bredt_loen_beloeb_Q30,Broad income measure - 30th percentile
LAB_bredt_loen_beloeb_Q31,Broad income measure - 31th percentile
LAB_bredt_loen_beloeb_Q32,Broad income measure - 32th percentile
LAB_bredt_loen_beloeb_Q33,Broad income measure - 33th percentile
LAB_bredt_loen_beloeb_Q34,Broad income measure - 34th percentile
LAB_bredt_loen_beloeb_Q35,Broad income measure - 35th percentile
LAB_bredt_loen_beloeb_Q36,Broad income measure - 36th percentile
LAB_bredt_loen_beloeb_Q37,Broad income measure - 37th percentile
LAB_bredt_loen_beloeb_Q38,Broad income measure - 38th percentile
LAB_bredt_loen_beloeb_Q39,Broad income measure - 39th percentile
LAB_bredt_loen_beloeb_Q40,Broad income measure - 40th percentile
LAB_bredt_loen_beloeb_Q41,Broad income measure - 41th percentile
LAB_bredt_loen_beloeb_Q42,Broad income measure - 42th percentile
LAB_bredt_loen_beloeb_Q43,Broad income measure - 43th percentile
LAB_bredt_loen_beloeb_Q44,Broad income measure - 44th percentile
LAB_bredt_loen_beloeb_Q45,Broad income measure - 45th percentile
LAB_bredt_loen_beloeb_Q46,Broad income measure - 46th percentile
LAB_bredt_loen_beloeb_Q47,Broad income measure - 47th percentile
LAB_bredt_loen_beloeb_Q48,Broad income measure - 48th percentile
LAB_bredt_loen_beloeb_Q49,Broad income measure - 49th percentile
LAB_bredt_loen_beloeb_Q50,Broad income measure - 50th percentile
LAB_bredt_loen_beloeb_Q51,Broad income measure - 51th percentile
LAB_bredt_loen_beloeb_Q52,Broad income measure - 52th percentile
LAB_bredt_loen_beloeb_Q53,Broad income measure - 53th percentile
LAB_bredt_loen_beloeb_Q54,Broad income measure - 54th percentile
LAB_bredt_loen_beloeb_Q55,Broad income measure - 55th percentile
LAB_bredt_loen_beloeb_Q56,Broad income measure - 56th percentile
LAB_bredt_loen_beloeb_Q57,Broad income measure - 57th percentile
LAB_bredt_loen_beloeb_Q58,Broad income measure - 58th percentile
LAB_bredt_loen_beloeb_Q59,Broad income measure - 59th percentile
LAB_bredt_loen_beloeb_Q60,Broad income measure - 60th percentile
LAB_bredt_loen_beloeb_Q61,Broad income measure - 61th percentile
LAB_bredt_loen_beloeb_Q62,Broad income measure - 62th percentile
LAB_bredt_loen_beloeb_Q63,Broad income measure - 63th percentile
LAB_bredt_loen_beloeb_Q64,Broad income measure - 64th percentile
LAB_bredt_loen_beloeb_Q65,Broad income measure - 65th percentile
LAB_bredt_loen_beloeb_Q66,Broad income measure - 66th percentile
LAB_bredt_loen_beloeb_Q67,Broad income measure - 67th percentile
LAB_bredt_loen_beloeb_Q68,Broad income measure - 68th percentile
LAB_bredt_loen_beloeb_Q69,Broad income measure - 69th percentile
LAB_bredt_loen_beloeb_Q70,Broad income measure - 70th percentile
LAB_bredt_loen_beloeb_Q71,Broad income measure - 71th percentile
LAB_bredt_loen_beloeb_Q72,Broad income measure - 72th percentile
LAB_bredt_loen_beloeb_Q73,Broad income measure - 73th percentile
LAB_bredt_loen_beloeb_Q74,Broad income measure - 74th percentile
LAB_bredt_loen_beloeb_Q75,Broad income measure - 75th percentile
LAB_bredt_loen_beloeb_Q76,Broad income measure - 76th percentile
LAB_bredt_loen_beloeb_Q77,Broad income measure - 77th percentile
LAB_bredt_loen_beloeb_Q78,Broad income measure - 78th percentile
LAB_bredt_loen_beloeb_Q79,Broad income measure - 79th percentile
LAB_bredt_loen_beloeb_Q80,Broad income measure - 80th percentile
LAB_bredt_loen_beloeb_Q81,Broad income measure - 81th percentile
LAB_bredt_loen_beloeb_Q82,Broad income measure - 82th percentile
LAB_bredt_loen_beloeb_Q83,Broad income measure - 83th percentile
LAB_bredt_loen_beloeb_Q84,Broad income measure - 84th percentile
LAB_bredt_loen_beloeb_Q85,Broad income measure - 85th percentile
LAB_bredt_loen_beloeb_Q86,Broad income measure - 86th percentile
LAB_bredt_loen_beloeb_Q87,Broad income measure - 87th percentile
LAB_bredt_loen_beloeb_Q88,Broad income measure - 88th percentile
LAB_bredt_loen_beloeb_Q89,Broad income measure - 89th percentile
LAB_bredt_loen_beloeb_Q90,Broad income measure - 90th percentile
LAB_bredt_loen_beloeb_Q91,Broad income measure - 91th percentile
