code,description
LAB_dagpenge_kontant_13_Q1,Unemployment benefits - 1th percentile
LAB_dagpenge_kontant_13_Q2,Unemployment benefits - 2th percentile
LAB_dagpenge_kontant_13_Q3,Unemployment benefits - 3th percentile
LAB_dagpenge_kontant_13_Q4,Unemployment benefits - 4th percentile
LAB_dagpenge_kontant_13_Q5,Unemployment benefits - 5th percentile
LAB_dagpenge_kontant_13_Q6,Unemployment benefits - 6th percentile
LAB_dagpenge_kontant_13_Q7,Unemployment benefits - 7th percentile
LAB_dagpenge_kontant_13_Q8,Unemployment benefits - 8th percentile
LAB_dagpenge_kontant_13_Q9,Unemployment benefits - 9th percentile
LAB_dagpenge_kontant_13_Q10,Unemployment benefits - 10th percentile
LAB_dagpenge_kontant_13_Q11,Unemployment benefits - 11th percentile
LAB_dagpenge_kontant_13_Q12,Unemployment benefits - 12th percentile
LAB_dagpenge_kontant_13_Q13,Unemployment benefits - 13th percentile
LAB_dagpenge_kontant_13_Q14,Unemployment benefits - 14th percentile
LAB_dagpenge_kontant_13_Q15,Unemployment benefits - 15th percentile
LAB_dagpenge_kontant_13_Q16,Unemployment benefits - 16th percentile
LAB_dagpenge_kontant_13_Q17,Unemployment benefits - 17th percentile
LAB_dagpenge_kontant_13_Q18,Unemployment benefits - 18th percentile
LAB_dagpenge_kontant_13_Q19,Unemployment benefits - 19th percentile
LAB_dagpenge_kontant_13_Q20,Unemployment benefits - 20th percentile
LAB_dagpenge_kontant_13_Q21,Unemployment benefits - 21th percentile
LAB_dagpenge_kontant_13_Q22,Unemployment benefits - 22th percentile
LAB_dagpenge_kontant_13_Q23,Unemployment benefits - 23th percentile
LAB_dagpenge_kontant_13_Q24,Unemployment benefits - 24th percentile
LAB_dagpenge_kontant_13_Q25,Unemployment benefits - 25th percentile
LAB_dagpenge_kontant_13_Q26,Unemployment benefits - 26th percentile
LAB_dagpenge_kontant_13_Q27,Unemployment benefits - 27th percentile
LAB_dagpenge_kontant_13_Q28,Unemployment benefits - 28th percentile
LAB_dagpenge_kontant_13_Q29,Unemployment benefits - 29th percentile
LAB_dagpenge_kontant_13_Q30,Unemployment benefits - 30th percentile
LAB_dagpenge_kontant_13_Q31,Unemployment benefits - 31th percentile
LAB_dagpenge_kontant_13_Q32,Unemployment benefits - 32th percentile
LAB_dagpenge_kontant_13_Q33,Unemployment benefits - 33th percentile
LAB_dagpenge_kontant_13_Q34,Unemployment benefits - 34th percentile
LAB_dagpenge_kontant_13_Q35,Unemployment benefits - 35th percentile
LAB_dagpenge_kontant_13_Q36,Unemployment benefits - 36th percentile
LAB_dagpenge_kontant_13_Q37,Unemployment benefits - 37th percentile
LAB_dagpenge_kontant_13_Q38,Unemployment benefits - 38th percentile
LAB_dagpenge_kontant_13_Q39,Unemployment benefits - 39th percentile
LAB_dagpenge_kontant_13_Q40,Unemployment benefits - 40th percentile
LAB_dagpenge_kontant_13_Q41,Unemployment benefits - 41th percentile
LAB_dagpenge_kontant_13_Q42,Unemployment benefits - 42th percentile
LAB_dagpenge_kontant_13_Q43,Unemployment benefits - 43th percentile
LAB_dagpenge_kontant_13_Q44,Unemployment benefits - 44th percentile
LAB_dagpenge_kontant_13_Q45,Unemployment benefits - 45th percentile
LAB_dagpenge_kontant_13_Q46,Unemployment benefits - 46th percentile
LAB_dagpenge_kontant_13_Q47,Unemployment benefits - 47th percentile
LAB_dagpenge_kontant_13_Q48,Unemployment benefits - 48th percentile
LAB_dagpenge_kontant_13_Q49,Unemployment benefits - 49th percentile
LAB_dagpenge_kontant_13_Q50,Unemployment benefits - 50th percentile
LAB_dagpenge_kontant_13_Q51,Unemployment benefits - 51th percentile
LAB_dagpenge_kontant_13_Q52,Unemployment benefits - 52th percentile
LAB_dagpenge_kontant_13_Q53,Unemployment benefits - 53th percentile
LAB_dagpenge_kontant_13_Q54,Unemployment benefits - 54th percentile
LAB_dagpenge_kontant_13_Q55,Unemployment benefits - 55th percentile
LAB_dagpenge_kontant_13_Q56,Unemployment benefits - 56th percentile
LAB_dagpenge_kontant_13_Q57,Unemployment benefits - 57th percentile
LAB_dagpenge_kontant_13_Q58,Unemployment benefits - 58th percentile
LAB_dagpenge_kontant_13_Q59,Unemployment benefits - 59th percentile
LAB_dagpenge_kontant_13_Q60,Unemployment benefits - 60th percentile
LAB_dagpenge_kontant_13_Q61,Unemployment benefits - 61th percentile
LAB_dagpenge_kontant_13_Q62,Unemployment benefits - 62th percentile
LAB_dagpenge_kontant_13_Q63,Unemployment benefits - 63th percentile
LAB_dagpenge_kontant_13_Q64,Unemployment benefits - 64th percentile
LAB_dagpenge_kontant_13_Q65,Unemployment benefits - 65th percentile
LAB_dagpenge_kontant_13_Q66,Unemployment benefits - 66th percentile
LAB_dagpenge_kontant_13_Q67,Unemployment benefits - 67th percentile
LAB_dagpenge_kontant_13_Q68,Unemployment benefits - 68th percentile
LAB_dagpenge_kontant_13_Q69,Unemployment benefits - 69th percentile
LAB_dagpenge_kontant_13_Q70,Unemployment benefits - 70th percentile
LAB_dagpenge_kontant_13_Q71,Unemployment benefits - 71th percentile
LAB_dagpenge_kontant_13_Q72,Unemployment benefits - 72th percentile
LAB_dagpenge_kontant_13_Q73,Unemployment benefits - 73th percentile
LAB_dagpenge_kontant_13_Q74,Unemployment benefits - 74th percentile
LAB_dagpenge_kontant_13_Q75,Unemployment benefits - 75th percentile
LAB_dagpenge_kontant_13_Q76,Unemployment benefits - 76th percentile
LAB_dagpenge_kontant_13_Q77,Unemployment benefits - 77th percentile
LAB_dagpenge_kontant_13_Q78,Unemployment benefits - 78th percentile
LAB_dagpenge_kontant_13_Q79,Unemployment benefits - 79th percentile
LAB_dagpenge_kontant_13_Q80,Unemployment benefits - 80th percentile
LAB_dagpenge_kontant_13_Q81,Unemployment benefits - 81th percentile
