code,description
LAB_disco_0,Militært arbejde
LAB_disco_1,Militært arbejde på officersniveau
LAB_disco_2,"Arbejde, der forudsætter viden på højeste niveau inden for pågældende område"
LAB_disco_3,"Arbejde, der forudsætter viden på mellemniveau"
LAB_disco_4,Almindeligt kontor- og kundeservicearbejde
LAB_disco_5,Service- og salgsarbejde
LAB_disco_6,"Arbejde inden for landbrug, skovbrug og fiskeri ekskl. Medhjælp"
LAB_disco_7,Håndværkspræget arbejde
LAB_disco_8,Operatør- og monteringsarbejde samt transportarbejde
LAB_disco_9,Andet manuelt arbejde
LAB_disco_11,"Øverste ledelse i lovgivende myndigheder, virksomheder og organisationer"
LAB_disco_12,Ledelse inden for administration og erhvervsorienterede funktioner
LAB_disco_13,Ledelse af hovedaktiviteten inden for produktions- og servicevirksomhed
LAB_disco_14,"Ledelse af hovedaktiviteten inden for hotel og restauration, detail- og engroshandel og andre serviceområder"
LAB_disco_21,Militært arbejde på befalingsmandsniveau (underofficersarbejde)
LAB_disco_22,Arbejde inden for sundhedsområdet
LAB_disco_23,Undervisning og pædagogisk arbejde
LAB_disco_24,"Arbejde inden for økonomi, administration og salg"
LAB_disco_25,Arbejde inden for informations- og kommunikationsteknologi
LAB_disco_26,"Arbejde inden for jura, samfundsvidenskab og kultur"
LAB_disco_31,"Teknikerarbejde inden for videnskab, ingeniørvirksomhed og skibs- og luftfart"
LAB_disco_32,Teknikerarbejde og assisterende arbejde inden for sundhedsområdet
LAB_disco_33,"Arbejde inden for forretningsservice, økonomi, administration og salg"
LAB_disco_34,"Arbejde inden for jura, samfundsvidenskab og kultur"
LAB_disco_35,Informations- og kommunikationsteknikerarbejde
LAB_disco_41,Almindeligt kontor- og sekretærarbejde
LAB_disco_42,Kundeservice
LAB_disco_43,Almindeligt beregnings- og registreringsarbejde
LAB_disco_44,Andet almindeligt kontor- og kundeservicearbejde
LAB_disco_51,Servicearbejde
LAB_disco_52,Salgsarbejde (ekskl. agentarbejde)
LAB_disco_53,Omsorgsarbejde
LAB_disco_54,Rednings- og overvågningsarbejde
LAB_disco_61,Arbejde inden for landbrug og gartneri ekskl. medhjælp
LAB_disco_62,"Arbejde inden for skovbrug, fiskeri og jagt"
LAB_disco_71,"Håndværkspræget arbejde inden for byggeri, undtagen elektrikerarbejde"
LAB_disco_72,Metal- og maskinarbejde
LAB_disco_73,Præcisionshåndværk og grafisk arbejde
LAB_disco_74,Arbejde inden for det elektriske og elektroniske område
LAB_disco_75,"Fødevarefremstilling, snedkeriarbejde, beklædningsfremstilling og beslægtede håndværk"
LAB_disco_81,Operatørarbejde ved stationære anlæg og maskiner
LAB_disco_82,Monteringsarbejde
LAB_disco_83,Chaufførarbejde og førere af køretøjer og mobile maskiner
LAB_disco_91,Rengøringsarbejde
LAB_disco_92,"Manuelt arbejde inden for landbrug, skovbrug og fiskeri"
LAB_disco_93,"Manuelt arbejde inden for råstofudvinding, bygge- og anlægssektoren, produktion og transport"
LAB_disco_94,Manuelt arbejde med tilberedning af mad
LAB_disco_95,Gadesalg og -service
LAB_disco_96,Renovationsarbejde og andet manuelt arbejde
LAB_disco_110,Militært arbejde på officersniveau
LAB_disco_111,"Øverste ledelse i lovgivende myndigheder, offentlige virksomheder og organisationer"
LAB_disco_112,Øverste virksomhedsledelse
LAB_disco_121,Ledelse inden for forretningsservice og administrative funktioner
LAB_disco_122,Ledelse af forretnings- og udviklingsorienterede funktioner
LAB_disco_131,"Ledelse af produktion i landbrug, skovbrug og fiskeri"
LAB_disco_132,"Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed, råstofudvinding, byggeri, forsyning, distribution mv."
