code,description
LAB_folkefortid_13_Q1,Early retirement pension - 1th percentile
LAB_folkefortid_13_Q2,Early retirement pension - 2th percentile
LAB_folkefortid_13_Q3,Early retirement pension - 3th percentile
LAB_folkefortid_13_Q4,Early retirement pension - 4th percentile
LAB_folkefortid_13_Q5,Early retirement pension - 5th percentile
LAB_folkefortid_13_Q6,Early retirement pension - 6th percentile
LAB_folkefortid_13_Q7,Early retirement pension - 7th percentile
LAB_folkefortid_13_Q8,Early retirement pension - 8th percentile
LAB_folkefortid_13_Q9,Early retirement pension - 9th percentile
LAB_folkefortid_13_Q10,Early retirement pension - 10th percentile
