code,description
LAB_gron_check_Q1,Green/environmental benefits - 1th percentile
LAB_gron_check_Q2,Green/environmental benefits - 2th percentile
LAB_gron_check_Q3,Green/environmental benefits - 3th percentile
LAB_gron_check_Q4,Green/environmental benefits - 4th percentile
LAB_gron_check_Q5,Green/environmental benefits - 5th percentile
LAB_gron_check_Q6,Green/environmental benefits - 6th percentile
LAB_gron_check_Q7,Green/environmental benefits - 7th percentile
LAB_gron_check_Q8,Green/environmental benefits - 8th percentile
LAB_gron_check_Q9,Green/environmental benefits - 9th percentile
LAB_gron_check_Q10,Green/environmental benefits - 10th percentile
