code,description
LAB_nace_0,Not stated
LAB_nace_11110,Grain Breeding
LAB_nace_11190,"Agerbrug, by the way"
LAB_nace_11210,Hortithnries
LAB_nace_11220,Nurseries
LAB_nace_11300,"Cultivation of fruit and berries, nuts and spice plants"
LAB_nace_12110,Dairy cattle team
LAB_nace_12190,Second cattle breeding
LAB_nace_12210,Studs
LAB_nace_12220,Sheep and goat breeding
LAB_nace_12300,Pig farming
LAB_nace_12400,Poultry breeding
LAB_nace_12510,Fur animal breeding
LAB_nace_12520,Beekeeping
LAB_nace_12530,Kennels
LAB_nace_12590,"Goat breeding, rabbit breeding, etc."
LAB_nace_13000,Plant breeding combined with livestock farming (mixed operation)
LAB_nace_14110,Agricultural machinery stations
LAB_nace_14120,Construction nurseries
LAB_nace_14190,Service activities in connection with arable use
LAB_nace_14200,Service activities related to livestock farming other than veterinary establishment
LAB_nace_15000,"Hunting, catching and service activities related thereto"
LAB_nace_20100,Forestry
LAB_nace_20200,Service activities in connection with forestry
LAB_nace_21200,Forming and processing of flat glass
LAB_nace_50100,Fishing
LAB_nace_50200,Fish Farming and Fishing
LAB_nace_50300,Service activities in connection with fishing
LAB_nace_61100,Danmarks Nationalbank
LAB_nace_71200,Purchase and sale of real estate at your own expense
LAB_nace_91200,Film and video dissemination
LAB_nace_101000,Coal mines
LAB_nace_102000,Lignut Bearings
LAB_nace_103000,Peat pits
LAB_nace_111000,Extraction of crude oil and natural gas
LAB_nace_112000,Technical services services related to oil and gas extraction
LAB_nace_120000,Refraction of uranium and thorium ores
LAB_nace_131000,Refraction of iron ore
LAB_nace_132000,Refraction of non-ferrous metal ores other than uranium and thorium ores
LAB_nace_141110,Breaking of stones
LAB_nace_141120,Stone fishing
LAB_nace_141200,Lime Fracture
LAB_nace_141300,Slate fracture
LAB_nace_142100,"Gravel and sand pits, dredging"
LAB_nace_142200,Extraction of clay and kaolin
LAB_nace_143000,Extraction of minerals for the production of chemical products and fertilisers
LAB_nace_144000,Salt extraction
LAB_nace_145000,Other extraction of raw materials in general
LAB_nace_151110,Pig slaughterhouses
LAB_nace_151120,Creature slaughterhouses
LAB_nace_151130,Intestinal series
LAB_nace_151140,Destruction facilities and bone meal factories
LAB_nace_151200,Poultry slaughterhouses
LAB_nace_151310,Manufacture of ready meals
LAB_nace_151390,"Meat processing, moreover"
LAB_nace_152010,"Fish hermetics, fish meat and fish fillet factories"
LAB_nace_152030,Fishmeal factories
LAB_nace_153100,Processing and preservation of potatoes
LAB_nace_153200,Preparation of fruit and vegetable juices
LAB_nace_153300,Processing and preservation of fruit and vegetables
LAB_nace_154100,Manufacture of crude oils and fats
LAB_nace_154200,Manufacture of refined oils and fats
LAB_nace_154300,"Margarine factories, etc."
LAB_nace_155110,Dairies and cheese making
LAB_nace_155120,Milk condensation factories
LAB_nace_155200,Manufacture of ice for human consumption
LAB_nace_156100,Manufacture of milling products
LAB_nace_156110,Manufacture of milling products
LAB_nace_156120,Industrial manufacture and breeding of seeds
LAB_nace_156200,Manufacture of starch and starch products
LAB_nace_157110,Manufacture of compound feed for agriculture and fur farming
LAB_nace_157120,Manufacture of compound feed for fish and sea
LAB_nace_157200,Manufacture of finished pet food
LAB_nace_158110,Bread mills
LAB_nace_158120,Bakery shops
LAB_nace_158200,Manufacture of cakes and biscuits
LAB_nace_158300,Sugar factories and refineries
LAB_nace_158400,Chocolate and sugar products factories
LAB_nace_158500,Manufacture of pasta products and similar products
LAB_nace_158600,Processing of tea and coffee
LAB_nace_158700,"Spice mills, production of flavors, etc."
LAB_nace_158900,Manufacture of other foodstuffs
LAB_nace_158910,Manufacture of food supplements
LAB_nace_158920,Manufacture of other foodstuffs
LAB_nace_159100,Production of spirits
LAB_nace_159200,Preparation of crude alcohol
LAB_nace_159300,Preparation of wine based on grapes
LAB_nace_159400,Manufacture of fruit wine other than from grapes
