code,description
LAB_offpens_efterlon_13_Q1,Public pensions - 1th percentile
LAB_offpens_efterlon_13_Q2,Public pensions - 2th percentile
LAB_offpens_efterlon_13_Q3,Public pensions - 3th percentile
LAB_offpens_efterlon_13_Q4,Public pensions - 4th percentile
LAB_offpens_efterlon_13_Q5,Public pensions - 5th percentile
LAB_offpens_efterlon_13_Q6,Public pensions - 6th percentile
LAB_offpens_efterlon_13_Q7,Public pensions - 7th percentile
LAB_offpens_efterlon_13_Q8,Public pensions - 8th percentile
LAB_offpens_efterlon_13_Q9,Public pensions - 9th percentile
LAB_offpens_efterlon_13_Q10,Public pensions - 10th percentile
LAB_offpens_efterlon_13_Q11,Public pensions - 11th percentile
LAB_offpens_efterlon_13_Q12,Public pensions - 12th percentile
LAB_offpens_efterlon_13_Q13,Public pensions - 13th percentile
LAB_offpens_efterlon_13_Q14,Public pensions - 14th percentile
LAB_offpens_efterlon_13_Q15,Public pensions - 15th percentile
LAB_offpens_efterlon_13_Q16,Public pensions - 16th percentile
LAB_offpens_efterlon_13_Q17,Public pensions - 17th percentile
LAB_offpens_efterlon_13_Q18,Public pensions - 18th percentile
LAB_offpens_efterlon_13_Q19,Public pensions - 19th percentile
LAB_offpens_efterlon_13_Q20,Public pensions - 20th percentile
LAB_offpens_efterlon_13_Q21,Public pensions - 21th percentile
LAB_offpens_efterlon_13_Q22,Public pensions - 22th percentile
LAB_offpens_efterlon_13_Q23,Public pensions - 23th percentile
LAB_offpens_efterlon_13_Q24,Public pensions - 24th percentile
LAB_offpens_efterlon_13_Q25,Public pensions - 25th percentile
LAB_offpens_efterlon_13_Q26,Public pensions - 26th percentile
LAB_offpens_efterlon_13_Q27,Public pensions - 27th percentile
LAB_offpens_efterlon_13_Q28,Public pensions - 28th percentile
LAB_offpens_efterlon_13_Q29,Public pensions - 29th percentile
LAB_offpens_efterlon_13_Q30,Public pensions - 30th percentile
LAB_offpens_efterlon_13_Q31,Public pensions - 31th percentile
LAB_offpens_efterlon_13_Q32,Public pensions - 32th percentile
LAB_offpens_efterlon_13_Q33,Public pensions - 33th percentile
LAB_offpens_efterlon_13_Q34,Public pensions - 34th percentile
LAB_offpens_efterlon_13_Q35,Public pensions - 35th percentile
LAB_offpens_efterlon_13_Q36,Public pensions - 36th percentile
LAB_offpens_efterlon_13_Q37,Public pensions - 37th percentile
LAB_offpens_efterlon_13_Q38,Public pensions - 38th percentile
LAB_offpens_efterlon_13_Q39,Public pensions - 39th percentile
LAB_offpens_efterlon_13_Q40,Public pensions - 40th percentile
LAB_offpens_efterlon_13_Q41,Public pensions - 41th percentile
LAB_offpens_efterlon_13_Q42,Public pensions - 42th percentile
LAB_offpens_efterlon_13_Q43,Public pensions - 43th percentile
LAB_offpens_efterlon_13_Q44,Public pensions - 44th percentile
LAB_offpens_efterlon_13_Q45,Public pensions - 45th percentile
LAB_offpens_efterlon_13_Q46,Public pensions - 46th percentile
LAB_offpens_efterlon_13_Q47,Public pensions - 47th percentile
LAB_offpens_efterlon_13_Q48,Public pensions - 48th percentile
LAB_offpens_efterlon_13_Q49,Public pensions - 49th percentile
LAB_offpens_efterlon_13_Q50,Public pensions - 50th percentile
LAB_offpens_efterlon_13_Q51,Public pensions - 51th percentile
LAB_offpens_efterlon_13_Q52,Public pensions - 52th percentile
LAB_offpens_efterlon_13_Q53,Public pensions - 53th percentile
LAB_offpens_efterlon_13_Q54,Public pensions - 54th percentile
LAB_offpens_efterlon_13_Q55,Public pensions - 55th percentile
LAB_offpens_efterlon_13_Q56,Public pensions - 56th percentile
LAB_offpens_efterlon_13_Q57,Public pensions - 57th percentile
LAB_offpens_efterlon_13_Q58,Public pensions - 58th percentile
LAB_offpens_efterlon_13_Q59,Public pensions - 59th percentile
LAB_offpens_efterlon_13_Q60,Public pensions - 60th percentile
LAB_offpens_efterlon_13_Q61,Public pensions - 61th percentile
LAB_offpens_efterlon_13_Q62,Public pensions - 62th percentile
LAB_offpens_efterlon_13_Q63,Public pensions - 63th percentile
LAB_offpens_efterlon_13_Q64,Public pensions - 64th percentile
LAB_offpens_efterlon_13_Q65,Public pensions - 65th percentile
LAB_offpens_efterlon_13_Q66,Public pensions - 66th percentile
LAB_offpens_efterlon_13_Q67,Public pensions - 67th percentile
LAB_offpens_efterlon_13_Q68,Public pensions - 68th percentile
LAB_offpens_efterlon_13_Q69,Public pensions - 69th percentile
LAB_offpens_efterlon_13_Q70,Public pensions - 70th percentile
LAB_offpens_efterlon_13_Q71,Public pensions - 71th percentile
LAB_offpens_efterlon_13_Q72,Public pensions - 72th percentile
LAB_offpens_efterlon_13_Q73,Public pensions - 73th percentile
LAB_offpens_efterlon_13_Q74,Public pensions - 74th percentile
LAB_offpens_efterlon_13_Q75,Public pensions - 75th percentile
LAB_offpens_efterlon_13_Q76,Public pensions - 76th percentile
LAB_offpens_efterlon_13_Q77,Public pensions - 77th percentile
LAB_offpens_efterlon_13_Q78,Public pensions - 78th percentile
LAB_offpens_efterlon_13_Q79,Public pensions - 79th percentile
LAB_offpens_efterlon_13_Q80,Public pensions - 80th percentile
LAB_offpens_efterlon_13_Q81,Public pensions - 81th percentile
LAB_offpens_efterlon_13_Q82,Public pensions - 82th percentile
LAB_offpens_efterlon_13_Q83,Public pensions - 83th percentile
LAB_offpens_efterlon_13_Q84,Public pensions - 84th percentile
LAB_offpens_efterlon_13_Q85,Public pensions - 85th percentile
LAB_offpens_efterlon_13_Q86,Public pensions - 86th percentile
LAB_offpens_efterlon_13_Q87,Public pensions - 87th percentile
LAB_offpens_efterlon_13_Q88,Public pensions - 88th percentile
LAB_offpens_efterlon_13_Q89,Public pensions - 89th percentile
LAB_offpens_efterlon_13_Q90,Public pensions - 90th percentile
LAB_offpens_efterlon_13_Q91,Public pensions - 91th percentile
LAB_offpens_efterlon_13_Q92,Public pensions - 92th percentile
LAB_offpens_efterlon_13_Q93,Public pensions - 93th percentile
LAB_offpens_efterlon_13_Q94,Public pensions - 94th percentile
LAB_offpens_efterlon_13_Q95,Public pensions - 95th percentile
LAB_offpens_efterlon_13_Q96,Public pensions - 96th percentile
LAB_offpens_efterlon_13_Q97,Public pensions - 97th percentile
LAB_offpens_efterlon_13_Q98,Public pensions - 98th percentile
LAB_offpens_efterlon_13_Q99,Public pensions - 99th percentile
LAB_offpens_efterlon_13_Q100,Public pensions - 100th percentile
