code,description
LAB_perindkialt_13_Q1,Personal income total - 1th percentile
LAB_perindkialt_13_Q2,Personal income total - 2th percentile
LAB_perindkialt_13_Q3,Personal income total - 3th percentile
LAB_perindkialt_13_Q4,Personal income total - 4th percentile
LAB_perindkialt_13_Q5,Personal income total - 5th percentile
LAB_perindkialt_13_Q6,Personal income total - 6th percentile
LAB_perindkialt_13_Q7,Personal income total - 7th percentile
LAB_perindkialt_13_Q8,Personal income total - 8th percentile
LAB_perindkialt_13_Q9,Personal income total - 9th percentile
LAB_perindkialt_13_Q10,Personal income total - 10th percentile
LAB_perindkialt_13_Q11,Personal income total - 11th percentile
LAB_perindkialt_13_Q12,Personal income total - 12th percentile
LAB_perindkialt_13_Q13,Personal income total - 13th percentile
LAB_perindkialt_13_Q14,Personal income total - 14th percentile
LAB_perindkialt_13_Q15,Personal income total - 15th percentile
LAB_perindkialt_13_Q16,Personal income total - 16th percentile
LAB_perindkialt_13_Q17,Personal income total - 17th percentile
LAB_perindkialt_13_Q18,Personal income total - 18th percentile
LAB_perindkialt_13_Q19,Personal income total - 19th percentile
LAB_perindkialt_13_Q20,Personal income total - 20th percentile
LAB_perindkialt_13_Q21,Personal income total - 21th percentile
LAB_perindkialt_13_Q22,Personal income total - 22th percentile
LAB_perindkialt_13_Q23,Personal income total - 23th percentile
LAB_perindkialt_13_Q24,Personal income total - 24th percentile
LAB_perindkialt_13_Q25,Personal income total - 25th percentile
LAB_perindkialt_13_Q26,Personal income total - 26th percentile
LAB_perindkialt_13_Q27,Personal income total - 27th percentile
LAB_perindkialt_13_Q28,Personal income total - 28th percentile
LAB_perindkialt_13_Q29,Personal income total - 29th percentile
LAB_perindkialt_13_Q30,Personal income total - 30th percentile
LAB_perindkialt_13_Q31,Personal income total - 31th percentile
LAB_perindkialt_13_Q32,Personal income total - 32th percentile
LAB_perindkialt_13_Q33,Personal income total - 33th percentile
LAB_perindkialt_13_Q34,Personal income total - 34th percentile
LAB_perindkialt_13_Q35,Personal income total - 35th percentile
LAB_perindkialt_13_Q36,Personal income total - 36th percentile
LAB_perindkialt_13_Q37,Personal income total - 37th percentile
LAB_perindkialt_13_Q38,Personal income total - 38th percentile
LAB_perindkialt_13_Q39,Personal income total - 39th percentile
LAB_perindkialt_13_Q40,Personal income total - 40th percentile
LAB_perindkialt_13_Q41,Personal income total - 41th percentile
LAB_perindkialt_13_Q42,Personal income total - 42th percentile
LAB_perindkialt_13_Q43,Personal income total - 43th percentile
LAB_perindkialt_13_Q44,Personal income total - 44th percentile
LAB_perindkialt_13_Q45,Personal income total - 45th percentile
LAB_perindkialt_13_Q46,Personal income total - 46th percentile
LAB_perindkialt_13_Q47,Personal income total - 47th percentile
LAB_perindkialt_13_Q48,Personal income total - 48th percentile
LAB_perindkialt_13_Q49,Personal income total - 49th percentile
LAB_perindkialt_13_Q50,Personal income total - 50th percentile
LAB_perindkialt_13_Q51,Personal income total - 51th percentile
LAB_perindkialt_13_Q52,Personal income total - 52th percentile
LAB_perindkialt_13_Q53,Personal income total - 53th percentile
LAB_perindkialt_13_Q54,Personal income total - 54th percentile
LAB_perindkialt_13_Q55,Personal income total - 55th percentile
LAB_perindkialt_13_Q56,Personal income total - 56th percentile
LAB_perindkialt_13_Q57,Personal income total - 57th percentile
LAB_perindkialt_13_Q58,Personal income total - 58th percentile
LAB_perindkialt_13_Q59,Personal income total - 59th percentile
LAB_perindkialt_13_Q60,Personal income total - 60th percentile
LAB_perindkialt_13_Q61,Personal income total - 61th percentile
LAB_perindkialt_13_Q62,Personal income total - 62th percentile
LAB_perindkialt_13_Q63,Personal income total - 63th percentile
LAB_perindkialt_13_Q64,Personal income total - 64th percentile
LAB_perindkialt_13_Q65,Personal income total - 65th percentile
LAB_perindkialt_13_Q66,Personal income total - 66th percentile
LAB_perindkialt_13_Q67,Personal income total - 67th percentile
LAB_perindkialt_13_Q68,Personal income total - 68th percentile
LAB_perindkialt_13_Q69,Personal income total - 69th percentile
LAB_perindkialt_13_Q70,Personal income total - 70th percentile
LAB_perindkialt_13_Q71,Personal income total - 71th percentile
LAB_perindkialt_13_Q72,Personal income total - 72th percentile
LAB_perindkialt_13_Q73,Personal income total - 73th percentile
LAB_perindkialt_13_Q74,Personal income total - 74th percentile
LAB_perindkialt_13_Q75,Personal income total - 75th percentile
LAB_perindkialt_13_Q76,Personal income total - 76th percentile
LAB_perindkialt_13_Q77,Personal income total - 77th percentile
LAB_perindkialt_13_Q78,Personal income total - 78th percentile
LAB_perindkialt_13_Q79,Personal income total - 79th percentile
LAB_perindkialt_13_Q80,Personal income total - 80th percentile
LAB_perindkialt_13_Q81,Personal income total - 81th percentile
LAB_perindkialt_13_Q82,Personal income total - 82th percentile
LAB_perindkialt_13_Q83,Personal income total - 83th percentile
LAB_perindkialt_13_Q84,Personal income total - 84th percentile
LAB_perindkialt_13_Q85,Personal income total - 85th percentile
LAB_perindkialt_13_Q86,Personal income total - 86th percentile
LAB_perindkialt_13_Q87,Personal income total - 87th percentile
LAB_perindkialt_13_Q88,Personal income total - 88th percentile
LAB_perindkialt_13_Q89,Personal income total - 89th percentile
LAB_perindkialt_13_Q90,Personal income total - 90th percentile
LAB_perindkialt_13_Q91,Personal income total - 91th percentile
LAB_perindkialt_13_Q92,Personal income total - 92th percentile
LAB_perindkialt_13_Q93,Personal income total - 93th percentile
LAB_perindkialt_13_Q94,Personal income total - 94th percentile
LAB_perindkialt_13_Q95,Personal income total - 95th percentile
LAB_perindkialt_13_Q96,Personal income total - 96th percentile
LAB_perindkialt_13_Q97,Personal income total - 97th percentile
LAB_perindkialt_13_Q98,Personal income total - 98th percentile
LAB_perindkialt_13_Q99,Personal income total - 99th percentile
LAB_perindkialt_13_Q100,Personal income total - 100th percentile
