code,description
LAB_tilstand_grad_amr_Q1,Labor market status - 1th percentile
LAB_tilstand_grad_amr_Q2,Labor market status - 2th percentile
LAB_tilstand_grad_amr_Q3,Labor market status - 3th percentile
LAB_tilstand_grad_amr_Q4,Labor market status - 4th percentile
LAB_tilstand_grad_amr_Q5,Labor market status - 5th percentile
LAB_tilstand_grad_amr_Q6,Labor market status - 6th percentile
LAB_tilstand_grad_amr_Q7,Labor market status - 7th percentile
LAB_tilstand_grad_amr_Q8,Labor market status - 8th percentile
LAB_tilstand_grad_amr_Q9,Labor market status - 9th percentile
LAB_tilstand_grad_amr_Q10,Labor market status - 10th percentile
