Gyldig fra 	Gyldig til 	Kode 	Tekst
		051010 	Førskoleuddannelser
		101010 	Grundskole 0.-6. klasse
		102010 	Grundskole 7. klasse og opefter
		121010 	Almengymnasiale, matematisk
		121020 	Almengymnasiale, sproglig
		121030 	Almengymnasiale, ikke linjeopdelt
		122010 	Erhvervsgymnasiale
		123010 	HF-enkeltfag
		123020 	Gymnasial supplering
		151010 	Almen voksenuddannelse
		151020 	Danskundervisning ved sprogcentre mv.
		151030 	Højskolekurser, almene forløb
		151040 	Forberedende voksenuddannelse i øvrigt
		152010 	Højskolekurser, særlige forløb
		152020 	Erhvervsintroduktionskurser
		152030 	Produktionsskole
		153010 	Fri ungdomsuddannelse
		154010 	Særligt tilrettelagt ungdomsuddannelse
		201010 	Didaktik og studier i undervisningsmetode mv.
		201015 	Studier i lærings-, udviklings- og forandringsprocesser
		202010 	Pædagogik, teoretisk/videnskabelig u.n.a.
		202020 	Tale- og hørepædagogik
		203510 	Læreruddannelse, grundskole
		204010 	Læreruddannelse, erhvervsskole/sprogcenter mv.
		204015 	Underviser i ikke-almene specialefag
		209010 	Undervisning og læring, tværfaglige uddannelser u.n.a.
		209015 	Humanistisk-pædagogiske uddannelser
		209020 	Naturvidenskabelige-pædagogiske uddannelser
		209025 	Samfundsvidenskabelige-pædagogiske uddannelser
		251010 	Humanistisk u.n.a.
		251510 	Teologi
		251515 	Religion og religionsvidenskab
		252010 	Historie
		252015 	Idehistorie
		252020 	Videnskabshistorie
		252025 	Litteraturhistorie
		253510 	Konserverings- og restaureringsteknik
		253515 	Konservatoruddannelse
		254005 	Arkæologi
		254010 	Arkæologi forhistorisk
		254015 	Arkæologi klassisk
		254020 	Arkæologi middelalder
		254025 	Marinarkæologi
		254030 	Nærorientalsk arkæologi og oldtidskultur
		254035 	Oldtidskundskab
		254510 	Filosofi
		255010 	Kultur og kulturformidling
		255015 	Humanistisk, tværfaglige uddannelser i øvrigt
		255210 	Engelsk
		255215 	Tysk
		255220 	Nederlandsk
		255410 	Spansk
		255415 	Portugisisk
		255420 	Fransk
		255425 	Italiensk
		255430 	Rumænsk
		255610 	Balkanstudier
		255615 	Russisk
		255620 	Polsk
		255625 	Tjekkisk
		255630 	Serbokroatisk
		255635 	Bulgarsk
		255640 	Nygræsk
		255645 	Slavisk sprog og kultur i øvrigt
		256010 	Iransk
		256020 	Mellemøstens sprog og samfund i øvrigt
		256210 	Indisk
		256215 	Indonesisk
		256220 	Japanstudier
		256225 	Kinastudier
		256230 	Koreastudier
		256235 	Thai
		256240 	Tibetologi
		256245 	Asiatisk sprog og kultur i øvrigt
		256410 	Finsk
		256415 	Ungarsk
		256420 	Indiansk sprog og kultur
		256425 	Grønlandsk
		256430 	Eskimologi
		256435 	Indoeuropæiske sprog, slægtskab og lingvistik
		256610 	Filologi klassisk
		256615 	Græsk
		256620 	Latin
		256625 	Andre klassiske sprog
		257010 	Sprogtolkning
		257015 	Tegnsprogstolkning
		257110 	Datalingvistik
		257210 	Engelsk, erhvervssproglig
		257215 	Tysk, erhvervssproglig
		257220 	Spansk, erhvervssproglig
		257225 	Fransk, erhvervssproglig
