Value set
D460022. TXT_DB93_TIMES - Industry for essential employment, from 1992 to 2007 (AKM) Valid from 	Valid for 	Code 	Text
01-01-1992 		0 	Not stated
01-01-1992 		11110 	Grain Breeding
01-01-1992 		11190 	Agerbrug, by the way
01-01-1992 		11210 	Hortithnries
01-01-1992 		11220 	Nurseries
01-01-1992 	31-12-2002 	11300 	Cultivation of fruit and berries
01-01-2003 		11300 	Cultivation of fruit and berries, nuts and spice plants
01-01-1992 		12110 	Dairy cattle team
01-01-1992 		12190 	Second cattle breeding
01-01-1992 		12210 	Studs
01-01-1996 		12220 	Sheep and goat breeding
01-01-1992 	31-12-1995 	12220 	Sheep farming
01-01-1992 		12300 	Pig farming
01-01-1992 		12400 	Poultry breeding
01-01-1992 		12510 	Fur animal breeding
01-01-1992 		12520 	Beekeeping
01-01-1992 		12530 	Kennels
01-01-1992 	31-12-1995 	12590 	Goat breeding, rabbit breeding, etc.
01-01-1996 		12590 	Breeding of other animals
01-01-1992 		13000 	Plant breeding combined with livestock farming (mixed operation)
01-01-1992 		14110 	Agricultural machinery stations
01-01-1992 		14120 	Construction nurseries
01-01-1992 		14190 	Service activities in connection with arable use
01-01-1992 		14200 	Service activities related to livestock farming other than veterinary establishment
01-01-1992 		15000 	Hunting, catching and service activities related thereto
01-01-1992 		20100 	Forestry
01-01-1992 		20200 	Service activities in connection with forestry
01-01-1992 		50100 	Fishing
01-01-1992 		50200 	Fish Farming and Fishing
01-01-1992 	31-12-1995 	50300 	Service activities in connection with fishing
01-01-1992 		101000 	Coal mines
01-01-1992 		102000 	Lignut Bearings
01-01-1992 		103000 	Peat pits
01-01-1992 		111000 	Extraction of crude oil and natural gas
01-01-1992 		112000 	Technical services services related to oil and gas extraction
01-01-1992 		120000 	Refraction of uranium and thorium ores
01-01-1992 		131000 	Refraction of iron ore
01-01-1992 		132000 	Refraction of non-ferrous metal ores other than uranium and thorium ores
01-01-2003 		141110 	Breaking of stones
01-01-1992 	31-12-2002 	141110 	Stone bride
01-01-1992 		141120 	Stone fishing
01-01-1992 		141200 	Lime Fracture
01-01-1992 		141300 	Slate fracture
01-01-1992 		142100 	Gravel and sand pits, dredging
01-01-1992 		142200 	Extraction of clay and kaolin
01-01-1992 		143000 	Extraction of minerals for the production of chemical products and fertilisers
01-01-1992 		144000 	Salt extraction
01-01-1992 		145000 	Other extraction of raw materials in general
01-01-1992 		151110 	Pig slaughterhouses
01-01-1992 		151120 	Creature slaughterhouses
01-01-1992 		151130 	Intestinal series
01-01-1992 		151140 	Destruction facilities and bone meal factories
01-01-1992 		151200 	Poultry slaughterhouses
01-01-1992 		151310 	Manufacture of ready meals
01-01-1992 		151390 	Meat processing, moreover
01-01-1992 		152010 	Fish hermetics, fish meat and fish fillet factories
01-01-1992 		15 2020 	Smoke and salting of fish
01-01-1992 		152030 	Fishmeal factories
01-01-1992 		153100 	Processing and preservation of potatoes
01-01-1992 		153200 	Preparation of fruit and vegetable juices
01-01-1992 		153300 	Processing and preservation of fruit and vegetables
01-01-1992 		154100 	Manufacture of crude oils and fats
01-01-1992 		154200 	Manufacture of refined oils and fats
01-01-1992 		154300 	Margarine factories, etc.
01-01-1992 		155110 	Dairies and cheese making
01-01-1992 		155120 	Milk condensation factories
01-01-1992 		155200 	Manufacture of ice for human consumption
01-01-1992 	31-12-2002 	156100 	Manufacture of milling products
01-01-2002 		156110 	Manufacture of milling products
01-01-2002 		156120 	Industrial manufacture and breeding of seeds
01-01-1992 		156200 	Manufacture of starch and starch products
01-01-1992 		157110 	Manufacture of compound feed for agriculture and fur farming
01-01-1992 		157120 	Manufacture of compound feed for fish and sea
01-01-1992 		157200 	Manufacture of finished pet food
01-01-1992 		158110 	Bread mills
01-01-1992 		158120 	Bakery shops
01-01-1992 		158200 	Manufacture of cakes and biscuits
01-01-1992 		158300 	Sugar factories and refineries
01-01-1992 		158400 	Chocolate and sugar products factories
01-01-1992 		158500 	Manufacture of pasta products and similar products
01-01-1992 		158600 	Processing of tea and coffee
01-01-1992 		158700 	Spice mills, production of flavors, etc.
01-01-1992 		1588800 	Manufacture of homogenised products and diet food
01-01-1992 	31-12-2002 	158900 	Manufacture of other foodstuffs
01-01-2002 		158910 	Manufacture of food supplements
01-01-2002 		158920 	Manufacture of other foodstuffs
01-01-1992 		159100 	Production of spirits
01-01-1992 		159200 	Preparation of crude alcohol
01-01-1996 		159300 	Production of wine
01-01-1992 	31-12-1995 	159300 	Preparation of wine based on grapes
01-01-1992 		159400 	Manufacture of fruit wine other than from grapes
01-01-1992 		159500 	Manufacture of vermouth, etc.
01-01-1992 		159600 	Breweries
01-01-1992 		159700 	Malt factories
01-01-1992 		159800 	Mineral water factories, etc.
01-01-1992 	31-12-1995 	159900 	Manufacture of other non-alcoholic beverages
01-01-1992 	31-12-2002 	160000 	Tobacco factories
01-01-2003 		160000 	Tobacco industry
01-01-1992 		171000 	Pre-treatment and spinning of textile fibres
01-01-1992 		172000 	Weaving of textiles
01-01-1992 		173000 	Finishing of textiles
01-01-1992 		174010 	Sailings, flag and tent factories, etc.
01-01-1992 		174020 	Manufacture of home textiles
01-01-1992 	31-12-2002 	174090 	Other production of finished textile products
01-01-2003 		174090 	Manufacture of other finished textile products
01-01-1992 		175100 	Carpet factories
01-01-1992 		175210 	The ropes
01-01-1992 		175220 	Fish net factories (word binders)
01-01-1992 		175300 	Manufacture of non-wovens and articles thereof, other than clothing
01-01-1992 		175400 	Manufacture of felt and other textiles
01-01-1992 		176000 	Manufacture of knitted or crocheted substances
01-01-1992 		177100 	Stocking factories
01-01-1992 		177200 	Manufacture of pullovers, cardigans, etc.
01-01-1992 	31-12-1995 	177300 	Manufacture of knitted or crocheted outer garment
01-01-1992 	31-12-1995 	177400 	Manufacture of knitted or crocheted underwear
01-01-1992 	31-12-1995 	177500 	Manufacture of other knitted or crocheted goods and accessories
01-01-1992 		181000 	Manufacture of leather clothing
01-01-1992 		182100 	Manufacture of workwear
01-01-2002 		182200 	Manufacture of outerwear, dresses, pants, etc.
01-01-1992 	31-12-2002 	182210 	Manufacture of men's and women's outerwear
01-01-1992 	31-12-2002 	182220 	Manufacture of jackets, trousers and other outerwear for men and boys
01-01-1992 	31-12-2002 	182230 	Manufacture of dresses, trousers and other outerwear for ladies and girls
01-01-2003 		182310 	Manufacture of shirts
01-01-1992 	31-12-2002 	182310 	Shirt Factories
01-01-1992 	31-12-2002 	182390 	Other manufacture of underwear
01-01-2003 		182390 	Manufacture of other underwear
01-01-1992 		182410 	Manufacture of baby clothes
01-01-1992 		182490 	Clothing industry, by the way
01-01-1992 		183000 	Fur bed and bunt makers
01-01-1992 		191000 	Tanners
01-01-1992 		192000 	Manufacture of bags, suitcases, etc.
01-01-1992 		193010 	Shoewear factories
01-01-1992 		193020 	Wooden shoe factories
01-01-1992 		201010 	Sawmills
01-01-1992 		201020 	Wood impregnation companies, etc.
01-01-1992 		202000 	Preparation of plywood, particle board, etc.
01-01-1992 		203010 	Manufacture of frame and furniture lists
01-01-1992 		203020 	Manufacture of parts of wood for buildings
01-01-1992 		203030 	Manufacture of prefabricated buildings or building elements of wood
01-01-1992 		204000 	Wooden packaging factories
01-01-1992 		2005110 	Step-in-house owners
01-01-1992 		205120 	Ligistestone factories
01-01-1992 		205190 	Manufacture of other wood products
01-01-1992 		205200 	Manufacture of products of cork, straw and plaiting materials
01-01-1992 		211100 	Manufacture of pulp
01-01-1992 		211200 	Preparation of paper and paperboard
01-01-1992 		212100 	Manufacture of corrugated board and packaging of paper and paperboard
01-01-1992 		212200 	Manufacture of paper and paperboard households and toiletries
01-01-2002 		212300 	Manufacture of paper and paperboard office supplies
01-01-1992 	31-12-2002 	212310 	Manufacture of writing paper
01-01-1992 	31-12-2002 	212390 	Manufacture of other paperboard and paperboard office supplies
01-01-1992 		212400 	Manufacture of wallpaper
01-01-1992 	31-12-1995 	212500 	Manufacture of other paper and paperboard products
01-01-1996 		212500 	Manufacture of other paper and paperboard items n.e.c.
01-01-1992 		221110 	Publishing of books, brochures, etc. with its own printing works
01-01-1992 		221120 	Publishing of books, brochures, etc. without its own printing works
01-01-1992 		221210 	Publishing of newspapers with own printing
01-01-1992 		221220 	Publishing of newspapers without own printing
01-01-1992 		221310 	Publishing of magazines and magazines with own printing company
01-01-1992 		221320 	Publishing from magazines and magazines without your own printing works
01-01-1992 		221330 	Publishing of district and ad sheets with own printing
01-01-1992 		221340 	Publishing of district and ad Sheets without your own printing company
01-01-1992 		224400 	Release of audio recordings
01-01-1992 		221500 	Other publishing business
01-01-1992 		222100 	Newspaper printing
01-01-1992 	31-12-1995 	222210 	Book printing
01-01-1996 		222210 	Printing and Off-the-Cost Printing
01-01-1992 	31-12-1995 	222220 	Offset printing
01-01-1992 		222230 	Serigraphic printers
01-01-1992 		222290 	Other printers, by the way
01-01-1992 		222300 	Book binderies
01-01-2002 		222400 	Prepress work
01-01-1992 	31-12-2002 	222410 	Reproduction facilities
01-01-1992 	31-12-2002 	222420 	Setteriets
01-01-1992 		222500 	Other activities related to printing
01-01-1992 		223100 	Reproduction of audio recordings
01-01-1992 		223200 	Reproduction of video recordings
